l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,60368532.0,43390.0,17.0,4.8175,4.841,0.2537620666862389,0.2491748103288208,7.100527048110962
1.0,72785067.0,12134.0,89.0,5.1465,5.0525,0.24567459562501587,0.25946350554659026,6.173577785491943
2.0,82722564.0,7413.0,46.0,6.909,6.8855,0.24917146441758833,0.258770908970768,6.181569814682007
3.0,21120522.0,783.0,4.0,6.2745,6.251,0.2441809477200202,0.2534475813843187,6.1987035274505615
4.0,622003.0,17909.0,52.0,5.405,5.4285,0.25598885473011973,0.24752779752910373,6.157088756561279
5.0,73937297.0,26274.0,83.0,5.6635,5.64,0.2356843288003638,0.25544219882709035,6.343555688858032
6.0,7041994.0,40077.0,81.0,4.8645,4.8645,0.2414183634584382,0.245355837556567,6.311731576919556
7.0,40131211.0,46095.0,9.0,4.3475,4.3945,0.2771651991133253,0.24527465984451924,6.301180601119995
8.0,69411394.0,3228.0,14.0,6.862,6.909,0.2676938264709927,0.2407596606152478,6.211065769195557
9.0,87392377.0,24617.0,33.0,6.1805,6.157,0.23322256994097562,0.2644012577559487,6.3755717277526855
10.0,11140164.0,18725.0,13.0,6.0865,6.6035,0.29020403214756807,0.24887698741502234,6.6685709953308105
11.0,33737037.0,10972.0,37.0,3.525,3.478,0.23912669013474175,0.27975042850221443,6.301467180252075
12.0,52040794.0,47789.0,66.0,5.1935,5.1465,0.24407557290950527,0.27395384417981666,6.309127569198608
13.0,92935551.0,7525.0,95.0,5.3815,5.311,0.24740877933270433,0.2845712408408859,6.328742742538452
14.0,23214775.0,35853.0,44.0,4.5120000000000005,4.4885,0.2440222108568102,0.2510673399217235,6.184354066848755
15.0,25370981.0,40966.0,96.0,4.3005,4.3005,0.2461932965547282,0.24353439147824787,5.9728498458862305
16.0,37856847.0,46507.0,51.0,5.4285,5.499,0.2654085674355174,0.2457553849092719,6.2688188552856445
17.0,96918897.0,6263.0,31.0,5.3345,5.2875,0.23809331500590078,0.2758331172137224,6.243518114089966
18.0,79195942.0,34107.0,43.0,6.7445,6.3215,0.24107383179338532,0.2550251944369687,6.230920314788818
19.0,45700252.0,27747.0,1.0,3.9715,3.901,0.23986534497255085,0.2874807177314249,6.201997995376587
20.0,77291630.0,41623.0,65.0,3.337,3.3135,0.2489906859511901,0.2757424117681081,6.604726076126099
21.0,70834319.0,5509.0,68.0,4.6295,4.6295,0.2473736820285229,0.24891989399799294,6.314339637756348
22.0,86359712.0,16163.0,20.0,3.76,3.76,0.2277832340885056,0.23782627307326484,6.2992939949035645
23.0,23584377.0,38612.0,1.0,3.9245,3.854,0.2431646051694545,0.28967497133765163,6.2908501625061035
24.0,36040359.0,22734.0,41.0,3.5485,3.2665,0.24606854231186345,0.23772038751678398,6.191836595535278
25.0,84454863.0,27237.0,52.0,5.593,5.593,0.24768030768253282,0.2406919571382042,6.286428689956665
26.0,33707069.0,2247.0,76.0,5.264,5.2875,0.2539899829417261,0.2464475699608813,6.293835878372192
27.0,28635101.0,35508.0,5.0,2.9375,3.2665,0.23293867070535362,0.24154322518173552,6.438392877578735
28.0,87148225.0,19828.0,45.0,4.324,4.3475,0.2566014785623122,0.23311442370664442,6.32539439201355
29.0,64956303.0,2454.0,64.0,4.3475,4.3475,0.24209747828932035,0.24553485287604315,5.9610302448272705
30.0,85463851.0,43151.0,75.0,5.6635,5.64,0.23930770739209034,0.27355012429244424,6.759980916976929
31.0,34805467.0,6047.0,16.0,6.674,5.734,0.24121482831679603,0.2027660068803966,6.286902189254761
32.0,27330589.0,22738.0,86.0,6.815,6.815,0.2390330206065262,0.2371847289709473,6.192551374435425
33.0,13994994.0,44321.0,1.0,4.0185,3.9245,0.24985907175006064,0.30132604697230514,6.261376857757568
34.0,4535680.0,33159.0,73.0,4.747,4.7705,0.25397759933427744,0.2246688134295051,6.328927278518677
35.0,80287528.0,32428.0,71.0,4.559,4.5120000000000005,0.24701951376675413,0.27671843504422633,6.233399152755737
36.0,62355545.0,3937.0,98.0,5.1935,5.17,0.2315478090498166,0.26415717063832794,6.3426337242126465
37.0,14222583.0,5357.0,22.0,5.123,5.17,0.266998579049582,0.24427327943967594,6.097298860549927
38.0,91182099.0,20357.0,56.0,5.4285,5.3815,0.23914918851891007,0.2754420345191241,6.313133001327515
39.0,20330859.0,37339.0,21.0,5.17,5.2405,0.2632591662824362,0.24632092995289773,6.251605987548828
40.0,98414538.0,18114.0,9.0,4.042,4.0655,0.27011618125196335,0.2382697676856313,6.651250600814819
41.0,43896009.0,33370.0,27.0,4.042,4.042,0.2422718429848642,0.2388705270570054,6.213876962661743
42.0,98903073.0,25296.0,54.0,5.9455,5.9925,0.29120408015468074,0.2458414525771015,6.444575548171997
43.0,32515659.0,31911.0,16.0,5.6635,5.6165,0.24581189043310006,0.29384638583219536,6.21222448348999
44.0,65598519.0,48005.0,91.0,5.311,6.2275,0.23388694723852516,0.24150099888996615,6.304328441619873
45.0,96043401.0,46285.0,47.0,6.251,6.2745,0.2596885249864175,0.2499424999844051,6.347148418426514
46.0,95247551.0,8399.0,84.0,6.2275,6.2275,0.23886763996904953,0.2350775483266142,6.187923192977905
47.0,35105678.0,33620.0,75.0,5.687,5.6635,0.23623575641228595,0.2661521705459172,6.230952501296997
48.0,47228525.0,43976.0,75.0,5.687,5.6635,0.23921399181877245,0.26949265801627803,6.263920545578003
49.0,23818289.0,39381.0,23.0,4.747,4.7235,0.2324459954118143,0.252645592020224,6.181307315826416
50.0,5701105.0,26291.0,93.0,5.593,5.593,0.24120925578131255,0.24275601643766676,6.589858055114746
51.0,50009858.0,22326.0,62.0,4.2535,4.23,0.24319317160265305,0.250269809287114,6.195981979370117
52.0,45277987.0,23831.0,86.0,6.3685,6.251,0.24903795707855342,0.27377928469710777,6.257059335708618
53.0,30407090.0,6723.0,68.0,4.935,4.9585,0.25188870211997233,0.24650846253271316,6.297883033752441
54.0,51522434.0,27240.0,64.0,4.23,4.23,0.2440633796470748,0.2402909484576266,6.250872611999512
55.0,47801032.0,742.0,46.0,6.5095,6.5095,0.24597444382878053,0.23598081755672098,6.260262727737427
56.0,39589957.0,33101.0,35.0,5.405,5.405,0.24214599545071844,0.23366357391135817,6.180603742599487
57.0,5998003.0,36427.0,13.0,6.3685,6.4625,0.28937138811882546,0.24801208841722927,6.370427370071411
58.0,75956705.0,6042.0,76.0,5.3345,5.3345,0.24663185890053618,0.23275326506562832,6.34001612663269
59.0,67808045.0,16622.0,34.0,4.418,4.465,0.2834020134054487,0.249603213324185,6.3371922969818115
60.0,83630951.0,36559.0,51.0,4.9115,4.9115,0.24820375837087455,0.24568667620206902,6.598856449127197
61.0,93932544.0,34021.0,32.0,4.5120000000000005,4.5120000000000005,0.24562294017282033,0.2333932399996525,6.29283595085144
62.0,53542021.0,25297.0,41.0,5.7575,5.7575,0.24438695148183973,0.23422228551522464,6.298738241195679
63.0,23813520.0,25733.0,55.0,5.0995,5.123,0.2516916650847495,0.24681680084174093,6.3420867919921875
64.0,10879290.0,26109.0,56.0,5.2405,5.0525,0.24678478254341168,0.28388715105072154,6.384914398193359
65.0,124235.0,18640.0,35.0,5.264,5.2875,0.2501491837846488,0.23607183422167952,6.256088733673096
66.0,33034700.0,2273.0,48.0,4.183,3.8305,0.24896080211326224,0.2883017549033325,6.356741189956665
67.0,25706619.0,48617.0,0.0,3.1725,3.149,0.24356614312725172,0.25396663903582856,6.266108274459839
68.0,58101357.0,19972.0,42.0,4.3945,4.3945,0.23405856743554776,0.24339024687975744,6.442821741104126
69.0,66240330.0,10090.0,19.0,3.4075,3.055,0.24066711817965603,0.2770475352539342,6.3169920444488525
70.0,14028431.0,11863.0,21.0,5.5695,5.593,0.26713065137813147,0.24484131346838003,6.591608762741089
71.0,53511017.0,44807.0,18.0,5.0995,5.123,0.26761445282289775,0.23419433479540402,6.241297245025635
72.0,15621106.0,10740.0,30.0,4.9115,4.888,0.24703700921695707,0.25102627264310645,6.068717002868652
73.0,53445693.0,15902.0,90.0,5.3345,5.405,0.2804805201855064,0.24351549292793906,6.122352123260498
74.0,15744785.0,29560.0,88.0,5.5695,5.5695,0.24916382270470017,0.2493349441469793,6.346338987350464
75.0,54077008.0,13672.0,13.0,6.0395,6.3215,0.2816239067459585,0.24348629848056816,6.235701560974121
76.0,72092802.0,13924.0,12.0,3.3135,3.2665,0.24781809146703077,0.2678005492008823,6.332698822021484
77.0,13673654.0,40734.0,59.0,4.8175,4.841,0.25684008805144776,0.2225184148341661,6.199110507965088
78.0,67924256.0,44417.0,43.0,6.721,6.6975,0.2357274776918552,0.2517491796807615,6.274109363555908
79.0,2486417.0,8844.0,97.0,4.0655,4.0655,0.24089621583735404,0.23951602665378813,6.331768274307251
80.0,27687694.0,21098.0,87.0,3.9715,3.995,0.2531702236070782,0.22889845827395103,6.540014266967773
81.0,84553327.0,47190.0,84.0,6.627,6.6505,0.26008358414775257,0.24931524750760348,6.20904016494751
82.0,22757062.0,31344.0,23.0,4.6765,4.653,0.2305384087225747,0.25029883037724443,6.349833011627197
83.0,94648659.0,35723.0,18.0,5.1465,5.1935,0.27675699520834196,0.24238451396076768,6.200559854507446
84.0,56316040.0,15396.0,52.0,5.4285,5.4285,0.24431950058320331,0.2360730296926596,6.169652223587036
85.0,97272060.0,35391.0,65.0,3.3605,3.337,0.23928609773089027,0.2637526097367204,6.378639221191406
86.0,83822962.0,37066.0,64.0,4.23,4.2535,0.25209046620314185,0.2496031166200739,5.937982559204102
87.0,71199918.0,33415.0,51.0,6.2275,6.2275,0.2458368791150558,0.23840131866493744,6.307837247848511
88.0,41030740.0,28998.0,55.0,5.0995,5.0995,0.23991905319437998,0.23623714441431934,6.354889392852783
89.0,49379514.0,30907.0,78.0,5.0995,5.123,0.2561298639531965,0.23879439642479874,6.256472826004028
90.0,50225721.0,47269.0,14.0,6.862,6.8855,0.2649115284092681,0.23813516172397287,6.658036470413208
