l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,50018897.0,8379.0,8.0,2.867,2.8435,0.2357906741196149,0.260696887494713,16.348124265670776
1.0,32578481.0,19350.0,67.0,4.794,4.7705,0.22855344441556963,0.2541236246123963,14.540409803390503
2.0,32891628.0,44254.0,54.0,3.5955,3.5955,0.24775776797306046,0.24841973390141786,14.590834856033325
3.0,15817368.0,36482.0,15.0,2.914,2.9375,0.2679161581350916,0.24697502894808332,14.514875173568726
4.0,49245623.0,45491.0,72.0,5.546,6.1805,0.22487449023931658,0.24701576765487918,14.571443796157837
5.0,36345545.0,24935.0,54.0,4.8645,4.841,0.24202820390284227,0.25297168836299333,14.470548391342163
6.0,3278410.0,10750.0,27.0,4.324,4.324,0.22900174849883387,0.23085376609818864,14.502076625823975
7.0,13638861.0,38636.0,0.0,2.444,2.4675,0.2604563833271522,0.2407467343395507,14.577505588531494
8.0,85530614.0,45046.0,29.0,4.9585,4.9585,0.24721686142821345,0.24662802981611232,14.498460054397583
9.0,7429678.0,48146.0,39.0,5.358,5.311,0.2385570717813488,0.2767407824320137,14.461629390716553
10.0,99758231.0,46615.0,53.0,7.0265,7.05,0.25621087655630675,0.24927300134538763,14.415977954864502
11.0,24822018.0,13783.0,63.0,5.264,5.217,0.24974570081098685,0.261752289141028,14.375457048416138
12.0,27860820.0,18176.0,8.0,2.679,2.6555,0.23847926893844015,0.2610913524993099,14.335294723510742
13.0,54416492.0,47754.0,36.0,3.948,3.5955,0.24974432668245494,0.2776977501090498,14.397099256515503
14.0,62913025.0,30805.0,75.0,5.593,5.546,0.24204314985417374,0.28340876015675043,14.60839581489563
15.0,22908538.0,7480.0,13.0,5.1465,5.1465,0.24443665046599297,0.24382855405286813,14.588804960250854
16.0,60757201.0,830.0,10.0,3.1255,3.1255,0.2380632384856335,0.2465651722128584,14.477111101150513
17.0,42538976.0,14795.0,75.0,5.499,4.841,0.24196839686442084,0.2757465226028889,14.622277021408081
18.0,29918094.0,4540.0,19.0,2.914,2.867,0.2459417309347734,0.2904597645025969,14.587407350540161
19.0,63793175.0,44238.0,60.0,5.5225,5.5225,0.2348213727708665,0.24911614374387286,14.468477487564087
20.0,27333617.0,1861.0,43.0,5.0055,5.0525,0.26007421674765624,0.24770257949623564,14.47683072090149
21.0,84981382.0,44733.0,13.0,4.183,4.23,0.2597360963324209,0.24083940048492916,14.455411672592163
22.0,87047545.0,17745.0,4.0,5.217,5.1935,0.24975062217625704,0.2574667230697167,14.510370969772339
23.0,6347087.0,41252.0,77.0,4.3945,4.559,0.3002849649522253,0.2469304882212974,14.38858699798584
24.0,19484832.0,16485.0,16.0,5.6635,5.593,0.24846018222916583,0.2982293793193913,14.489367008209229
25.0,83455890.0,27283.0,8.0,2.1385,2.0915,0.23355373432142668,0.2937708928062884,14.593272686004639
26.0,37638752.0,477.0,72.0,5.7105,5.7105,0.22849907594821484,0.22883691778494214,14.525878667831421
27.0,91097066.0,30971.0,29.0,5.2875,5.311,0.2501638225933671,0.24409400504773446,14.547087907791138
28.0,20352074.0,37816.0,1.0,4.0185,3.9715,0.24063144491907,0.288828907806056,14.464318752288818
29.0,60181173.0,14740.0,13.0,5.405,5.358,0.24764501093771057,0.2662970213342598,14.394826173782349
30.0,47572377.0,12829.0,85.0,4.3005,4.3475,0.2654023436510873,0.24385819919737378,14.424768924713135
31.0,94615232.0,24214.0,12.0,3.3135,3.29,0.2431181889376306,0.26267478972563124,14.518181562423706
32.0,24753303.0,17127.0,44.0,5.3815,5.358,0.2465518603152709,0.2516319387405977,14.346736669540405
33.0,72334890.0,48441.0,52.0,4.1125,4.1125,0.24813821669956176,0.23613787635793743,14.534386396408081
34.0,28954089.0,99.0,23.0,4.6295,4.606,0.2354793504527612,0.2537536267984903,14.694302797317505
35.0,94227654.0,28451.0,59.0,4.9585,4.982,0.2623279502164475,0.23640355818212477,14.340722799301147
36.0,32808267.0,45680.0,62.0,5.499,5.5225,0.26582675630721475,0.24231387826627915,14.50337839126587
37.0,3879711.0,328.0,64.0,5.1935,5.1935,0.2460548100574339,0.24561945337549565,14.649158716201782
38.0,24883740.0,26826.0,2.0,5.217,5.217,0.24113499402374838,0.2497680849042111,14.532701969146729
39.0,7605454.0,44439.0,15.0,2.8905,2.914,0.25585334748298144,0.23542249160556536,14.479320287704468
40.0,26484409.0,30660.0,85.0,4.653,4.653,0.24874726957548932,0.24338585020161008,14.434046030044556
41.0,29099497.0,14385.0,17.0,4.5120000000000005,4.5355,0.25783455803765176,0.2398672443105711,14.51636266708374
42.0,34067326.0,20834.0,50.0,4.324,4.371,0.26989793587802,0.24473108214599035,14.507379055023193
43.0,76219822.0,39610.0,30.0,5.0525,5.029,0.24564960713203812,0.2560079901299702,14.465495347976685
44.0,5534009.0,39487.0,19.0,3.196,3.1255,0.2460221048913116,0.30085361829488194,14.165965557098389
45.0,48334774.0,29047.0,79.0,3.995,3.995,0.2472079732169925,0.24616234076672608,14.456016540527344
46.0,93967744.0,32606.0,83.0,5.123,5.076,0.2473609506772056,0.2834718868642528,14.619833946228027
47.0,83734419.0,46699.0,65.0,4.653,4.6295,0.23771271477266642,0.2615594958932168,14.542466878890991
48.0,49031817.0,19410.0,60.0,5.3815,5.3345,0.24045814041391883,0.27441984005893016,14.337651014328003
49.0,20244166.0,14266.0,51.0,5.1465,5.1935,0.2704889039018503,0.24322697876985305,14.465736865997314
50.0,63456781.0,10882.0,45.0,5.5225,5.5225,0.24573894993033932,0.2417439669437489,14.411245584487915
51.0,13748683.0,18514.0,32.0,3.8305,3.8305,0.24918839525323153,0.2467088530270657,14.410170316696167
52.0,13180516.0,11866.0,10.0,2.5615,2.5615,0.23098800437285955,0.24830588249367555,14.414308309555054
53.0,76774425.0,31195.0,1.0,4.183,4.1125,0.24329358920031,0.29318642322569494,14.639575481414795
54.0,86297891.0,29272.0,60.0,5.8515,5.8515,0.22911980885759045,0.23206144394764622,14.569993257522583
55.0,22889914.0,36658.0,51.0,5.687,5.687,0.2412732761465175,0.23532877517378964,14.555734872817993
56.0,52517781.0,23033.0,74.0,5.7575,5.734,0.2489018566713168,0.2578390579061929,14.565622806549072
57.0,16871297.0,1436.0,12.0,3.29,3.2665,0.2433978075727105,0.2629676212905707,14.653857469558716
58.0,15131089.0,12953.0,97.0,3.2195,3.2195,0.24195437793562796,0.24639928069865405,14.450114488601685
59.0,1551486.0,27082.0,98.0,5.3815,5.2875,0.2498276490253408,0.2910322649725831,14.510058403015137
60.0,28675513.0,37260.0,34.0,4.0655,4.042,0.2363413307569015,0.25735852471382764,14.544328689575195
61.0,53197093.0,35209.0,36.0,3.948,3.5955,0.24132058898028347,0.2683220487372117,14.486509561538696
62.0,37521333.0,5719.0,74.0,4.9115,4.935,0.2528870643263209,0.23797864441832042,14.314036846160889
63.0,20278582.0,20372.0,40.0,5.9925,5.9925,0.23719574088684212,0.24245858810666432,14.576865911483765
64.0,53120821.0,32099.0,45.0,5.3345,5.3345,0.23815610662305675,0.2461706248203872,14.549750804901123
65.0,86611254.0,7553.0,80.0,3.4545,3.431,0.23780974507727476,0.25293780038322683,14.50793719291687
66.0,7861456.0,40123.0,7.0,4.8645,4.8645,0.24801603190006105,0.24926789996008386,14.470340490341187
67.0,73893248.0,33527.0,16.0,5.029,5.029,0.24177115233834165,0.23597683791166388,14.409714937210083
68.0,4862282.0,40288.0,65.0,5.4285,5.358,0.24829017043807355,0.27919767291897035,14.545212745666504
69.0,38069891.0,13501.0,94.0,5.2405,5.264,0.25367074467546225,0.24847529050371492,14.662289381027222
70.0,13313802.0,16332.0,33.0,6.2275,6.1805,0.2411979667507771,0.27507028823040003,14.530985593795776
71.0,89472734.0,28920.0,62.0,5.217,5.1935,0.24403635357132927,0.2577181254307452,14.548732995986938
72.0,30966799.0,24295.0,63.0,5.358,5.3345,0.24660650855549265,0.2574972044894369,14.52288293838501
73.0,27893999.0,21406.0,71.0,5.4755,5.4755,0.24402004672226674,0.24068897142306564,14.518870830535889
74.0,52003435.0,48886.0,78.0,5.593,5.6165,0.2532200756464187,0.24683759987610313,14.370967388153076
75.0,28143546.0,21102.0,54.0,4.7235,4.7235,0.233894087072853,0.24710953572314218,14.398417234420776
76.0,69645018.0,45650.0,49.0,4.183,4.1595,0.24189084329178484,0.2556840814330712,14.445255517959595
77.0,53572945.0,29951.0,83.0,5.2875,5.2405,0.2346909693979958,0.27853324985463795,14.400629043579102
78.0,26056743.0,32888.0,21.0,3.29,3.29,0.24730822805754685,0.24885641104857661,14.591284275054932
79.0,41603199.0,24172.0,7.0,5.2405,5.264,0.2542375714437692,0.24512584651168212,14.41283130645752
80.0,27622406.0,10072.0,90.0,5.6635,5.7105,0.27217413647341837,0.249247638450827,14.676709175109863
81.0,18850985.0,40766.0,83.0,5.17,5.123,0.2470579292060482,0.29255733498013814,14.451117277145386
82.0,94031386.0,42907.0,88.0,4.8645,4.8645,0.23452869043997315,0.24248752212495334,14.32915711402893
83.0,97369562.0,3019.0,46.0,4.5120000000000005,4.5120000000000005,0.2226935988242963,0.22886012844540002,14.6248300075531
84.0,20546796.0,38016.0,29.0,5.8985,5.8515,0.24993328145374039,0.2747519737800537,14.547980546951294
85.0,62798888.0,45427.0,27.0,4.3005,4.3005,0.24669133856956146,0.24905867468585688,14.642310857772827
86.0,27668057.0,8752.0,73.0,4.8175,5.076,0.2757429515211456,0.2458686059755509,14.56191897392273
87.0,45806588.0,35245.0,80.0,3.4545,3.431,0.24793460108527293,0.2640459816345695,14.502265930175781
88.0,65324066.0,37189.0,20.0,3.76,3.76,0.23087172998773584,0.24177856155581176,14.582183599472046
89.0,99046787.0,29861.0,24.0,5.0995,5.076,0.24451086434767555,0.2646425870419263,14.412330627441406
90.0,45863124.0,41162.0,42.0,4.3475,4.324,0.24103993005150082,0.2552165781099495,14.44580602645874
91.0,27969239.0,33101.0,30.0,5.17,5.17,0.23442291512860491,0.24544447761870225,14.489535331726074
92.0,70521845.0,6908.0,19.0,3.243,3.1255,0.2493897403975966,0.3027547282239898,14.55160403251648
93.0,60712819.0,46759.0,29.0,5.0525,5.0525,0.2463418855134249,0.24434328511303813,14.546996116638184
94.0,41609973.0,5989.0,75.0,5.734,5.7105,0.23679613637075989,0.25918732797504984,14.60721468925476
95.0,92374753.0,13743.0,22.0,4.1595,4.183,0.25413844353089887,0.2476918730667946,14.458614826202393
96.0,47334929.0,24603.0,92.0,4.4415000000000004,4.4415000000000004,0.24444340142199172,0.23765139718924533,14.49101448059082
97.0,23933241.0,28736.0,88.0,4.794,4.794,0.239464428475342,0.24248359436245526,14.565268993377686
98.0,70868945.0,42972.0,69.0,3.854,3.854,0.24054726886633737,0.247349157909406,14.527516603469849
99.0,22294887.0,40833.0,83.0,4.935,4.935,0.24275000954949633,0.24935974592846097,14.56191349029541
100.0,51135583.0,1500.0,87.0,3.76,3.7835,0.26244048725782987,0.23227383628398615,14.942615270614624
