l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0,67930444,35109,7,4.888,4.888,0.242902392,0.243639898,6.563325644
1,52715389,31384,85,4.841,4.8175,0.246024382,0.25572893,6.455232859
2,9768701,24424,36,3.9245,3.5955,0.243064446,0.274202765,6.523688316
3,63482016,7168,68,5.3345,5.2875,0.243238642,0.269085506,6.5274055
4,65920654,18924,93,5.593,5.593,0.231427834,0.234847622,6.493254185
5,3683176,49440,85,5.0055,4.9585,0.243407565,0.263637747,6.526325464
6,32792841,20476,90,5.2875,5.3345,0.270908808,0.242086025,6.523694038
7,15264991,11936,74,5.3815,5.3815,0.237372545,0.245369698,6.519038677
8,19474709,32844,97,3.196,3.196,0.242381474,0.246444808,6.418526173
9,30027861,13081,35,5.828,5.8045,0.246731643,0.256649844,6.434620619
10,57503996,23809,93,5.311,5.311,0.249756561,0.244082344,6.46131897
11,85921152,13295,24,4.3005,4.324,0.252176667,0.238565328,6.511432886
12,20943323,43640,87,3.7835,3.807,0.268225428,0.236408353,6.491771698
13,74635576,44148,42,4.6765,4.7,0.255615874,0.242150532,6.513087749
14,79952482,31521,44,4.559,4.5355,0.245769452,0.251581609,6.431992292
15,3301197,41158,34,4.042,4.042,0.227730682,0.24892824,6.518291712
16,17203742,11554,27,4.324,4.324,0.217438742,0.218176733,6.490188599
17,57637253,9299,35,4.559,4.5825,0.258402299,0.249302937,6.415095568
18,90533299,11686,84,5.1935,5.217,0.251230371,0.232634609,6.50620389
19,68791365,9307,63,5.17,5.1465,0.242147311,0.258916321,6.519320726
20,80039837,35645,87,3.5485,3.5485,0.249494356,0.231583035,6.516654968
21,95638252,31756,70,4.6765,4.7,0.25660353,0.24825785,6.502585888
22,95454351,19255,18,5.1935,5.2405,0.279990771,0.244426427,6.457029343
23,41027321,17136,74,6.063,6.0395,0.232362741,0.250709952,6.486978531
24,19262943,42695,30,5.1935,5.17,0.241080614,0.252423382,6.484737635
25,39872606,49769,39,6.533,6.58,0.263151356,0.248778132,6.502055883
26,79599325,6535,11,5.029,4.982,0.231994229,0.307574769,6.545836687
27,6013828,49952,53,5.828,5.8045,0.245568403,0.2531231,6.56324482
28,88283946,47779,8,2.1855,2.115,0.242533812,0.299717866,6.570159435
29,35378188,10515,89,4.8645,4.8645,0.245444688,0.249463887,6.533414125
30,4612426,21033,55,3.995,3.995,0.241927875,0.231828589,6.560935259
31,10915637,20170,53,6.8855,6.909,0.251398972,0.239502714,6.539517164
32,40886779,10222,48,3.76,3.713,0.246478852,0.26922337,6.555852652
33,59939991,7011,68,4.5355,4.5355,0.232172437,0.239632335,6.48626399
34,58669237,2811,46,4.794,4.7705,0.246654027,0.264825262,6.503383636
35,77167165,25963,81,4.7235,4.653,0.246389382,0.275815772,6.543204784
36,21995886,5526,21,3.4545,3.431,0.242130406,0.250403804,6.571325779
37,13959207,5466,89,4.7705,4.7705,0.242189536,0.243319518,6.522101164
38,91310625,10317,53,6.0865,6.0865,0.234236456,0.248938245,6.458461523
39,54234314,3092,22,3.7365,3.713,0.241972505,0.254411829,6.46238184
40,23898845,6030,63,5.3815,5.3815,0.237707805,0.248720506,6.515597582
41,36117568,2216,81,5.076,5.0995,0.26225888,0.242529464,6.528694868
42,74404063,15927,17,4.136,4.1125,0.2369799,0.260049005,6.448446274
43,1948631,23835,50,3.0785,3.0785,0.24144778,0.24664398,6.523717403
44,9395325,10559,90,4.371,4.3475,0.240216116,0.26542684,6.529574394
45,61413504,9496,0,2.5145,2.538,0.25201813,0.238109565,6.510841608
46,59938533,25519,87,3.572,3.5955,0.263087919,0.244039536,6.512922049
47,63966330,23768,31,5.3345,5.217,0.248830509,0.28787033,6.538737297
48,7474159,24452,67,4.747,4.7235,0.237648445,0.261975564,6.44997716
49,55513374,38220,70,5.0055,5.0525,0.273745751,0.249568678,6.364890814
50,77495401,40021,49,6.674,6.6505,0.247204073,0.254838843,6.469215631
51,89938027,23170,83,5.123,5.076,0.24783004,0.28562305,6.532315969
52,14742447,16237,82,6.157,6.157,0.249730539,0.246520688,6.535462141
53,21605072,34402,10,3.337,3.3135,0.248077042,0.250910045,6.48368144
54,94586212,42975,37,4.183,4.1125,0.246011099,0.272792384,6.499250174
55,31747377,36072,73,4.794,4.8175,0.257310919,0.227748903,6.496034622
56,29204463,42098,49,6.439,6.439,0.239938061,0.242811882,6.462343693
57,1997517,15220,32,3.666,3.6425,0.242154707,0.250049155,6.52810216
58,70124162,22842,53,6.0865,6.0395,0.245844459,0.260926445,6.465342522
59,19361288,18641,75,5.5695,5.5225,0.235925278,0.275817279,6.549085379
60,76954959,30386,66,4.9585,4.9585,0.23384232,0.23969496,6.530769825
61,30121707,48788,24,4.512,4.512,0.247040882,0.249795756,6.453455925
62,39357615,22901,6,3.8775,3.854,0.238084946,0.250602926,6.553002357
63,52405373,15392,86,4.888,4.8645,0.240306228,0.253045504,6.53456521
