l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,35259691.0,36784.0,41.0,3.5955,3.619,0.25443544896013076,0.24483462357351432,5.483452081680298
1.0,87213936.0,5705.0,96.0,4.747,5.2875,0.25443085723180864,0.24523508249001594,3.7154948711395264
2.0,56329992.0,44102.0,66.0,4.559,4.559,0.23976861446146022,0.2469403118130406,3.75464129447937
3.0,66422628.0,30288.0,2.0,5.405,5.2405,0.24374823452293912,0.2351127013117169,3.7187416553497314
4.0,15880633.0,34152.0,96.0,4.183,4.183,0.22028874484115082,0.22348179766066892,3.728923797607422
5.0,60666095.0,42800.0,57.0,3.9245,3.9715,0.28312663964387824,0.24843326844485855,3.71431303024292
6.0,2185873.0,35259.0,7.0,4.841,4.841,0.2449859070610214,0.24691632339998815,3.7363429069519043
7.0,6122298.0,26670.0,95.0,4.6765,4.6295,0.24551409895365187,0.2713570177734569,3.707702159881592
8.0,75569167.0,6158.0,99.0,5.405,5.358,0.23768538257875765,0.2811247493055829,3.731907844543457
9.0,18017105.0,46178.0,52.0,4.089,4.089,0.24181772131222953,0.23030347341397284,3.706658363342285
10.0,5970165.0,43529.0,84.0,5.2405,5.264,0.2515713926393422,0.23659815573681547,4.160625457763672
11.0,71009277.0,8937.0,59.0,4.6295,4.653,0.2659256830961092,0.237940021490093,3.7081027030944824
12.0,81437590.0,47530.0,55.0,4.5120000000000005,4.465,0.24519287464787548,0.2661608655223954,3.713106870651245
13.0,32532524.0,19779.0,20.0,3.7835,3.7835,0.23675148259158274,0.2462761881942592,3.7385616302490234
14.0,60950274.0,28873.0,89.0,4.0655,4.0655,0.24674648855109207,0.2479713337619649,3.7433784008026123
15.0,79053235.0,5654.0,18.0,5.0525,5.0995,0.27861507584518136,0.2435205327229099,3.715440511703491
16.0,81822709.0,12890.0,37.0,3.431,3.384,0.23814012955284222,0.27681813962799245,3.735443115234375
17.0,1316841.0,44965.0,39.0,4.559,4.5355,0.24650165802610619,0.25736935528768295,3.7475664615631104
18.0,42996747.0,3718.0,88.0,4.5355,4.5355,0.2435140781550856,0.2445443078472524,3.7098629474639893
19.0,92588578.0,22907.0,67.0,4.5355,4.5120000000000005,0.23690580105125555,0.26715907141119766,3.738262176513672
20.0,9505652.0,7212.0,24.0,4.324,4.324,0.24585126412360314,0.23257783596142792,4.193982362747192
21.0,2768424.0,18905.0,16.0,3.149,3.196,0.2739464532931957,0.24383750082332842,3.7422356605529785
22.0,77445070.0,29902.0,29.0,5.0995,5.123,0.2500393494300225,0.24129708984903353,3.70768666267395
23.0,34280728.0,1107.0,11.0,4.7,4.6765,0.23988419135837186,0.2613362107822437,3.7062888145446777
24.0,69475905.0,40001.0,38.0,3.337,3.29,0.24198016784895146,0.2699729803604118,3.7336835861206055
25.0,87338375.0,30018.0,0.0,2.397,2.4205,0.2711201076990812,0.24546295917719618,3.7353615760803223
26.0,52862063.0,6494.0,88.0,4.794,4.7705,0.24810142019296566,0.25101895928187923,3.738769054412842
27.0,41433167.0,4409.0,96.0,4.0185,4.0185,0.22620174521615344,0.23030413329678365,3.711819887161255
28.0,60672313.0,28240.0,16.0,3.196,3.2665,0.2819041301421688,0.2445787987943441,3.7090816497802734
29.0,32111449.0,44253.0,15.0,2.8435,2.867,0.2630963916274952,0.23917471307413776,3.714022397994995
30.0,40576163.0,32358.0,69.0,4.7,4.7,0.23566994874089053,0.24166982151957495,4.18391489982605
31.0,41487931.0,8400.0,13.0,5.2405,5.2405,0.23493153481602147,0.23919088703484473,3.7090656757354736
32.0,50800226.0,7974.0,12.0,4.1125,4.136,0.27226399676738694,0.23574141403507134,3.7196264266967773
33.0,86228946.0,42071.0,82.0,5.687,5.687,0.2362945575132408,0.24882694840981304,3.7351913452148438
34.0,17006693.0,5553.0,18.0,4.888,4.935,0.27093799247542427,0.2366176560970647,3.745114326477051
35.0,29423348.0,16353.0,52.0,5.076,5.029,0.24076120666784287,0.27520226291930755,3.7303779125213623
36.0,61223865.0,40280.0,4.0,4.5825,4.5825,0.24998524916476048,0.24373092904937707,3.6985764503479004
37.0,91525363.0,791.0,36.0,3.8775,3.619,0.24017704646693316,0.27854572402740596,3.7133545875549316
38.0,86148559.0,26673.0,70.0,3.7365,3.7365,0.24888587613504287,0.2383694537875688,3.7193150520324707
39.0,6565480.0,13615.0,95.0,4.9115,4.888,0.23900137136060579,0.25229980500861254,3.7062618732452393
40.0,81770197.0,40144.0,95.0,4.9115,4.8645,0.2488478669172966,0.2625449165117181,4.172063827514648
41.0,83937776.0,6386.0,68.0,4.9115,4.9115,0.24969045056002942,0.23798850120081413,3.7060093879699707
42.0,78649719.0,11870.0,8.0,2.1385,2.0915,0.245586078791384,0.3084894688472959,3.715710401535034
43.0,11922291.0,35830.0,82.0,5.4285,5.405,0.24833620969275466,0.2551159352504422,3.753779172897339
44.0,19434255.0,3457.0,94.0,3.478,3.5015,0.2523213936590796,0.24892387961084841,3.727630376815796
45.0,44819194.0,10646.0,12.0,3.196,3.149,0.24952881608393918,0.2622648099381137,3.7498583793640137
46.0,87774124.0,5180.0,79.0,3.948,3.948,0.2392678414053241,0.23666055939756298,3.741665840148926
47.0,40395162.0,29862.0,88.0,4.6295,4.6295,0.24943354587068572,0.24981043767155772,3.7510344982147217
48.0,31510707.0,36320.0,0.0,3.1725,3.149,0.24290523841380343,0.25324826943840983,3.719308614730835
49.0,16793212.0,45078.0,36.0,3.9245,3.5955,0.2451516693351075,0.2764763421238633,3.7170987129211426
50.0,34219045.0,11922.0,70.0,2.4675,3.5015,0.2550008439387589,0.2354460180630117,4.202511548995972
51.0,76252205.0,48101.0,6.0,4.277,4.2065,0.24806247244637267,0.2700150547960193,3.733637571334839
52.0,81452405.0,545.0,83.0,4.8645,4.8645,0.2301507441145878,0.2308891992879308,3.731929063796997
53.0,80267143.0,32335.0,54.0,3.5485,3.5485,0.24107627571759954,0.24141334843782825,3.6627612113952637
54.0,95621323.0,32387.0,47.0,4.5355,4.559,0.25229651851251755,0.24103084680807857,3.7278060913085938
55.0,95600941.0,13331.0,44.0,3.713,3.6895000000000002,0.24961553085508792,0.2565026929380448,3.7302939891815186
56.0,99387011.0,38293.0,23.0,4.6295,4.5825,0.24868320414280198,0.2676193624481203,3.7386868000030518
57.0,18110299.0,20461.0,6.0,3.243,3.243,0.24181136360674882,0.23917862030317694,3.725595474243164
58.0,92705953.0,5627.0,35.0,4.982,4.982,0.24404739219514865,0.241638398594847,3.7410178184509277
