l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,35573320.0,36178.0,11.0,6.6035,6.5565,0.24540111215214144,0.2623383199088672,16.642246961593628
1.0,67504841.0,42167.0,36.0,3.948,3.5955,0.24342559357562238,0.2706236250800162,14.767636060714722
2.0,13998862.0,15062.0,2.0,5.1465,5.1465,0.23813383441148278,0.2443451669357177,14.870984554290771
3.0,17071890.0,47975.0,49.0,5.9925,6.016,0.2550620115588842,0.2404293274963108,14.849839448928833
4.0,6450143.0,9106.0,24.0,5.029,5.0055,0.23361366197581213,0.25575219430253027,14.868144750595093
5.0,82745853.0,19737.0,75.0,5.734,5.7105,0.23763066449739212,0.259806051060217,14.88066291809082
6.0,33536606.0,47873.0,74.0,5.875,5.875,0.24201475947024223,0.2439654892779753,14.990104675292969
7.0,11131639.0,5574.0,11.0,6.5565,6.533,0.23860098775962552,0.25896138758762666,14.934630393981934
8.0,44201007.0,43002.0,67.0,4.747,4.3475,0.21991890694854738,0.24276691076002968,14.820404529571533
9.0,44327694.0,24741.0,42.0,4.3475,4.324,0.24286726063208458,0.2564659607054242,14.96299958229065
10.0,98640670.0,37669.0,2.0,5.4285,5.452,0.2570916084552714,0.24072624055792544,14.88013219833374
11.0,78207213.0,31034.0,17.0,5.4755,5.4755,0.24450587466929713,0.24694585596328736,14.931212425231934
12.0,27870392.0,38176.0,83.0,5.0055,5.0055,0.22663598600358753,0.2409167757991822,14.905452489852905
13.0,98673815.0,30446.0,76.0,5.546,5.5695,0.2524691653706395,0.23920206250995726,14.858829975128174
14.0,18503385.0,24131.0,33.0,6.0865,6.063,0.24423655070777422,0.2662223603367526,14.905208110809326
15.0,97942028.0,16505.0,81.0,5.264,5.264,0.23748309381222787,0.23291113389412593,14.932638883590698
16.0,99988275.0,14186.0,9.0,4.136,4.1595,0.2714069690421567,0.2370642467880426,14.930355787277222
17.0,63638242.0,12099.0,54.0,4.9115,4.9115,0.23523901600442915,0.24695528540915684,14.85664701461792
18.0,27062917.0,21268.0,56.0,4.7705,4.7705,0.23139820846333325,0.24462131530883022,14.913976669311523
19.0,83365499.0,24572.0,36.0,3.525,3.5015,0.24649844609764926,0.26562058775866193,14.966200828552246
20.0,99075565.0,25914.0,34.0,5.076,5.0995,0.26552028615603845,0.23842566156267597,14.893152713775635
21.0,82099499.0,11459.0,37.0,3.995,3.901,0.2492123363735333,0.27070512722791606,14.96483850479126
22.0,67766113.0,26686.0,63.0,5.123,5.076,0.24438643159810935,0.264996770139964,14.785634994506836
23.0,15740338.0,40666.0,57.0,3.807,3.8305,0.25337012372844897,0.2330629186690655,14.89034390449524
24.0,44172741.0,42863.0,68.0,4.089,4.0655,0.24317583351320934,0.2506267425774606,14.932950496673584
25.0,88199613.0,16963.0,45.0,5.7105,5.734,0.2584091828424592,0.24955452048239152,14.890865087509155
26.0,25419844.0,35871.0,70.0,4.747,4.7705,0.2510741540359486,0.23607571319892623,14.886566400527954
27.0,87799417.0,44486.0,21.0,3.572,3.5485,0.24953713930628335,0.26118480172991443,14.833860874176025
28.0,24615804.0,16737.0,70.0,5.217,5.2405,0.2543237604325995,0.24095859626125032,14.821334838867188
29.0,40660651.0,46012.0,8.0,2.4205,2.209,0.2474160250310833,0.27929601434462514,14.946918964385986
30.0,22200775.0,47743.0,28.0,3.5015,3.478,0.24934787258278213,0.25140853813481395,14.935734748840332
31.0,81903464.0,3349.0,74.0,5.3345,5.311,0.24750356007948582,0.2585983574463912,14.92393708229065
32.0,77760217.0,21986.0,50.0,4.23,4.277,0.27337259879734904,0.24535936482435625,14.951436996459961
33.0,78304262.0,46108.0,59.0,5.076,5.0995,0.25598832930421284,0.24186876106209118,14.836375951766968
34.0,23675765.0,1866.0,37.0,4.136,4.042,0.2493266793508137,0.2768692622902037,14.85151195526123
35.0,97467924.0,40221.0,33.0,7.1205,7.1205,0.24736743186854465,0.23759930352636527,14.908733367919922
36.0,81801182.0,33300.0,62.0,4.982,4.935,0.24664058788004056,0.27973515480713074,14.917032241821289
37.0,50162013.0,7040.0,44.0,2.5615,2.585,0.2503939787193082,0.24188042815196392,14.964541673660278
38.0,3594501.0,17501.0,14.0,6.016,6.063,0.27880426036129813,0.24270813871728333,14.974052906036377
39.0,8296684.0,39309.0,62.0,4.371,4.371,0.22765996257911725,0.23636860941552143,14.871155977249146
40.0,55666647.0,20668.0,61.0,3.8775,3.807,0.24342178763635652,0.2732580571973233,14.967821598052979
41.0,37727024.0,19784.0,50.0,4.183,4.23,0.27026258537813785,0.24181414312660623,15.013489961624146
42.0,87214927.0,19809.0,16.0,5.734,5.6635,0.24072074366082685,0.2820492598829094,14.945555686950684
43.0,46028490.0,24207.0,8.0,2.162,2.0915,0.24982658008388217,0.31143928082673417,14.92399287223816
44.0,78646138.0,6680.0,21.0,3.8305,3.8305,0.24583692438681665,0.23706775894978127,14.903397560119629
45.0,33857338.0,5787.0,29.0,5.264,5.2875,0.25452593064339213,0.24538156604918074,15.035448551177979
46.0,38911572.0,6269.0,68.0,3.478,3.431,0.24515103766055668,0.26479026942373696,14.961780548095703
47.0,78182879.0,37420.0,2.0,5.217,5.17,0.24940945414319587,0.2589636553857284,14.888892412185669
48.0,24762522.0,22887.0,42.0,4.183,4.1595,0.2482783049492937,0.26288278564848777,14.83696722984314
49.0,99949285.0,5731.0,10.0,3.4075,3.384,0.24545304499325532,0.25197892463868987,14.74818730354309
50.0,84503255.0,39527.0,26.0,5.4755,5.2875,0.24763257172521055,0.2665158575600908,14.829967975616455
51.0,53606002.0,24461.0,79.0,4.042,4.042,0.24391984798256333,0.24195152415371324,14.858869075775146
52.0,65093648.0,402.0,19.0,2.914,2.8905,0.23230410453996783,0.2743819235020687,14.923566341400146
53.0,62580572.0,21124.0,99.0,5.3815,5.1935,0.2442890559740412,0.29062848401704205,14.889950275421143
54.0,76872798.0,37844.0,24.0,4.418,4.418,0.24905092037349574,0.2451048741648674,14.882830619812012
55.0,52876544.0,23876.0,83.0,5.076,5.0525,0.23026278735175343,0.2566369834757734,14.939735651016235
56.0,98389733.0,26751.0,92.0,6.2275,6.251,0.2569262344780291,0.24245605571106663,14.894145488739014
57.0,19599454.0,47806.0,26.0,4.277,4.2535,0.23953261873001544,0.25497353500100645,14.740236759185791
58.0,90244722.0,43518.0,11.0,6.157,6.0865,0.24754038750846838,0.26839844609055374,14.906671524047852
