D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
2048,1,0.000712,2.2442500000000005,2.22827,0.24387455558523835,0.24631435336376212,0.485507273308603,0.47796226273825,0.014483122141807324,0.01670586454832865
4096,1,0.001,2.40358,2.4233200000000004,0.24875090867624053,0.24635372818961354,0.6223229431480435,0.6242509522261259,0.01587210883580632,0.01122880099173266
8192,1,8.2e-06,3.9273200000000004,3.940950000000001,0.24168477093224994,0.24757906695002807,1.0808683088212458,1.0781233790438969,0.01844311033582002,0.02002536591879238
8192,3,3.52e-05,4.7521700000000004,4.75969,0.2499070123016535,0.25195804847964715,0.7438811346668629,0.7683470888925724,0.01253708891221243,0.012687936004292303
11586,1,8.559999999999998e-06,3.3807100000000005,3.3478100000000004,0.23729240953963998,0.24295810763954195,1.2015866473489314,1.1811465000758363,0.017760268787676153,0.023520388304454
11586,3,5.6800000000000005e-05,4.89928,4.901160000000001,0.24796814792476649,0.2529081859774717,0.7627087188349185,0.7731974791546812,0.010304940741667733,0.01695030202662914
13308,1,7.84e-06,3.5818700000000003,3.5828100000000007,0.24534244153638007,0.2505141282446711,0.9677145041357764,0.9728511835515239,0.016103586765415193,0.018334905355590313
13308,3,3.16e-05,4.770499999999999,4.74136,0.24658661800000004,0.25165192399999997,0.9047834910000001,0.902358988,0.008744449999999999,0.012487543
14264,1,8.92e-06,3.7487200000000005,3.7529500000000002,0.24554749342228557,0.24911759612815357,0.8044309249931765,0.8148281672350501,0.01671637786682235,0.01808925012408714
15000,1,2.8e-05,4.3980250000000005,4.395675,0.24871341700629368,0.24810247946874617,0.742780318297409,0.7461037201689855,0.009447485615227392,0.009157326027486073
15000,3,3.16e-05,4.770499999999999,4.74136,0.24658661800000004,0.25165192399999997,0.9047834910000001,0.902358988,0.008744449999999999,0.012487543
