l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,70373850.0,33259.0,81.0,4.888,4.9115,0.25056658224447725,0.24431378948838292,2.886883497238159
1.0,3834861.0,1672.0,12.0,3.337,3.3135,0.2496794582745933,0.2686962408589179,2.029231071472168
2.0,22293285.0,30660.0,0.0,2.068,2.0915,0.2718903244254587,0.2466847295664234,2.1402807235717773
3.0,65798024.0,18587.0,58.0,1.833,1.8095,0.24253840409210342,0.2617231596461979,2.1220901012420654
4.0,83403679.0,39729.0,73.0,4.324,4.371,0.26269666138426007,0.2483677242528381,2.0204520225524902
5.0,84114023.0,34886.0,36.0,3.901,3.5955,0.23784799374213142,0.27232621710196575,2.1562440395355225
6.0,92105669.0,1767.0,35.0,5.4285,5.4285,0.24882722799201892,0.2426203896759201,1.9809980392456055
7.0,70208467.0,18602.0,23.0,4.6295,4.606,0.2453067703024233,0.2642814380789562,2.077331304550171
8.0,35024920.0,49145.0,72.0,4.0655,4.0655,0.22859830522121952,0.23105058443200674,2.09200119972229
9.0,13630860.0,1452.0,2.0,1.4805,1.457,0.2312112210862938,0.25770565552952795,1.9948387145996094
10.0,35705920.0,19114.0,40.0,3.6425,3.6425,0.2454933775535292,0.24958323905795285,2.0859158039093018
11.0,49790949.0,39852.0,37.0,4.0655,3.9715,0.24483470783173988,0.26929192983459715,2.1125900745391846
12.0,46536473.0,32220.0,61.0,3.901,3.8775,0.23471604679233318,0.2621331320934287,2.052044153213501
13.0,94798105.0,38633.0,79.0,3.2665,3.2665,0.2396715178906355,0.23475858490949997,2.0237014293670654
14.0,82608875.0,46070.0,57.0,3.6425,3.666,0.2546903998569473,0.24465573335920113,2.046567916870117
15.0,42248730.0,7474.0,73.0,2.3735,2.3735,0.24005065003227455,0.2428174757871753,2.077739715576172
16.0,14884865.0,42507.0,90.0,4.418,4.371,0.24455601216337933,0.26900510915197673,1.9443376064300537
17.0,4404909.0,3608.0,57.0,3.337,3.337,0.24377825119396496,0.245612716668524,1.9561007022857666
18.0,26984749.0,23897.0,13.0,5.311,5.2875,0.24224202264121694,0.2532274794612288,2.0944840908050537
19.0,67470634.0,30068.0,77.0,3.948,3.948,0.24641663966305,0.2412816001040564,2.142209529876709
20.0,86239239.0,36826.0,75.0,5.452,5.4285,0.2358257778481146,0.2620967016132442,1.9644789695739746
21.0,46740825.0,38542.0,90.0,5.499,5.5695,0.28032160882566515,0.24971449444259836,2.0335581302642822
22.0,35628160.0,38052.0,60.0,5.7105,5.7105,0.2481985331337339,0.24360854534461404,2.1020114421844482
23.0,49999527.0,23619.0,43.0,4.2535,3.948,0.23977017968949124,0.29096353084676924,2.0955395698547363
24.0,65196347.0,26427.0,57.0,3.1255,3.0785,0.24292569381577594,0.2638755776282261,2.0852670669555664
25.0,84558587.0,44133.0,2.0,3.7835,3.854,0.2716465538472525,0.24681547875084547,2.1023924350738525
26.0,39813126.0,10477.0,33.0,4.1595,4.136,0.2411042758702323,0.2704192423760725,2.1192588806152344
27.0,65647828.0,32278.0,90.0,3.948,3.9245,0.2393765987934273,0.2505688254724359,2.138273000717163
28.0,51932546.0,14891.0,20.0,4.841,4.841,0.23519337598315343,0.2484811319791855,2.1905910968780518
29.0,95929104.0,3613.0,68.0,4.5355,4.5355,0.22952669234332831,0.23638112031524333,2.090681791305542
30.0,95105325.0,26538.0,26.0,3.5015,3.478,0.2424288091021947,0.25099829076853464,2.0706098079681396
31.0,66394774.0,37141.0,29.0,4.7235,4.7235,0.24444125888443538,0.23838675166452267,2.0788960456848145
32.0,93161072.0,25696.0,78.0,4.747,4.7235,0.2391707820177033,0.2549513615747879,2.1109542846679688
33.0,42030562.0,31664.0,71.0,0.5875,0.5875,0.18683891961912266,0.19488357269138523,2.1016242504119873
34.0,50638259.0,8500.0,87.0,3.807,3.8305,0.2741946003066653,0.24175454552230388,2.11468505859375
35.0,72412858.0,19796.0,13.0,5.64,5.6635,0.25106440598554075,0.24860543875383737,2.1350245475769043
36.0,81864034.0,10507.0,71.0,4.7235,4.7,0.23739029156161265,0.25456934833228223,2.1003386974334717
37.0,3682343.0,33522.0,0.0,2.3265,2.35,0.2589524771174266,0.23298340434047754,2.1041204929351807
38.0,97166475.0,11335.0,80.0,4.747,4.747,0.23955213639763775,0.2368907821812864,2.1067728996276855
39.0,52470394.0,31978.0,40.0,3.6425,3.6425,0.2433743682822126,0.24757707964106868,2.034191846847534
40.0,27670782.0,33754.0,82.0,4.9585,4.9585,0.22373429076776039,0.24686202757230133,2.073322057723999
41.0,50133797.0,38866.0,41.0,5.076,5.1465,0.2736267116543183,0.24689815165317044,2.124762773513794
42.0,82331969.0,6885.0,52.0,3.995,4.0185,0.2515436374250289,0.23836810753268411,1.999265193939209
43.0,53789374.0,4849.0,45.0,4.7,4.7,0.2452114800493493,0.23780649715108765,2.0970458984375
44.0,70136600.0,28498.0,89.0,4.9115,4.888,0.24825420084353625,0.2540254592108458,2.100416421890259
45.0,29700584.0,31777.0,76.0,0.9165,0.9165,0.20953136602452632,0.1907677229384757,2.0950043201446533
46.0,32122016.0,4868.0,42.0,3.008,3.0315,0.2659991639109338,0.24649810595433438,2.1091089248657227
47.0,78388420.0,41225.0,79.0,3.243,3.243,0.24420975233179176,0.24053519790125047,2.0762507915496826
48.0,14300378.0,11786.0,61.0,0.8695,0.8695,0.22860136254966643,0.23356010854433043,2.0791356563568115
49.0,93014879.0,48899.0,27.0,3.948,3.948,0.24768583580639883,0.24013151537655628,2.12782883644104
50.0,62469959.0,1612.0,86.0,4.5120000000000005,4.5120000000000005,0.23112318953249486,0.23725850428811732,2.0634307861328125
51.0,18906939.0,22777.0,68.0,3.4075,3.384,0.2375339814361071,0.2607349502863028,2.0674023628234863
52.0,56532358.0,15034.0,47.0,4.5120000000000005,4.982,0.23917131598477662,0.24953664194478242,2.0923120975494385
53.0,47619650.0,7551.0,80.0,2.162,2.162,0.23545071061355338,0.24282387648423887,2.094926118850708
54.0,50126447.0,15116.0,11.0,4.7,4.6765,0.24038298265800329,0.2617162657822641,1.9503874778747559
55.0,24357118.0,42352.0,79.0,1.081,1.081,0.23102082972667398,0.2205960740751292,2.0957117080688477
56.0,1284845.0,15229.0,95.0,5.0525,5.029,0.24223754277027154,0.2517480689238723,2.0670344829559326
57.0,12109721.0,23404.0,6.0,5.4755,5.4755,0.24955465534877572,0.24700399717077703,2.040239095687866
58.0,54209613.0,35075.0,8.0,2.1385,2.0915,0.24098683110959485,0.3024310315351837,2.092319965362549
59.0,32796411.0,36710.0,62.0,4.2535,4.23,0.2444350599108193,0.25203771004355263,2.0048511028289795
60.0,29999130.0,35335.0,97.0,3.1725,3.149,0.24771316107312513,0.25184119982296743,2.1186623573303223
61.0,64207189.0,12300.0,41.0,3.6895000000000002,3.713,0.25139855622883,0.24707515075576864,2.1140642166137695
62.0,36712903.0,42819.0,41.0,3.6895000000000002,3.6895000000000002,0.24305745237697862,0.23861480386256032,2.0652313232421875
63.0,44389362.0,8994.0,30.0,5.029,5.0055,0.24825281567404506,0.2584283545714245,2.0883147716522217
64.0,44953757.0,32477.0,6.0,1.034,1.0575,0.2589009421680154,0.24743995980471994,2.0512428283691406
65.0,9984233.0,5957.0,92.0,4.7,4.7235,0.25851782699417225,0.2441744657708934,2.06931209564209
66.0,48591505.0,11135.0,70.0,3.807,3.8305,0.25509313669061867,0.24226408231754204,2.1150455474853516
67.0,99458814.0,20861.0,25.0,5.9455,5.8985,0.24276871356036656,0.27133927749658354,2.0390541553497314
68.0,9856013.0,2869.0,27.0,4.2065,4.2065,0.22923741357253635,0.23087912380686187,2.0632050037384033
69.0,64753852.0,9985.0,22.0,3.76,3.76,0.23658073041279137,0.24890530241743988,2.1153595447540283
70.0,60857388.0,20807.0,22.0,4.559,4.888,0.26628024158322644,0.23987170714644848,2.1232659816741943
71.0,39035129.0,33619.0,11.0,5.781,5.264,0.24810936773148448,0.2970986852645551,2.088207244873047
72.0,84028591.0,12598.0,53.0,5.076,5.123,0.28063561172524143,0.24081233882217185,1.9784865379333496
73.0,50845631.0,36868.0,72.0,0.94,0.94,0.22873833111805641,0.240674490425472,2.0190439224243164
74.0,31510622.0,24598.0,40.0,5.311,5.264,0.2412146853879757,0.2686449316650417,2.1121068000793457
75.0,88572706.0,41204.0,96.0,4.23,4.23,0.2351748022244724,0.23645638934252972,2.070883274078369
76.0,56362028.0,6870.0,89.0,5.405,5.405,0.2294955983910401,0.24644361931175818,2.0958187580108643
77.0,46257495.0,22955.0,71.0,5.076,5.076,0.24981553758532177,0.24170616453612057,2.068767786026001
78.0,27406142.0,2259.0,88.0,3.5015,3.525,0.26229544983688347,0.2308167170753733,2.1435673236846924
79.0,2586380.0,49971.0,30.0,5.1465,5.1465,0.23014448629382428,0.2418971757510641,2.1154963970184326
80.0,51057843.0,26418.0,58.0,5.781,5.734,0.2342338636366067,0.2804631289100855,2.0133655071258545
81.0,25043120.0,39274.0,64.0,4.465,4.465,0.2419184089444137,0.24626797519998658,2.102651834487915
82.0,40900721.0,1811.0,96.0,3.29,3.29,0.2315557682476484,0.23532758808883514,2.1040241718292236
83.0,64264688.0,33263.0,63.0,2.538,2.5615,0.2536028234436564,0.2466638046518277,2.0625200271606445
84.0,52064236.0,40373.0,12.0,3.384,2.82,0.24846064736180606,0.264781641925343,2.0384154319763184
85.0,53474254.0,41718.0,79.0,3.478,3.478,0.24258581534068763,0.23675813801349554,2.07827091217041
86.0,35691785.0,46324.0,59.0,4.9115,4.935,0.26653618013772706,0.23208544332236192,2.0183145999908447
87.0,46769218.0,46254.0,59.0,2.3735,2.35,0.24887087379874623,0.2618523474748722,2.0088555812835693
88.0,11258389.0,1759.0,78.0,5.6165,5.64,0.2511161960833902,0.24347516487039855,2.061737537384033
89.0,45335840.0,23833.0,23.0,4.653,4.6295,0.24166864480060093,0.2616368878750104,2.028350591659546
90.0,78005630.0,16614.0,1.0,4.418,3.6425,0.24536214773155257,0.2972770198852527,2.064842700958252
91.0,91090467.0,31836.0,80.0,3.3135,3.29,0.240594835955531,0.2655035978328736,2.0382094383239746
92.0,45234317.0,18183.0,9.0,3.995,4.042,0.27495712677703266,0.24202367556096857,2.095099449157715
93.0,38889079.0,6028.0,8.0,2.1385,2.068,0.24876771537354023,0.31237076417677323,2.056835412979126
94.0,41866869.0,35034.0,50.0,3.666,3.619,0.24601852271669106,0.2823182480844302,2.082338809967041
95.0,80888810.0,46403.0,3.0,3.807,3.7835,0.23896140513941125,0.2560949233298649,2.0123119354248047
96.0,10986664.0,28293.0,56.0,4.183,4.1595,0.24875996944888634,0.26451376906847135,2.088618040084839
97.0,56395682.0,26856.0,30.0,5.076,5.076,0.23813106253965238,0.24967914384387377,2.023259162902832
98.0,74978627.0,27500.0,82.0,5.452,5.452,0.24053651040653068,0.2482113452692033,2.109598398208618
99.0,65525219.0,16550.0,41.0,2.773,2.773,0.24261556598100775,0.24360615991169043,2.0651051998138428
100.0,35377069.0,23158.0,11.0,1.88,1.88,0.23267381788043573,0.2312691493694975,2.0921523571014404
101.0,8225649.0,15338.0,77.0,2.444,2.4675,0.25763966848027164,0.24556039502277702,2.108081579208374
102.0,6747876.0,31551.0,76.0,5.1935,5.17,0.24357904517813067,0.2545710833009011,2.092691659927368
103.0,90719395.0,28927.0,5.0,1.9035,1.9035,0.23265108479160806,0.23182088457586483,2.0651421546936035
104.0,6012512.0,27481.0,21.0,5.3345,5.358,0.2515604883328574,0.24172147950273293,2.1257479190826416
105.0,93909478.0,24232.0,29.0,4.8645,4.8645,0.24219566107023227,0.2364244572172556,2.099245071411133
106.0,62364842.0,21354.0,87.0,3.8775,3.901,0.26436899927147384,0.23467415466697758,2.0339457988739014
107.0,60709061.0,25591.0,45.0,2.0445,2.0445,0.24487710848500321,0.22934360908077808,2.0488436222076416
108.0,64939978.0,3858.0,77.0,4.4885,4.606,0.291449975618315,0.24441289834988267,2.0880348682403564
109.0,39037084.0,7215.0,51.0,5.6635,5.687,0.25057101680923227,0.24446598787085572,2.116359233856201
110.0,62286600.0,37929.0,89.0,3.9715,3.948,0.2435868136530112,0.25369407579379316,2.001579999923706
111.0,78088750.0,8686.0,43.0,4.7705,4.7705,0.23494750412105672,0.24816774817330953,2.068817615509033
112.0,98660604.0,32985.0,99.0,4.9115,4.9115,0.23489930316786903,0.2464921958973128,2.0918772220611572
113.0,76592798.0,10497.0,13.0,4.3005,4.324,0.25289199949271224,0.24271893768150074,2.0280981063842773
114.0,574182.0,31072.0,20.0,3.854,3.8305,0.24697626113057458,0.2568561272210705,2.012634515762329
115.0,5521394.0,16234.0,39.0,5.264,5.1465,0.243342358724058,0.2893768277795989,2.1194183826446533
