D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
2048,1,0.000532,2.6790000000000003,2.7025,0.2525273036536977,0.2450211889241324,0.3726806608881121,0.3473710192287204,0.0133112692859341,0.0028145335379423
4096,1,0.0008559999999999,2.8764,2.8670000000000004,0.2498408967479469,0.2516601495649558,1.1373368784137792,1.1155695294332846,0.0119078094558573,0.0186069148766917
8192,1,5.32e-06,3.854,3.7788,0.2483579845636323,0.2503370883943289,0.6080554045479738,0.6958143250896751,0.0067854619117075,0.0074610186415161
8192,3,3.88e-05,5.578900000000001,5.550700000000001,0.243032465605951,0.2660819732454004,0.4606839209262682,0.4597239117122365,0.0122165705784478,0.0211801008307093
8192,4,6.76e-05,5.2734000000000005,5.2781,0.2521437619754509,0.2516775128160839,0.2773597393278268,0.2773597393278266,0.008219837074483,0.0155318000854383
11586,1,7.84e-06,4.5637,4.465000000000001,0.2438459357169564,0.2568763562032632,0.7001659267630778,0.7002842280103128,0.0035908875445618,0.0154061611107895
11586,3,3.88e-05,5.5789,5.5695,0.2479830318412225,0.2632839640047787,0.385285348800081,0.3621593226744273,0.0113903281907489,0.0260840023446988
11586,4,5.6800000000000005e-05,5.668200000000001,5.6682,0.248448490851064,0.246210680923502,0.6637242085384566,0.6273663801958151,0.0088442180037147,0.0193263860934672
13308,1,8.2e-06,3.9856,3.995000000000001,0.2468747590616317,0.2393410550066756,0.4454474435890276,0.4342733873955438,0.020330754177478,0.0070356225398637
13308,3,3.88e-05,5.5084,5.499,0.25299326,0.26083219,0.47076313,0.47728726,0.01155492,0.01689671
14264,1,7.12e-06,4.0655,4.0608,0.249919696114415,0.2450114973339227,0.9689298220201504,0.9657041860735618,0.0085759831931093,0.0114312664023056
