beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-06,0.3431,0.3431,0.08944549605594898,0.09204379492348265,0.021019038988498,0.021019038988498,0.0168153784276095,0.015184211124010962
1.36e-06,0.38070000000000004,0.38070000000000004,0.13537119648934093,0.13108672924458697,0.056105481015672615,0.056105481015672615,0.047518852709609434,0.04836612511322579
1.7199999999999998e-06,0.6392,0.6298,0.20442703728123368,0.208981408689067,0.29039382741373826,0.2846314722584275,0.04894373963192975,0.059374999386137405
2.08e-06,0.5593,0.5593,0.16808806111448238,0.17174351663844042,0.14524444911940695,0.14524444911940695,0.04266517212122747,0.05010466285886965
2.44e-06,0.6862,0.6815000000000001,0.1974154669534301,0.21184593693380185,0.24781081493752447,0.2552753415432051,0.02328314854515843,0.036588188417678136
2.8e-06,0.7896000000000001,0.7849,0.18926130000437602,0.19914717503638932,0.22392922989194602,0.21704129791355378,0.040484940787053815,0.060226761551300724
3.16e-06,0.8460000000000001,0.8460000000000001,0.203925414554669,0.20073177096015843,0.19091490250894502,0.19091490250894502,0.02407813887229289,0.02482911064378858
3.5199999999999998e-06,0.8742000000000001,0.8835999999999999,0.22255780207235595,0.21570080492314025,0.16897137331512696,0.16749417900333133,0.036464176329487896,0.0170176218599253
3.88e-06,1.457,1.4617000000000002,0.21359364825991076,0.21168563762458303,0.96478877221908,0.9850957821450663,0.04778083478431804,0.051422142291449695
4.24e-06,2.1056000000000004,2.1009,0.2254229143540285,0.22719550129214655,1.6526699761295356,1.654256456840958,0.034475324140334884,0.033520071040145705
4.599999999999999e-06,1.8189000000000002,1.8142,0.23913361912440798,0.23140199758103927,0.7639488202752853,0.7610154893298823,0.006140821430576382,0.018092973577318625
4.96e-06,2.5662000000000003,2.5427,0.2408459924628793,0.25916304457662254,0.9888726282995198,0.9945804140440329,0.007366265511618735,0.015056767524354411
5.32e-06,2.8717,2.8341000000000003,0.24137805558587477,0.26298974721538876,1.7052808639634707,1.6746615105745994,0.006464313309804511,0.03696362106391077
5.68e-06,3.5766999999999998,3.572,0.23598670840892844,0.2448531619710198,1.1846424355053298,1.1862263696276525,0.017749916889618602,0.0245881804373902
6.04e-06,2.7918000000000003,2.7683,0.24563061660193145,0.2680482272364941,1.2855810262289966,1.2658846017706353,0.010490878530815923,0.029835693166760956
6.399999999999999e-06,3.1537,3.149,0.23812952450576796,0.24283152236429772,1.4047418624074672,1.396224373086217,0.026611928359718772,0.017121628930723793
6.76e-06,3.2477,3.2430000000000003,0.243485638063208,0.2454477787565077,1.5946615863561773,1.5917672568563532,0.013581604285122575,0.01816924887602363
7.12e-06,2.2090000000000005,2.2043,0.22538280694602522,0.2244775230134648,1.2205303662752516,1.2114928084805126,0.019239163450234145,0.028461428882388767
7.4799999999999995e-06,3.9151,3.8069999999999995,0.2467756088992109,0.25643779948447615,1.4063331486529074,1.362898703132408,0.010887409845892398,0.011392045767558416
7.84e-06,3.3652,3.3605,0.2466699623288065,0.251679308549972,1.027759006285034,1.0333321706982708,0.010909643235724244,0.016511613346754963
8.2e-06,4.1736,4.1407,0.24321937777094293,0.2576191792197038,0.772574786023981,0.7803627842228253,0.009617589631492215,0.025322088456413018
8.559999999999998e-06,2.3218,2.3359,0.24482645958559665,0.22713941230342108,0.8186976395471038,0.8226007081202884,0.04646956432900363,0.03399655244516682
8.92e-06,3.7553,3.7553,0.23138855451421955,0.23883538675635713,2.07475855824238,2.07475855824238,0.012850495112608197,0.010047797609526064
9.28e-06,3.1020000000000003,3.0879,0.24553019204482507,0.25113962481486285,1.7893980831553384,1.7762797991870536,0.003991502462629373,0.025258701558094617
9.640000000000001e-06,4.3381,4.4321,0.2511616731329222,0.24307469556318806,1.0015246751827933,0.8898404632292242,0.013749502128935026,0.011730327445902881
1e-05,3.6895,3.6989,0.24719350883922428,0.25121266863347386,1.2529048746812346,1.2790348607446163,0.011605414063989704,0.003943116858962638
1.36e-05,4.352200000000001,4.253500000000001,0.24466943293157428,0.24611445052278902,0.6701415522111727,0.5018226778454716,0.019267847833216646,0.013975215444356136
1.72e-05,4.0185,3.9057000000000004,0.24370365118090473,0.2564233049881973,0.8224999999999997,0.6572442087991343,0.005689229358679786,0.018122318669917953
2.08e-05,4.9397,4.9491000000000005,0.25561360340567,0.24661018325072792,1.0639298966567299,1.0319417013572034,0.02128883501564147,0.005196468798318858
2.44e-05,5.235800000000001,5.2311000000000005,0.2484486438534511,0.2479976686534392,1.2805236038433654,1.2753595277410994,0.004216953933628515,0.015083156346421298
2.8e-05,3.6613,3.651900000000001,0.2319218993880098,0.2359605739520072,1.5521923447176253,1.5406934072033929,0.0291076926676738,0.0363093161706399
3.16e-05,4.154800000000001,4.150100000000001,0.24905118723538622,0.24881509288924689,0.7245854504473577,0.7434324448125733,0.009474630155753595,0.014204743142300115
3.52e-05,3.9433000000000002,3.8305000000000007,0.2542625464097293,0.24991964986935802,0.7736105770993572,0.5654668425292504,0.022955117249722542,0.013681456801833651
3.88e-05,4.422700000000001,4.375700000000001,0.2476571247435239,0.2565981487302679,0.6991793046136305,0.7329212611188187,0.011894930519278799,0.017963004513191768
4.240000000000001e-05,4.7705,4.7705,0.24491410152480164,0.24348802507479272,0.7569408001951009,0.762211912790662,0.00913149932281416,0.010235127425906031
4.6e-05,4.9491000000000005,4.9397,0.24524503409663323,0.24683258373796396,0.410947746069984,0.40919701856196355,0.011972435715181863,0.014851938490361068
4.9600000000000006e-05,5.1888000000000005,5.2029000000000005,0.24847350719952896,0.24913696000713736,0.9849556208276595,0.9859643375903614,0.007844396934286804,0.0030423561036569367
5.3200000000000006e-05,3.5908,3.5203000000000007,0.24572214924433575,0.26720109920923685,0.6836036497854586,0.6815810296655856,0.004728241222169991,0.01773996320478596
5.6800000000000005e-05,3.6519,3.6378000000000004,0.24534840120473517,0.2583045164605209,1.3067986359803103,1.299998249998822,0.013071209809394715,0.021308430225956194
