l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0,71027662,23405,70,5.499,5.499,0.238553258,0.237446356,9.80405879
1,2840673,27050,29,4.7235,4.747,0.254809524,0.247871871,9.781203747
2,56029681,24694,79,3.995,3.995,0.240571496,0.238441542,9.743913651
3,17015080,4060,62,5.8045,5.8515,0.27134412,0.235296446,9.845230341
4,41731252,32050,4,5.217,5.217,0.235295525,0.242405684,9.699264526
5,1350822,47240,20,4.0185,3.995,0.24179463,0.257639898,9.72641921
6,9042540,23147,32,3.2665,3.337,0.257751704,0.249452066,9.827447414
7,44960703,17266,89,4.888,4.888,0.24301158,0.247874254,9.661959648
8,60752571,7743,93,5.452,5.4285,0.249418075,0.25263997,9.72736907
9,63545503,4937,50,4.3005,4.324,0.261898734,0.236359644,9.725146294
10,90371516,2578,27,4.3005,4.3005,0.230107247,0.232155772,9.727067232
11,10318134,48229,72,5.452,5.452,0.249113391,0.237259463,9.817898035
12,50107100,30009,87,3.9715,3.995,0.257658356,0.234264622,9.661088467
13,80627771,25765,72,5.5225,5.546,0.259932522,0.244014933,9.709788084
14,43077124,27926,59,4.8175,4.841,0.27395635,0.237437642,9.768352509
15,44673900,14302,83,5.2875,5.217,0.245753998,0.291707628,9.70795989
16,73321714,10830,57,3.666,3.666,0.237920026,0.228484169,9.768981457
17,76135829,40536,32,3.666,3.6425,0.248830973,0.257114937,9.746074915
18,30884352,38451,85,4.6295,4.653,0.253591211,0.248599522,9.672212362
19,50062839,4776,90,4.4415,4.418,0.242680759,0.266565808,9.78201437
20,88269845,19997,25,5.593,5.5695,0.245853903,0.258930832,9.754248857
21,88567340,27946,77,4.3475,4.512,0.304423626,0.247698915,9.793657064
22,28081592,35207,39,6.3685,6.392,0.256569429,0.248173494,9.775586367
23,423689,35887,66,4.888,4.888,0.231508703,0.229576853,9.757404566
24,44659306,5291,57,3.76,3.76,0.243328543,0.229286985,9.82575202
25,67182417,35170,91,5.2405,5.264,0.259714134,0.242493889,9.821244717
26,47057599,19066,19,3.4545,3.384,0.240559321,0.275123873,9.733349323
27,3751987,36588,3,5.0055,5.029,0.255300884,0.248936586,9.771849155
28,46158114,18399,97,3.196,3.1725,0.247385979,0.25142405,9.725996494
29,67843306,31308,35,5.7575,5.734,0.241742557,0.252193739,9.696540594
30,59275427,31490,37,4.089,3.948,0.246421908,0.272097145,9.688161373
31,85309505,36856,94,4.2065,4.1595,0.247996076,0.258525927,9.738952637
32,81131317,33067,72,5.7105,5.7105,0.231901529,0.232508669,9.731906176
33,90134740,49991,72,5.452,5.452,0.247137319,0.235119086,9.790703297
34,5720976,42804,14,6.016,6.0865,0.283334152,0.245194233,9.703061581
35,11764351,19133,76,5.5695,5.5695,0.242807557,0.230488384,9.806500912
36,21292854,42974,56,4.7235,4.7235,0.231602209,0.24418127,9.837092638
37,15247969,31724,46,4.653,4.653,0.223458182,0.232973933,9.729247808
