D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
4096,2,5.68e-06,5.6165,5.593,0.2401909064405437,0.2679412925754127,0.9667901142440382,0.9483349223771104,0.0086115121012594,0.0240840628553785
6208,4,2.9800000000000003e-05,5.3016000000000005,5.2969,0.2414204871269902,0.2434002218765964,0.4837804770761216,0.4829235705574953,0.0091583205171688,0.0130546638296829
8192,3,1.9900000000000003e-05,5.4990000000000006,5.5131000000000006,0.2522708752241397,0.2515468770477133,0.6425004863811388,0.6570761371408949,0.0130086210041031,0.0214440061621249
8192,4,9.1e-06,5.6024,5.597700000000001,0.2433486568363203,0.248943453010249,0.4457572770017335,0.4450753587877001,0.0064605906315142,0.0102986888142005
8192,5,2.35e-05,5.36975,5.3815,0.2500276659459817,0.2482685688234163,1.0468715895466838,1.0302545801888003,0.0035430518010413,0.0017337386327734
11586,3,7.48e-05,5.3956,5.2922,0.25287411328435,0.258785318834319,0.8506545567972937,0.9032074512535868,0.0128206125010287,0.0190457071049215
13308,3,4.1500000000000006e-05,5.6494,5.6494,0.2580241613902473,0.2538406134991882,0.5810253221676318,0.5757739790924907,0.0116024107087935,0.0165573510604496
13308,5,9.550000000000002e-05,5.404999999999999,5.3815,0.2461100652202862,0.2525494889237415,0.4320422433049803,0.3988082245892128,0.0024661469172741,0.0159466951412412
13308,6,8.650000000000002e-05,6.3215,6.298,0.2430841160882282,0.2488685076683588,0.5982123368838193,0.6314463555995874,0.0080733245291741,0.0185696106004437
13308,7,7.3e-05,5.4990000000000006,5.499,0.2511499159974221,0.2474526470324705,0.3655742058734453,0.3988082245892128,0.0131894090636864,0.0102067759474215
13308,8,0.000145,5.9455,5.9925,0.2638682034012147,0.2452948545671928,0.0997020561473032,0.0664680374315356,0.0125602695743467,0.0043312518162266
14000,2,2.8e-05,6.21575,6.23925,0.2492582704464896,0.2468350714279901,0.4154252339470969,0.4486592526628644,0.0141639669109496,0.0035700952722807
14000,3,4.6e-05,5.6635,5.67525,0.2531973500813636,0.2392254337999618,0.3655742058734447,0.3489571965155612,0.0246478162299946,0.0101649907814043
