D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
4096,2,4.24e-06,4.426930000000001,4.41612,0.24824562564048713,0.2537293587373965,1.0288653175902593,1.0442004103983702,0.013342292934463271,0.01506954005754908
6208,4,8.74e-05,4.53221,4.508710000000001,0.24633714009558152,0.2569283176783318,0.6458225028941219,0.6459576768005819,0.011168708293630262,0.01995704500870514
8192,3,2.6200000000000003e-05,4.859800000000001,4.84006,0.2472925715957719,0.254032375836732,0.9011187387768369,0.9015758178852024,0.0111176369228821,0.012791052051339449
8192,4,5.3200000000000006e-05,4.74982,4.74512,0.24931292970669078,0.25534734973965734,1.0226304835568782,1.0189611748785763,0.014531971529304641,0.0158734099820916
8192,5,3.7000000000000005e-05,4.777550000000001,4.7611,0.2475728864352932,0.25360842221632807,0.49851028073651604,0.5284208975807072,0.0078311711517055,0.015157151982584131
11586,3,4.060000000000001e-05,4.76956,4.77379,0.2505793396457037,0.24888663129187943,0.894021411807972,0.9013064732950864,0.01381964057464008,0.01399263976975458
13308,3,3.43e-05,4.817970000000001,4.82643,0.2488090407516571,0.2501565250397823,0.9875080925874464,0.9955789173435872,0.01016550931776848,0.01188091574986227
13308,5,6.850000000000001e-05,4.983175000000001,4.97495,0.24721830512576615,0.2507355639935416,0.6929292902237574,0.6879441874163921,0.01307278737059419,0.011199739628881942
13308,6,3.7000000000000005e-05,4.647125000000001,4.6295,0.24495090948743686,0.2584339340812921,0.8923334025183635,0.9072887109404592,0.0071411371188336405,0.018539060675084942
13308,7,9.1e-05,4.4685250000000005,4.435625000000001,0.24368236350562128,0.252713455619488,0.8690695894173264,0.8989802062615171,0.010443378627277431,0.016668761388691448
13308,8,0.00019,4.697650000000001,4.68825,0.2476733920291346,0.24960370459836242,0.9604631408856874,0.9305525240414964,0.010103070881237682,0.010231288208211991
14000,2,3.52e-05,4.98435,4.9796499999999995,0.24571429673990933,0.24998143236747386,0.880701495967845,0.8873482997109986,0.01100801943017933,0.007174555375321021
14000,3,7.48e-05,4.97495,4.954975,0.2461445360293838,0.2555610817337448,0.9305525240414965,0.9554780380783223,0.00722408831454319,0.01920740757617193
