beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-08,0.04700000000000001,0.04700000000000001,0.07518363670943914,0.07736619821646917,0.0,0.0,0.07671461147805558,0.08028694099023398
1.36e-08,0.032900000000000006,0.032900000000000006,0.023206442813168346,0.023394345698211097,0.012871480101371404,0.012871480101371404,0.044952397682998746,0.044411485844101185
1.72e-08,0.032900000000000006,0.032900000000000006,0.008285703195106311,0.008057398725925697,0.012871480101371404,0.012871480101371404,0.01082696618245796,0.010660221574104796
2.08e-08,0.032900000000000006,0.032900000000000006,0.0035368920144356604,0.0034825974324504253,0.012871480101371404,0.012871480101371404,0.0033803867054718975,0.003043954007497292
2.44e-08,0.042300000000000004,0.042300000000000004,0.019211349676411617,0.019671736995616182,0.01050951949424901,0.01050951949424901,0.030708600395296923,0.0320389372106121
2.8e-08,0.0376,0.0376,0.0037466837451081703,0.003852930351774673,0.012871480101371404,0.012871480101371404,0.005529940851048408,0.00528313854123802
3.1600000000000005e-08,0.0517,0.0517,0.032644127780124696,0.03461341204892717,0.010509519494249015,0.010509519494249015,0.04909673564463498,0.05202126328599643
3.5200000000000004e-08,0.0376,0.0376,0.04318225782263059,0.044338212969111744,0.012871480101371402,0.012871480101371402,0.05477365711336833,0.05390481041390943
3.88e-08,0.042300000000000004,0.042300000000000004,0.036719612075527375,0.03603711325374073,0.01050951949424901,0.01050951949424901,0.07529471891694013,0.07324951378784107
4.24e-08,0.0376,0.0376,0.01358483024836687,0.012755070728334756,0.012871480101371402,0.012871480101371402,0.02133457755265238,0.019510665502201145
4.5999999999999995e-08,0.0376,0.0376,0.023137451240250337,0.025065003037543228,0.012871480101371402,0.012871480101371402,0.04124896628419246,0.0462367276494335
4.96e-08,0.042300000000000004,0.042300000000000004,0.08608755139939593,0.08327249010336575,0.010509519494249012,0.010509519494249012,0.09280737567903857,0.0870121120013038
5.3200000000000007e-08,0.0376,0.0376,0.013526670752730317,0.013667927332437123,0.012871480101371402,0.012871480101371402,0.021931928116806384,0.022908596096148794
5.68e-08,0.0517,0.0517,0.06821770004885241,0.06909043839125509,0.010509519494249015,0.010509519494249015,0.07804376151697621,0.08490828387812721
6.04e-08,0.0376,0.0376,0.006729074608709369,0.00686504348712343,0.012871480101371402,0.012871480101371402,0.011695745529863301,0.01183586845134646
6.399999999999999e-08,0.047,0.047,0.014697166172932083,0.01585117971274564,0.016617009357883867,0.016617009357883867,0.028793374360217037,0.0315998609304156
