l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,51599948.0,151175.0,46.0,8.715525000000001,9.635,0.0073508780036659685,0.00249700099177076,0.28934717178344727
1.0,69056627.0,170963.0,474.0,6.20165,7.545,0.007260488860915394,0.0024390707852817157,0.28840112686157227
2.0,60350105.0,141826.0,398.0,7.4893,8.290000000000001,0.0074339954153587575,0.002406664655359113,0.29424095153808594
3.0,94159765.0,231055.0,197.0,5.83765,6.4750000000000005,0.0071796384373061925,0.002419744145391986,0.28487658500671387
4.0,41208934.0,343581.0,46.0,6.604325,8.03,0.007503135280786852,0.0024869032453815262,0.28640198707580566
5.0,33138881.0,98540.0,77.0,5.949125,6.5975,0.007504148207099511,0.0024968914879018225,0.2876400947570801
6.0,37436581.0,335126.0,123.0,3.7742250000000004,4.2125,0.007688651564918224,0.0024440534017225865,0.28345298767089844
7.0,21650278.0,102747.0,74.0,5.257525,5.8325000000000005,0.007330289465947502,0.002406764587970237,0.28235626220703125
8.0,57376857.0,186994.0,358.0,6.122025000000001,6.785,0.007200390660180876,0.002441380518348401,0.28554797172546387
9.0,8439469.0,310375.0,136.0,6.5520000000000005,7.275,0.00740581717896522,0.002430411647079653,0.28392601013183594
10.0,24455289.0,29301.0,89.0,5.69205,7.035,0.00743463575311321,0.002441160964837007,0.2904059886932373
11.0,83050481.0,222724.0,399.0,4.115475,4.575,0.0073207603362332166,0.002393155166640825,0.2845470905303955
12.0,38400142.0,193783.0,324.0,6.276725,6.9725,0.007635039566331228,0.0024702767086356853,0.3014261722564697
13.0,54332385.0,172395.0,499.0,6.870500000000001,7.640000000000001,0.007864001358896592,0.0024980334051896568,0.28646206855773926
14.0,42664041.0,18752.0,60.0,7.541625000000001,8.352500000000001,0.007561295543692413,0.0024418871639420364,0.2849867343902588
15.0,48243574.0,213277.0,137.0,7.389200000000001,8.1975,0.0078093644416040485,0.0024887449823416505,0.2840597629547119
16.0,60711339.0,360596.0,49.0,8.4357,9.365,0.008227414359818457,0.002495452244628863,0.28277111053466797
17.0,46462256.0,144467.0,258.0,5.662475000000001,6.3025,0.007531305407842702,0.00249800144126005,0.2870478630065918
18.0,60344167.0,217029.0,460.0,7.364175,8.15,0.00749756416159978,0.0024844669050518814,0.28278088569641113
19.0,49092554.0,383381.0,106.0,5.94685,6.605,0.007384400436678161,0.0024278187442171037,0.28421688079833984
20.0,81500098.0,56273.0,112.0,4.770675000000001,8.6325,0.00704892132985007,0.002406959902250406,0.28696489334106445
21.0,91144826.0,258503.0,349.0,6.991075,7.7525,0.007657621534553252,0.002489378862213248,0.2885298728942871
22.0,1443717.0,91878.0,253.0,6.13795,8.8175,0.007316543993746351,0.002498083884164901,0.28461599349975586
23.0,4409352.0,267039.0,117.0,7.655375,8.4725,0.007344171169618853,0.002429233590840609,0.28766512870788574
24.0,98159688.0,119968.0,492.0,3.458,3.855,0.007407890906566128,0.002443287861610507,0.29123616218566895
25.0,88997222.0,377844.0,197.0,5.9559500000000005,6.6025,0.0073029221732756585,0.0024619717479205457,0.28857421875
26.0,82438366.0,76559.0,336.0,5.94685,6.5975,0.007169059379099538,0.0024343343559671037,0.28978824615478516
27.0,43148703.0,10699.0,364.0,6.0242,7.4375,0.0077757802758363645,0.0024914916888196244,0.2853240966796875
28.0,75530792.0,196133.0,50.0,5.48275,7.51,0.007692455006606476,0.0024829262882538512,0.29071521759033203
29.0,92601713.0,9715.0,244.0,6.183450000000001,6.885,0.00787711547133023,0.0024878688959124036,0.28292322158813477
30.0,42307399.0,19169.0,402.0,7.195825,7.9775,0.007405014276677138,0.0024553369195478227,0.2807443141937256
31.0,1308507.0,118413.0,425.0,6.5247,7.2475000000000005,0.007400527800515542,0.002480683858554164,0.28441286087036133
32.0,87952701.0,119264.0,34.0,5.218850000000001,5.8025,0.007464340678826539,0.0024544879409342008,0.28729891777038574
33.0,9331795.0,267926.0,301.0,6.274450000000001,6.9625,0.007630861112129205,0.002448056635690879,0.29024720191955566
34.0,79491182.0,219249.0,409.0,6.01965,6.6775,0.007754609759202766,0.002486556980845633,0.2868921756744385
35.0,9986298.0,124481.0,498.0,7.325500000000001,8.120000000000001,0.007414798742013666,0.0024934434002977005,0.28180789947509766
36.0,67209598.0,215400.0,68.0,7.446075,8.2525,0.007770154846687981,0.0024992072044497282,0.2930140495300293
37.0,75655174.0,35585.0,348.0,4.92765,7.5200000000000005,0.00753521049320411,0.0024726414937978553,0.2844836711883545
38.0,19628490.0,292826.0,319.0,7.43925,8.24,0.00751346186321461,0.0024493535106801904,0.2827451229095459
39.0,85111891.0,178936.0,420.0,9.737,10.7575,0.007024529892995104,0.0023886872276097475,0.2828826904296875
40.0,93421775.0,392136.0,467.0,6.8159,7.5600000000000005,0.007704123056965932,0.0024875787649423,0.28939390182495117
41.0,70189955.0,346560.0,48.0,5.5009500000000005,10.105,0.007647059198420247,0.002422147948053669,0.285891056060791
42.0,16002437.0,389954.0,404.0,6.008275,6.6575,0.007286095294079712,0.00245016934443304,0.2824671268463135
43.0,20606265.0,38067.0,73.0,5.46455,6.0675,0.007662798158264883,0.002479371732404027,0.28411221504211426
44.0,11091989.0,173757.0,191.0,1.8245500000000001,9.88,0.00778301052204488,0.00248166058250428,0.2936708927154541
45.0,63644057.0,253334.0,260.0,7.3050250000000005,8.790000000000001,0.007946926909590172,0.002470943723609586,0.28548598289489746
46.0,52200318.0,18073.0,355.0,5.1346750000000005,10.3375,0.00779177983944259,0.0024175183417332073,0.2903861999511719
47.0,79790594.0,36035.0,69.0,7.26635,8.05,0.007336121106336059,0.0024882978336452193,0.29090404510498047
48.0,40819838.0,196049.0,89.0,7.757750000000001,8.5875,0.007369505710042514,0.0024519488067127,0.289276123046875
49.0,33283771.0,233782.0,259.0,5.70115,6.3425,0.007913211766439714,0.002484310007525673,0.2871980667114258
50.0,55145321.0,90373.0,125.0,7.3619,8.81,0.007258176489527021,0.002455343802343944,0.2826380729675293
51.0,4755469.0,345506.0,230.0,6.913725,7.67,0.007565632887369301,0.0024778266358648185,0.289323091506958
52.0,82162634.0,90517.0,294.0,4.879875,5.415,0.007068563231390931,0.002377234554508161,0.28565073013305664
