l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,55723671.0,2060.0,61.0,0.0,0.0,0.0,0.0,0.004418134689331055
1.0,89843595.0,3713.0,144.0,0.18200000000000002,0.4,0.005818225733575106,0.0016815146728440856,0.004212856292724609
2.0,56564401.0,1619.0,215.0,0.0,0.0,0.0,0.0,0.004221916198730469
3.0,46673570.0,320.0,2.0,0.18200000000000002,0.6000000000000001,0.002075688856662327,0.0005987062489359073,0.004099130630493164
4.0,78547323.0,1342.0,159.0,0.18200000000000002,0.2,0.0017140529965220539,0.0005183403002117725,0.0037848949432373047
5.0,15033888.0,2376.0,226.0,0.0,0.0,0.0,0.0,0.0037660598754882812
6.0,89132960.0,2832.0,485.0,0.0,0.2,0.004564521060177952,0.0013812561391745735,0.0039331912994384766
7.0,61704882.0,2824.0,268.0,0.0,0.0,0.0,0.0,0.003679990768432617
8.0,34958762.0,1994.0,119.0,0.18200000000000002,0.4,0.0061086844482696545,0.0017921919328731072,0.0037000179290771484
9.0,17028708.0,2958.0,380.0,0.0,0.0,0.0,0.0,0.0039539337158203125
10.0,4035851.0,2038.0,494.0,0.0,0.0,0.0,0.0,0.003873109817504883
11.0,47685442.0,3490.0,88.0,0.0,0.2,0.0050841334335068366,0.0014872960476448908,0.0037610530853271484
12.0,34045504.0,3677.0,328.0,0.18200000000000002,0.2,0.0022539362708646755,0.0007023427618871086,0.003902912139892578
13.0,82396202.0,1118.0,67.0,0.18200000000000002,0.4,0.0029049480348494854,0.0008416998091685239,0.003654956817626953
14.0,35610155.0,1604.0,397.0,0.0,0.0,0.0,0.0,0.004304170608520508
15.0,29469068.0,4027.0,356.0,0.0,0.0,0.0,0.0,0.0036432743072509766
16.0,30185054.0,235.0,97.0,0.18200000000000002,0.2,0.0023162137360163357,0.0006993182891147166,0.0036830902099609375
17.0,9702701.0,1969.0,266.0,0.36400000000000005,0.4,0.0018309548818262224,0.0005833091083544558,0.0037081241607666016
18.0,78262145.0,4429.0,104.0,0.18200000000000002,0.4,0.0069622121248953004,0.002037225672130476,0.003874063491821289
19.0,33127676.0,1908.0,439.0,0.18200000000000002,0.4,0.0031612015297613635,0.0009299644798771559,0.0038971900939941406
20.0,2976242.0,375.0,322.0,0.0,0.2,0.00400057782982791,0.0012107773647590553,0.0037071704864501953
21.0,37317456.0,3530.0,122.0,0.18200000000000002,0.2,1.9558954384888974e-05,6.377351321687901e-06,0.004141807556152344
22.0,27812615.0,2635.0,475.0,0.36400000000000005,0.4,0.0019146834413702196,0.0005420783988739808,0.0038678646087646484
23.0,44653148.0,1570.0,28.0,0.0,0.0,0.0,0.0,0.0039370059967041016
24.0,4833177.0,2560.0,136.0,0.0,0.2,0.0028497026441014414,0.0008810606108831736,0.003712177276611328
25.0,99952217.0,3391.0,194.0,0.0,0.0,0.0,0.0,0.003950834274291992
26.0,8454561.0,2965.0,408.0,0.0,0.2,0.0025412616646198105,0.0007431085307278938,0.003937959671020508
27.0,45932658.0,3643.0,225.0,0.18200000000000002,0.2,0.0007705052211519965,0.00021768556849432604,0.003924846649169922
28.0,2597480.0,3850.0,331.0,0.18200000000000002,0.2,7.36174647254356e-05,2.1610883751854437e-05,0.0041828155517578125
29.0,23151417.0,872.0,169.0,0.18200000000000002,0.2,0.00027496288884080295,8.326960091966641e-05,0.004128932952880859
30.0,39673332.0,1252.0,8.0,0.0,0.0,0.0,0.0,0.0041658878326416016
31.0,19699313.0,1314.0,462.0,0.36400000000000005,0.4,0.0005188342646509301,0.00014471312035919893,0.004006862640380859
32.0,16934380.0,4820.0,39.0,0.0,0.0,0.0,0.0,0.003988981246948242
33.0,10617244.0,2898.0,24.0,0.36400000000000005,0.4,0.0006748890892787129,0.00019711063266457363,0.0038640499114990234
34.0,34086263.0,77.0,260.0,0.36400000000000005,0.4,0.001350225867495584,0.0003520210022955953,0.003669261932373047
