l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,55723671.0,12.0,295.0,0.0,0.0,0.0,0.0,0.0021419525146484375
1.0,89843595.0,167.0,10.0,0.0,0.0,0.0,0.0,0.0018129348754882812
2.0,56564401.0,641.0,163.0,0.0,0.0,0.0,0.0,0.0014801025390625
3.0,46673570.0,595.0,112.0,0.0,0.0,0.0,0.0,0.0015299320220947266
4.0,78547323.0,320.0,186.0,0.0,0.0,0.0,0.0,0.0015468597412109375
5.0,15033888.0,318.0,294.0,0.0,0.0,0.0,0.0,0.0015769004821777344
6.0,89132960.0,612.0,231.0,0.0,0.0,0.0,0.0,0.0014100074768066406
7.0,61704882.0,328.0,226.0,0.0,0.0,0.0,0.0,0.0013539791107177734
8.0,34958762.0,784.0,309.0,0.0,0.0,0.0,0.0,0.0014767646789550781
9.0,17028708.0,776.0,97.0,0.0,0.0,0.0,0.0,0.0013408660888671875
10.0,4035851.0,970.0,54.0,0.0,0.0,0.0,0.0,0.001672983169555664
11.0,47685442.0,910.0,110.0,0.0,0.0,0.0,0.0,0.0014190673828125
12.0,34045504.0,919.0,151.0,0.0,0.0,0.0,0.0,0.0015850067138671875
13.0,82396202.0,549.0,245.0,0.0,0.0,0.0,0.0,0.001554250717163086
14.0,35610155.0,418.0,405.0,0.0,0.0,0.0,0.0,0.001631021499633789
15.0,29469068.0,605.0,68.0,0.0,0.0,0.0,0.0,0.0013380050659179688
16.0,30185054.0,94.0,311.0,0.0,0.0,0.0,0.0,0.0016391277313232422
17.0,9702701.0,816.0,288.0,0.0,0.0,0.0,0.0,0.0013730525970458984
18.0,78262145.0,580.0,249.0,0.0,0.0,0.0,0.0,0.0014541149139404297
19.0,33127676.0,317.0,35.0,0.0,0.0,0.0,0.0,0.0013871192932128906
20.0,2976242.0,955.0,238.0,0.0,0.0,0.0,0.0,0.0013871192932128906
21.0,37317456.0,235.0,147.0,0.0,0.0,0.0,0.0,0.0014600753784179688
22.0,27812615.0,945.0,466.0,0.0,0.0,0.0,0.0,0.0014348030090332031
23.0,44653148.0,333.0,226.0,0.0,0.0,0.0,0.0,0.0014348030090332031
24.0,4833177.0,884.0,243.0,0.0,0.0,0.0,0.0,0.0013821125030517578
25.0,99952217.0,375.0,490.0,0.0,1.0,0.005135333821667159,0.001521140242314654,0.0013060569763183594
26.0,8454561.0,458.0,336.0,0.0,0.0,0.0,0.0,0.0014510154724121094
27.0,45932658.0,136.0,445.0,0.0,0.0,0.0,0.0,0.0013210773468017578
28.0,2597480.0,929.0,364.0,0.0,0.0,0.0,0.0,0.0014560222625732422
29.0,23151417.0,587.0,490.0,0.0,0.0,0.0,0.0,0.001428842544555664
30.0,39673332.0,994.0,481.0,0.0,0.0,0.0,0.0,0.0014150142669677734
31.0,19699313.0,546.0,200.0,0.0,0.0,0.0,0.0,0.0014901161193847656
32.0,16934380.0,512.0,153.0,0.0,0.0,0.0,0.0,0.001538991928100586
33.0,10617244.0,295.0,449.0,0.0,0.0,0.0,0.0,0.0016210079193115234
34.0,34086263.0,319.0,72.0,0.0,0.0,0.0,0.0,0.0014307498931884766
35.0,70098339.0,917.0,200.0,0.0,0.0,0.0,0.0,0.0015292167663574219
36.0,50234072.0,571.0,295.0,0.0,0.0,0.0,0.0,0.0013659000396728516
37.0,95481108.0,831.0,16.0,0.0,0.0,0.0,0.0,0.0014071464538574219
38.0,3369720.0,348.0,128.0,0.0,0.0,0.0,0.0,0.0015840530395507812
39.0,71819939.0,839.0,216.0,0.0,0.0,0.0,0.0,0.0013232231140136719
40.0,91008393.0,778.0,60.0,0.0,0.0,0.0,0.0,0.0014138221740722656
41.0,73963364.0,872.0,426.0,0.0,0.0,0.0,0.0,0.001524209976196289
42.0,2640328.0,228.0,103.0,0.0,0.0,0.0,0.0,0.001374959945678711
43.0,25856919.0,269.0,41.0,0.0,0.0,0.0,0.0,0.001344919204711914
44.0,57658082.0,827.0,24.0,0.0,0.0,0.0,0.0,0.0014200210571289062
45.0,93437616.0,797.0,38.0,0.0,0.0,0.0,0.0,0.0013620853424072266
46.0,55395426.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0014081001281738281
47.0,27348975.0,724.0,130.0,0.0,0.0,0.0,0.0,0.0014081001281738281
48.0,11552291.0,164.0,497.0,0.0,0.0,0.0,0.0,0.0014278888702392578
49.0,70640.0,4.0,228.0,0.0,0.0,0.0,0.0,0.0015039443969726562
50.0,77498463.0,850.0,107.0,0.0,0.0,0.0,0.0,0.0016531944274902344
51.0,62976036.0,378.0,171.0,0.0,0.0,0.0,0.0,0.001425027847290039
52.0,85241611.0,77.0,434.0,0.0,0.0,0.0,0.0,0.0014460086822509766
53.0,97684848.0,409.0,477.0,0.0,0.0,0.0,0.0,0.0013587474822998047
54.0,3741196.0,573.0,101.0,0.0,0.0,0.0,0.0,0.0014071464538574219
55.0,90876182.0,131.0,353.0,0.0,0.0,0.0,0.0,0.0015859603881835938
56.0,19511512.0,600.0,11.0,0.0,0.0,0.0,0.0,0.0013909339904785156
57.0,83692386.0,748.0,274.0,0.0,0.0,0.0,0.0,0.0014331340789794922
58.0,40260456.0,41.0,100.0,0.0,0.0,0.0,0.0,0.0013430118560791016
59.0,11720477.0,88.0,43.0,0.0,0.0,0.0,0.0,0.0015990734100341797
60.0,13217648.0,401.0,442.0,0.0,0.0,0.0,0.0,0.0014929771423339844
61.0,22558781.0,295.0,304.0,0.0,0.0,0.0,0.0,0.0014829635620117188
62.0,59946863.0,839.0,444.0,0.0,0.0,0.0,0.0,0.0015170574188232422
63.0,62784216.0,294.0,16.0,0.0,0.0,0.0,0.0,0.0013089179992675781
64.0,32425301.0,615.0,329.0,0.0,0.0,0.0,0.0,0.0013461112976074219
65.0,70373772.0,525.0,56.0,0.0,0.0,0.0,0.0,0.0014028549194335938
66.0,88146618.0,799.0,310.0,0.0,0.0,0.0,0.0,0.001420736312866211
67.0,26778642.0,690.0,496.0,0.0,0.0,0.0,0.0,0.001341104507446289
68.0,60995760.0,636.0,302.0,0.0,0.0,0.0,0.0,0.0015878677368164062
69.0,95499875.0,421.0,11.0,0.0,0.0,0.0,0.0,0.0013718605041503906
70.0,46547339.0,864.0,317.0,0.0,0.0,0.0,0.0,0.0013611316680908203
71.0,90372540.0,22.0,79.0,0.0,0.0,0.0,0.0,0.0013279914855957031
72.0,14573458.0,574.0,215.0,0.0,0.0,0.0,0.0,0.0013489723205566406
73.0,47911176.0,142.0,338.0,0.0,0.0,0.0,0.0,0.0013380050659179688
74.0,29264326.0,992.0,263.0,0.0,0.0,0.0,0.0,0.001386880874633789
75.0,82896667.0,664.0,478.0,0.0,0.0,0.0,0.0,0.0014171600341796875
76.0,53953229.0,144.0,148.0,0.0,0.0,0.0,0.0,0.0014531612396240234
77.0,88132318.0,224.0,80.0,0.0,0.0,0.0,0.0,0.0015571117401123047
78.0,56294783.0,502.0,214.0,0.0,0.0,0.0,0.0,0.0016281604766845703
79.0,59145779.0,961.0,484.0,0.0,0.0,0.0,0.0,0.0014090538024902344
80.0,46977874.0,973.0,373.0,0.0,0.0,0.0,0.0,0.0013990402221679688
81.0,29365614.0,820.0,463.0,0.0,0.0,0.0,0.0,0.0013480186462402344
82.0,89268367.0,615.0,197.0,0.0,0.0,0.0,0.0,0.0015342235565185547
83.0,47010676.0,103.0,199.0,0.0,0.0,0.0,0.0,0.001377105712890625
84.0,51371106.0,946.0,24.0,0.0,0.0,0.0,0.0,0.0014188289642333984
85.0,37327243.0,38.0,465.0,0.0,0.0,0.0,0.0,0.0013458728790283203
86.0,69426200.0,946.0,88.0,0.0,0.0,0.0,0.0,0.0014400482177734375
87.0,96435123.0,197.0,267.0,0.0,0.0,0.0,0.0,0.0013637542724609375
88.0,69872506.0,645.0,142.0,0.0,0.0,0.0,0.0,0.0012993812561035156
89.0,10198499.0,578.0,58.0,0.0,0.0,0.0,0.0,0.0014109611511230469
90.0,37342772.0,390.0,409.0,0.0,0.0,0.0,0.0,0.0013628005981445312
91.0,44362902.0,178.0,488.0,0.0,0.0,0.0,0.0,0.0015208721160888672
92.0,197775.0,967.0,364.0,0.0,0.0,0.0,0.0,0.0015349388122558594
93.0,35940920.0,553.0,25.0,0.0,0.0,0.0,0.0,0.0015022754669189453
94.0,84673574.0,447.0,46.0,0.0,0.0,0.0,0.0,0.0014619827270507812
95.0,23614649.0,499.0,287.0,0.0,0.0,0.0,0.0,0.0018570423126220703
96.0,78507230.0,14.0,265.0,0.0,0.0,0.0,0.0,0.0013289451599121094
97.0,17310852.0,622.0,15.0,0.0,0.0,0.0,0.0,0.0013921260833740234
98.0,78535842.0,668.0,198.0,0.0,0.0,0.0,0.0,0.0013461112976074219
99.0,54564054.0,288.0,400.0,0.0,0.0,0.0,0.0,0.0013990402221679688
100.0,62989020.0,477.0,406.0,0.0,0.0,0.0,0.0,0.0014641284942626953
101.0,30773482.0,230.0,281.0,0.0,0.0,0.0,0.0,0.001445770263671875
102.0,78733130.0,922.0,468.0,0.0,0.0,0.0,0.0,0.001371145248413086
103.0,77273675.0,419.0,85.0,0.0,0.0,0.0,0.0,0.0014820098876953125
104.0,2276360.0,156.0,249.0,0.0,0.0,0.0,0.0,0.0014221668243408203
105.0,49437769.0,549.0,390.0,0.0,0.0,0.0,0.0,0.0014431476593017578
106.0,99294096.0,440.0,269.0,0.0,0.0,0.0,0.0,0.001505136489868164
107.0,31665404.0,96.0,334.0,0.0,0.0,0.0,0.0,0.0015900135040283203
108.0,92800518.0,996.0,116.0,0.0,0.0,0.0,0.0,0.0017428398132324219
109.0,85218477.0,410.0,6.0,0.0,0.0,0.0,0.0,0.0013959407806396484
110.0,57849484.0,950.0,136.0,0.0,0.0,0.0,0.0,0.0014221668243408203
111.0,16434343.0,288.0,370.0,0.0,0.0,0.0,0.0,0.001569986343383789
112.0,44079273.0,253.0,175.0,0.0,0.0,0.0,0.0,0.0013799667358398438
113.0,92992904.0,195.0,327.0,0.0,0.0,0.0,0.0,0.001386880874633789
