beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3599999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.72e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.08e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4399999999999998e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7999999999999997e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.16e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.52e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.88e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.24e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5999999999999996e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9599999999999995e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.32e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6799999999999994e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.039999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.399999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.759999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.12e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.479999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.84e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.199999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.559999999999998e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.92e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.279999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.64e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.72e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.08e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.44e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
