l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
0.0,75572861.0,27937.0,3165.0,10.7562,11.9574,0.030593246112822325,0.041894568855831
1.0,98589084.0,72573.0,4966.0,15.4336,15.397200000000002,0.0353312131141677,0.08563728363597568
2.0,42872570.0,62902.0,622.0,11.8664,13.722800000000001,0.033200002047025376,0.04751727823261351
3.0,91237526.0,24340.0,240.0,12.230400000000001,12.194,0.036050278924637774,0.08462304849931168
4.0,12067440.0,158539.0,377.0,11.1384,12.376000000000001,0.047914855382844235,0.048784241237499325
5.0,1896990.0,51268.0,4946.0,8.772400000000001,11.284,0.12126004785544012,0.049526870570315455
6.0,18082975.0,128310.0,624.0,10.574200000000001,11.757200000000001,0.03963652518859969,0.037427588213713496
7.0,16113982.0,38687.0,2280.0,12.3032,12.285,0.043533180685729866,0.05602100688795345
8.0,12912185.0,155393.0,2999.0,10.5014,12.3396,0.03545113268974458,0.036935266319264706
9.0,2933125.0,90802.0,4523.0,12.539800000000001,12.503400000000001,0.04172024621951788,0.07867408661964786
10.0,82366574.0,147117.0,808.0,7.2982000000000005,7.189,0.043613327336228164,0.5859300063837313
11.0,75721110.0,9711.0,1150.0,10.1738,10.137400000000001,0.03583134249043592,0.1246871517978308
12.0,72318398.0,124054.0,4858.0,9.7188,10.9382,0.030385494988529858,0.03710516195105159
13.0,72157476.0,155529.0,4960.0,10.137400000000001,10.119200000000001,0.03506852682300039,0.05132351149081937
14.0,43147850.0,155878.0,2571.0,10.4468,11.757200000000001,0.04944750161785856,0.047591806058354356
15.0,48407254.0,59137.0,4921.0,7.7896,11.9938,0.06508852181400365,0.04905939639407859
16.0,91489472.0,94978.0,1283.0,11.775400000000001,11.757200000000001,0.03668102281750284,0.0598476778874812
17.0,90096076.0,160768.0,3799.0,11.5388,11.5206,0.039758022492607514,0.07528960071104229
18.0,19539843.0,60791.0,2694.0,10.6834,11.2658,0.029607337878081008,0.04137917245991922
19.0,11045350.0,58504.0,407.0,11.3568,11.338600000000001,0.03926137770709775,0.06767001113822968
20.0,71668423.0,166414.0,493.0,9.646,12.0484,0.03837207286108852,0.049606372883245556
21.0,50762997.0,137586.0,1646.0,10.0282,10.0282,0.03580854372538531,0.04747789178534141
22.0,75485740.0,40601.0,764.0,10.1738,12.6308,0.044440231800201485,0.049100300020292593
23.0,49998338.0,20296.0,1942.0,12.5762,13.7956,0.037951072823794375,0.040768632275463
24.0,82847492.0,136849.0,1364.0,10.428600000000001,11.648,0.03607502901755239,0.041637660191335545
25.0,74809747.0,95013.0,2170.0,10.8108,11.4114,0.03765140280350307,0.04129181923200018
26.0,83330736.0,47358.0,2060.0,7.607600000000001,7.5166,0.0481279125944715,0.07666715101863816
27.0,35934017.0,122250.0,1589.0,11.739,11.7026,0.04560668270931951,0.09098687139917663
28.0,4061301.0,155001.0,720.0,10.9746,10.9382,0.03656540098421335,0.08620562897828173
29.0,10928303.0,135513.0,4340.0,12.1576,12.103,0.04590602369976536,0.15293006664377476
30.0,25524222.0,1831.0,902.0,10.8108,12.6308,0.04101098873966083,0.046812793633486414
31.0,69188864.0,167123.0,4616.0,10.101,10.01,0.04740103837406823,0.31055312978537986
32.0,59166148.0,87163.0,4962.0,11.466000000000001,12.0484,0.03194842300762768,0.03862431476578802
33.0,72024066.0,95704.0,467.0,11.6662,13.4862,0.02908627690774217,0.04216556643043636
34.0,79977994.0,95218.0,3673.0,9.828000000000001,10.428600000000001,0.039514882983306056,0.044038377865906364
35.0,68460186.0,17081.0,4003.0,10.6288,10.574200000000001,0.04913174822613251,0.18085783330272556
36.0,61765082.0,88921.0,3628.0,11.4296,11.4296,0.03919650044717436,0.049567769699942435
37.0,4718392.0,89362.0,2929.0,11.921000000000001,11.8846,0.0475240303983331,0.09682634792511068
38.0,80191719.0,9575.0,993.0,10.9928,10.9382,0.04534955320010525,0.1602162994251337
39.0,33136696.0,96922.0,3285.0,14.2688,14.2688,0.042394039406435415,0.04758723895594431
40.0,51168455.0,27026.0,298.0,10.3012,13.3224,0.040749447783822106,0.04640864696877206
41.0,56139978.0,72261.0,327.0,9.7188,12.74,0.03651157735430165,0.04949666337695617
42.0,35933390.0,156056.0,4314.0,10.283000000000001,16.2344,0.03599679396270931,0.04158077497544214
43.0,71682566.0,175835.0,1472.0,10.829,12.066600000000001,0.035587239307284954,0.045242241131156255
44.0,69015102.0,81750.0,1311.0,11.2658,12.539800000000001,0.04842272835828815,0.042852996028374675
45.0,43930061.0,106050.0,4985.0,10.192,12.012,0.030266141587433463,0.0475760171662882
46.0,76522735.0,84146.0,1799.0,10.3922,10.3558,0.048332467878713405,0.10370523594308938
47.0,90049354.0,77159.0,3729.0,11.1384,11.8118,0.04543358285022334,0.04547859090503944
48.0,1898185.0,74784.0,3244.0,10.574200000000001,11.757200000000001,0.04161305094909159,0.04021896846287299
49.0,27829105.0,158236.0,308.0,12.6126,12.5762,0.04849239682338581,0.0990090436053354
50.0,31170546.0,151282.0,2515.0,11.648,14.0868,0.0456188390790083,0.04784154565224373
51.0,83163434.0,62524.0,1756.0,8.463000000000001,8.3902,0.04565243638518269,0.31780402166260785
52.0,48137959.0,66291.0,523.0,10.264800000000001,10.2284,0.046623998551073395,0.09571428732398601
53.0,91123343.0,48841.0,4443.0,10.0464,9.991800000000001,0.04831082822214189,0.08643914786459435
54.0,37658519.0,59059.0,3403.0,11.375,11.3568,0.04406530819692076,0.05758758145867486
55.0,21572212.0,6300.0,1252.0,11.1384,11.0838,0.04902826238887257,0.10446437350046499
56.0,75506923.0,47980.0,1140.0,10.374,12.812800000000001,0.04399677142693054,0.043549380248211325
57.0,9642760.0,171722.0,793.0,12.376000000000001,13.577200000000001,0.03427655388904095,0.04388159572678599
58.0,37152332.0,126903.0,1235.0,11.174800000000001,11.174800000000001,0.04459483372755252,0.049296830978897734
59.0,33082479.0,140073.0,2174.0,15.5974,16.1616,0.025007193425871856,0.03643212440976321
60.0,8841258.0,95041.0,3399.0,10.5196,10.465,0.038257718756989995,0.1441203125886437
61.0,19660255.0,126097.0,2700.0,10.0828,10.0282,0.040308110130791025,0.11580157669080737
62.0,60137222.0,97170.0,1875.0,11.939200000000001,12.5762,0.05454165457426691,0.047674883608626394
63.0,89475269.0,134676.0,3365.0,11.83,11.8118,0.035221283513493865,0.0591030126275308
64.0,3378631.0,130014.0,653.0,10.9382,12.1576,0.0478956020484064,0.043984545598718325
65.0,69233483.0,50163.0,1024.0,7.6622,12.4124,0.03319729411690452,0.041354908375004835
66.0,95150841.0,45993.0,3173.0,9.191,10.428600000000001,0.04127082511763269,0.043085791266899445
67.0,48781797.0,67812.0,4743.0,12.467,12.4306,0.03961899910741526,0.08618393927248824
68.0,81086106.0,2052.0,3636.0,10.6288,11.2294,0.033075578534937825,0.0394724152699042
69.0,82499006.0,116493.0,4654.0,12.4124,12.376000000000001,0.03605046828870431,0.07451689480404274
70.0,91364425.0,89762.0,4955.0,12.8856,12.8856,0.03873992799324433,0.04630636328932858
71.0,22576434.0,18475.0,1963.0,11.7208,11.6844,0.035978883739231506,0.07952394545257997
72.0,10617994.0,80283.0,3861.0,10.9018,10.8472,0.046857276562282446,0.12477239673011395
73.0,68225364.0,158037.0,4641.0,12.521600000000001,13.741000000000001,0.03304977951044279,0.045036807847336116
74.0,520166.0,163270.0,1206.0,10.92,12.1576,0.03568634285747496,0.04056325419606197
75.0,97052408.0,172538.0,4735.0,10.8472,10.8108,0.04830476329122225,0.06950087067758647
76.0,43183989.0,173016.0,3706.0,9.919,11.1202,0.035781615624136384,0.036635211204075833
77.0,27388621.0,124222.0,4979.0,10.101,10.719800000000001,0.04389043080827987,0.04865075633648484
78.0,14221210.0,13147.0,623.0,10.4468,11.6662,0.04906074943682951,0.038543192846882554
79.0,22795320.0,130462.0,2795.0,11.8482,11.83,0.04750623886133357,0.07498719594049308
80.0,13291079.0,56892.0,2637.0,9.0272,11.4478,0.03903247020359611,0.0497191066204864
81.0,41981208.0,40238.0,506.0,15.106,16.962400000000002,0.0576262237524226,0.04590034467086971
82.0,83008328.0,139312.0,4391.0,7.4438,7.389200000000001,0.049101848146511,0.062405302625496026
83.0,78232922.0,67054.0,1184.0,8.5904,10.9928,0.032671792462608165,0.038320644305026734
84.0,76366831.0,27641.0,2029.0,11.648,11.611600000000001,0.044391276263479704,0.07292141184523325
85.0,1806717.0,50726.0,3490.0,8.4994,11.5206,0.04656848439447231,0.04996262930511116
86.0,39147612.0,141954.0,2130.0,12.230400000000001,12.194,0.039551295608628204,0.07778303287458715
