l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
0.0,21673913.0,8454.0,4186.0,7.8624,7.8624,0.047398495488748124,0.04789925996099506
1.0,61471896.0,46750.0,2851.0,7.644,7.680400000000001,0.08963898487636641,0.049673753334146406
2.0,23998117.0,13851.0,4976.0,7.6622,7.644,0.03828607887022813,0.05805190891549594
3.0,79587975.0,44440.0,1149.0,8.372,8.335600000000001,0.04314680179164452,0.10728254894300694
4.0,43992383.0,72604.0,2570.0,6.188000000000001,7.4438,0.05740770404990066,0.047033170409712416
5.0,78099229.0,84091.0,1790.0,4.5318000000000005,6.3518,0.037270919612165034,0.043964144168418845
6.0,1945820.0,64032.0,1504.0,9.209200000000001,9.1546,0.04265761673856207,0.15687132492252115
7.0,76515192.0,3217.0,4781.0,9.682400000000001,9.646,0.041247265060175,0.12125457738613123
8.0,86855321.0,57564.0,630.0,6.2062,9.809800000000001,0.03939005284903592,0.03971091811564182
9.0,14587503.0,71876.0,4284.0,7.844200000000001,7.8078,0.04273093814540827,0.09216154158722252
10.0,25942968.0,74534.0,180.0,6.333600000000001,6.279,0.04566992966746164,0.07211686323865797
11.0,1994053.0,75890.0,3958.0,6.8796,8.6996,0.043535642642066004,0.04193572807726123
12.0,41310308.0,39469.0,3191.0,6.734,6.6794,0.048713984122371504,0.14482457545943675
13.0,4452445.0,72809.0,3064.0,8.1354,8.1172,0.048592419200180065,0.06546865660144358
14.0,39520040.0,86322.0,4166.0,3.8584,3.8766000000000003,0.05603819846886009,0.04907905743326236
15.0,22714399.0,27661.0,376.0,7.5166,7.462000000000001,0.04010785620015141,0.16685466588124934
16.0,31386933.0,64982.0,1325.0,6.2062,6.1334,0.04994848679279705,0.1410115327787212
17.0,53973490.0,31461.0,4646.0,8.0626,8.0444,0.0371183915715003,0.07326350811348491
18.0,38644114.0,45899.0,2481.0,0.0,0.0,0.0,0.0
19.0,51976196.0,90137.0,2201.0,5.7694,5.6966,0.048792250346847234,0.199828988000762
20.0,20048282.0,70464.0,2595.0,6.1516,6.0606,0.04092331987485427,0.44346027044957054
21.0,73378060.0,88826.0,2186.0,9.646,10.865400000000001,0.04353410014453571,0.04851411390139944
22.0,54674706.0,92332.0,4538.0,8.626800000000001,12.230400000000001,0.03757646245274202,0.04075661194163729
23.0,76941785.0,23257.0,3298.0,9.5732,9.5004,0.04760608383899033,0.12440216885624789
24.0,40133498.0,74296.0,2881.0,11.793600000000001,11.775400000000001,0.036557453116085666,0.07069127930996458
25.0,77969123.0,93174.0,4346.0,6.461,6.3882,0.049861888516756665,0.2726613032997253
26.0,91736089.0,6745.0,1285.0,2.4206000000000003,2.2932,0.03647074078923454,1.9401412972963865
27.0,3415768.0,54600.0,2748.0,7.7168,8.335600000000001,0.04115011280571301,0.04486890458147837
28.0,17694233.0,94110.0,794.0,10.5378,11.7026,0.032806689219372576,0.0351590551261402
29.0,41301108.0,67044.0,2082.0,7.8624,7.844200000000001,0.03974325984662215,0.05035938425003965
30.0,89651722.0,58486.0,2443.0,7.2618,7.2254000000000005,0.035197483556558315,0.11016843906455306
31.0,49005733.0,44889.0,3116.0,9.828000000000001,9.7734,0.040389197479195546,0.12637297577151027
32.0,48365349.0,60019.0,1963.0,8.372,8.8816,0.026161040296397604,0.03762298890015803
33.0,36593515.0,6945.0,3885.0,4.0040000000000004,6.4428,0.06422915902486476,0.04694728560096366
34.0,91890591.0,89695.0,1718.0,5.660200000000001,5.587400000000001,0.038132861983717056,0.12785839816180614
