l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
0.0,84632976.0,96880.0,2533.0,9.0272,8.9726,0.04193751984155743,0.13975355585377244
1.0,86688777.0,13180.0,4258.0,8.0808,11.102,0.042991694842519135,0.04149176541682629
2.0,72266756.0,153228.0,190.0,9.282,12.3214,0.04530219689874435,0.04425544841332998
3.0,83512988.0,177727.0,361.0,12.285,13.5226,0.04056620832627773,0.044085180927333795
4.0,25986183.0,105882.0,4180.0,7.8806,7.844200000000001,0.0404604152665393,0.05714490795151202
5.0,96641984.0,79775.0,203.0,12.376000000000001,13.595400000000001,0.03689640903912795,0.03714860164520455
6.0,71490041.0,30859.0,2470.0,10.7744,10.7562,0.03780934696960656,0.061707154848279856
7.0,44825833.0,6657.0,1410.0,11.4296,11.3932,0.044138315259170835,0.06636177527993263
8.0,62772493.0,90531.0,2128.0,11.320400000000001,11.2658,0.0476780903605801,0.14948208955230916
9.0,90157028.0,159060.0,4837.0,9.2638,11.0838,0.04715342147981159,0.047044083973213864
10.0,3634242.0,29302.0,1156.0,11.102,11.0656,0.046772872557058365,0.08596060827337981
11.0,63734866.0,153001.0,214.0,10.9564,10.9382,0.041325540021827964,0.05668249322631156
12.0,20511668.0,53466.0,2960.0,14.196000000000002,14.177800000000001,0.046830497267002426,0.06003599717290923
13.0,86358482.0,70037.0,956.0,11.8664,13.0858,0.02740704488962236,0.03571480943864819
14.0,36286202.0,116455.0,3146.0,15.288,15.233400000000001,0.04283962498334816,0.19845289650629203
15.0,5774755.0,122998.0,2613.0,8.5176,8.4994,0.03516088420559273,0.053710808917407434
16.0,40956855.0,62890.0,181.0,11.5206,11.466000000000001,0.041849461137143565,0.11494403756713481
17.0,50556429.0,139168.0,4805.0,13.5044,14.105,0.033079891600489325,0.04031206982469067
18.0,25770816.0,31623.0,3024.0,9.6096,12.649000000000001,0.07347787226759393,0.0460036597201054
19.0,71131272.0,169936.0,4802.0,12.3032,12.2668,0.04367951376463125,0.08464237534571377
20.0,42047684.0,9037.0,1240.0,9.7006,9.646,0.04729589094676469,0.08811829290069394
21.0,68364710.0,144618.0,1152.0,11.902800000000001,13.122200000000001,0.037962668501393654,0.04584653582561274
22.0,54041530.0,18148.0,746.0,14.014000000000001,15.8886,0.04899111910004692,0.048789568497961136
