D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
512,1,4.96e-10,8.9592048,9.6579392,0.041480143328241834,0.0735284188782458,1.583633902616646,1.5160415683845894,0.008222976121584971,0.047299823326082895
512,2,6.4e-10,10.3170704,10.947591199999998,0.04185699124645861,0.0855493830187812,1.4990317370983186,1.5697666800308032,0.00673584102936566,0.10924644882133097
512,4,4.78e-10,10.897067999999999,11.5816792,0.04148286006495589,0.07596535123743217,1.6827876378455708,1.557551921398842,0.007522259416899311,0.044818227643158376
512,8,4.96e-10,11.1972952,11.700416,0.041989823154553504,0.07975976708959777,1.5225040036792012,1.5493862483043777,0.00820497053729638,0.058630698459062464
512,16,4.5999999999999996e-10,11.385774400000003,12.1036552,0.043332364986341264,0.07231922578007162,1.5561439388375682,1.5998078700419576,0.009372914803029552,0.04579257039106566
512,32,9.82e-10,11.345516000000002,12.109916,0.042810861252622026,0.06554633900680049,1.300074538878738,1.2729661347632817,0.00896979142147532,0.03178818247751825
1024,1,9.46e-10,9.713340000000002,10.634624,0.04241085236530103,0.06616704195041552,1.7164378272157903,1.6578652502151827,0.008035619465837422,0.03930711323947375
2048,1,6.580000000000001e-09,9.571016000000004,10.068240000000003,0.04136001016305803,0.07675192388065488,1.8324657321355307,1.7585461655318027,0.006282038585455471,0.037117678885755005
4096,1,9.28e-09,9.288188000000002,10.202556000000001,0.045064632650927715,0.07724489433720592,1.6092936433069234,1.4442065772417465,0.01057574953881952,0.04501854871198536
8192,1,3.7e-08,9.469460000000002,10.096268000000004,0.04218554369259261,0.06684872484872373,1.3486579621172197,1.312162196974645,0.0078071499693550105,0.028448584228699503
16384,1,5.14e-08,9.756292000000002,10.374728,0.04241843537074046,0.06562292727127184,1.362341661448533,1.4102602788644267,0.010833703676821993,0.031662362020956514
