l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,42403969.0,1394.0,136.0,13.65,13.6318,0.042768865346608675,0.06376716985330227,0.8868186473846436
1.0,17641017.0,19818.0,393.0,10.883600000000001,12.7764,0.045419548581183335,0.04377465354292879,0.8789565563201904
2.0,85257249.0,742.0,101.0,9.1,10.9382,0.03402549774672731,0.04474059756380955,0.8814094066619873
3.0,26037477.0,10272.0,78.0,8.8816,12.467,0.03334392964141085,0.04272268589337173,0.8773956298828125
4.0,87296163.0,4468.0,492.0,9.8462,9.809800000000001,0.035390140424928995,0.11321280974331158,0.8819382190704346
5.0,99608409.0,5542.0,77.0,10.264800000000001,12.7218,0.038783511898250356,0.04949990788647816,0.8789522647857666
6.0,39941430.0,10524.0,308.0,9.4822,10.701600000000001,0.034931570915868626,0.04089728319795015,0.8800704479217529
7.0,75606017.0,15943.0,361.0,11.0474,12.230400000000001,0.03976699624194066,0.03876581269149742,0.8835971355438232
8.0,76094817.0,13357.0,285.0,9.4276,11.320400000000001,0.07708926253874898,0.04850870820270273,0.8798036575317383
9.0,51553256.0,11118.0,244.0,9.646,12.084800000000001,0.03842045637557095,0.04009234795187468,0.8876304626464844
10.0,95605182.0,8640.0,495.0,9.282,9.2638,0.04882575218512243,0.05442153236330788,0.8825953006744385
11.0,48677675.0,11542.0,107.0,9.5004,9.4822,0.0410035663995764,0.06711472660279626,0.8827650547027588
12.0,62524329.0,12775.0,429.0,10.3558,10.3194,0.04837880817585817,0.08355564664529133,0.8829879760742188
13.0,9045017.0,14749.0,213.0,9.081800000000001,10.3012,0.03757920108828387,0.04336034049197439,0.8834826946258545
14.0,53629081.0,13464.0,148.0,9.5914,13.7956,0.03751529008250548,0.0451511832229154,0.8857316970825195
15.0,71815767.0,12595.0,442.0,9.973600000000001,9.9008,0.048563640819840305,0.1234222155631702,0.884493350982666
16.0,55956418.0,4334.0,398.0,11.320400000000001,11.284,0.037554318211255946,0.09482397537087736,0.8810274600982666
17.0,15315664.0,10574.0,317.0,9.191,9.7552,0.02979231654885094,0.038875042771465536,0.8819742202758789
