l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,77918567.0,12262.0,254.0,12.9311,14.1323,0.07629846910289567,0.08382735897134673,1.0206637382507324
1.0,23490642.0,25873.0,226.0,12.221300000000001,12.203100000000001,0.08082313101941088,0.11185344890137439,1.0552916526794434
2.0,21816956.0,27712.0,404.0,13.549900000000001,13.5226,0.08212832355860086,0.1427351958580811,1.047220230102539
3.0,55980910.0,19980.0,82.0,12.3123,12.2941,0.0886858681356158,0.11316403235878206,1.0471105575561523
4.0,74915938.0,9473.0,185.0,10.2375,12.075700000000001,0.07859117625728601,0.07921098802431818,1.0188393592834473
5.0,25178637.0,1893.0,267.0,8.281,11.3477,0.1272097845168617,0.0888889889251449,1.0201966762542725
6.0,13527917.0,13054.0,69.0,12.0393,11.9938,0.07915055672960637,0.20369525269370475,1.020104169845581
7.0,8130237.0,25595.0,162.0,11.2567,12.4943,0.06096055899795723,0.08015499605312677,1.022434949874878
8.0,95322553.0,19973.0,428.0,10.5014,10.465,0.08593926117868034,0.1189661115984593,1.019026756286621
9.0,84913925.0,13584.0,82.0,11.011000000000001,12.194,0.08642785819864104,0.07689953261054445,1.0173640251159668
10.0,61282806.0,23350.0,192.0,8.645,12.248600000000001,0.07585869813795204,0.08653374094336942,1.016493320465088
11.0,22955038.0,10953.0,0.0,13.8229,13.7956,0.07787596526871134,0.16507358912899422,1.0536212921142578
12.0,60170645.0,16401.0,220.0,10.5378,10.5014,0.08635328819699412,0.21011567785306892,1.039707899093628
13.0,78234198.0,24339.0,217.0,11.5479,11.5206,0.08845736609595929,0.14006715892112104,1.0155467987060547
14.0,35307626.0,4433.0,95.0,11.456900000000001,12.6399,0.06266865590426028,0.0838505057326565,1.0180110931396484
15.0,47684339.0,4311.0,462.0,14.933100000000001,14.905800000000001,0.0897494836388425,0.14557523933458769,1.0566484928131104
16.0,25623065.0,18648.0,494.0,12.812800000000001,12.812800000000001,0.07591598818220914,0.08713399331157581,1.053340196609497
17.0,81058696.0,35669.0,419.0,10.4013,11.6753,0.09813831715660407,0.0855831731369035,1.0543544292449951
18.0,22055136.0,31255.0,129.0,10.4741,12.2759,0.06841525650772652,0.08633814280131523,1.0181446075439453
19.0,32509369.0,41929.0,484.0,14.186900000000001,14.159600000000001,0.08578106948758582,0.13738415774320598,1.018782615661621
20.0,20658099.0,24726.0,327.0,11.0929,11.0747,0.08344756959249895,0.1142737215434075,1.0618367195129395
21.0,42702640.0,41261.0,115.0,14.2506,15.4518,0.08017214920889294,0.07767782081966096,1.0189552307128906
22.0,46860804.0,32134.0,439.0,14.032200000000001,15.242500000000001,0.07953020319239032,0.07622423437977958,1.048346757888794
23.0,48880814.0,29553.0,366.0,12.74,12.7127,0.08148286106953043,0.15302321850616074,1.046783447265625
24.0,46839846.0,22645.0,469.0,9.982700000000001,9.9463,0.08062175049616693,0.11806128954896063,1.045720100402832
25.0,44357592.0,18468.0,297.0,12.5671,12.548900000000001,0.08531979648174233,0.12621328584988759,1.0193960666656494
