l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,22042848.0,47203.0,62.0,8.7997,9.74,0.2781364002579679,0.0836617800824757,0.09160900115966797
1.0,73802111.0,9317.0,479.0,8.8634,11.14,0.2808319414137812,0.0832358277730911,0.08563590049743652
2.0,48227080.0,29771.0,443.0,10.9382,13.49,0.27698638497892003,0.08030502508176911,0.07397150993347168
3.0,89739897.0,21485.0,352.0,8.772400000000001,9.71,0.2907004774611591,0.08572117923179265,0.07409119606018066
4.0,58815688.0,8930.0,445.0,9.673300000000001,11.43,0.2999451391793745,0.08717910379140321,0.07421541213989258
5.0,91402971.0,21918.0,454.0,11.0474,12.24,0.3055409780322923,0.08691529152947129,0.07413482666015625
6.0,95413512.0,47605.0,385.0,9.7006,12.07,0.283175644086923,0.08294146809584972,0.07409191131591797
7.0,6188583.0,23616.0,441.0,8.9635,9.92,0.27299056403262983,0.07979886019208843,0.07413983345031738
8.0,76753053.0,6272.0,23.0,10.3558,11.44,0.2704263594590828,0.07959156856762145,0.07427406311035156
9.0,36356973.0,19654.0,104.0,9.4367,10.43,0.2573357176117683,0.0767961076842253,0.08853507041931152
10.0,47643646.0,6467.0,321.0,10.410400000000001,11.5,0.2533964084784007,0.07555226830204655,0.07411575317382812
11.0,27451550.0,42948.0,462.0,5.5055000000000005,6.11,0.2803181594284999,0.082906648492783,0.07410931587219238
12.0,69677133.0,16191.0,288.0,9.464,10.47,0.278097193635851,0.08386438041061584,0.07412433624267578
13.0,96226820.0,36523.0,144.0,11.766300000000001,13.0,0.26874361234237404,0.07815130813254349,0.07405519485473633
14.0,8207646.0,40175.0,233.0,10.9746,12.13,0.2728166365340763,0.0795749662208077,0.0742349624633789
15.0,1430310.0,43666.0,486.0,8.6905,9.620000000000001,0.2931964148821986,0.08572665929415507,0.07415556907653809
16.0,78994467.0,16784.0,330.0,8.5813,9.49,0.2683745426831128,0.0787727709539361,0.07422304153442383
17.0,14873375.0,17967.0,211.0,8.180900000000001,11.1,0.2638719126039448,0.07811185505973965,0.07409429550170898
18.0,64917797.0,11334.0,403.0,9.7825,10.82,0.26817628786051106,0.07868804327684094,0.07406854629516602
19.0,28720817.0,5700.0,248.0,9.391200000000001,11.71,0.270723156126691,0.07855825640558316,0.0741884708404541
20.0,67276712.0,33760.0,478.0,11.9756,14.5,0.26944662750895987,0.07802411502422664,0.07401776313781738
21.0,77807366.0,37014.0,483.0,11.320400000000001,13.27,0.3103527179979655,0.08895838676427248,0.07411432266235352
22.0,57348183.0,26086.0,341.0,8.171800000000001,11.74,0.28467201883953974,0.08135361929971573,0.0741879940032959
23.0,58362869.0,8466.0,412.0,8.736,9.68,0.3001769910021851,0.08874409170738372,0.07397222518920898
24.0,39789898.0,8809.0,107.0,9.8644,10.91,0.30294094916102304,0.08917425477405783,0.07428693771362305
25.0,61927016.0,39898.0,37.0,8.6905,9.63,0.3113642505275461,0.08945814213691793,0.07416105270385742
26.0,24710008.0,38185.0,392.0,11.6571,12.89,0.29763053263238365,0.08698569881192576,0.07418298721313477
27.0,52843038.0,43625.0,402.0,9.391200000000001,10.39,0.26992056455642627,0.07943392143832327,0.07429099082946777
28.0,77796787.0,45323.0,371.0,10.1556,11.23,0.2828580022440763,0.08283598627053623,0.07445740699768066
29.0,77817432.0,26684.0,362.0,7.8169,13.94,0.2700639445654113,0.07885913163536888,0.07418107986450195
30.0,97257419.0,46776.0,140.0,10.374,12.83,0.30906677290984597,0.08980778369006406,0.07427477836608887
31.0,47369819.0,598.0,99.0,8.7451,9.67,0.2565381658969462,0.07684117982327458,0.0744020938873291
32.0,611970.0,45259.0,294.0,7.4256,10.96,0.26384402515066313,0.0767821434833754,0.07463622093200684
33.0,74696971.0,15095.0,76.0,10.2284,11.31,0.25605288631290357,0.07581588750340532,0.07425904273986816
34.0,67294044.0,30948.0,66.0,10.865400000000001,12.030000000000001,0.28982762016168007,0.0820520025943897,0.07430005073547363
