l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,43086088.0,42870.0,460.0,12.6126,12.530700000000001,0.07881212838252416,0.41615091379755376,0.440401554107666
1.0,98052852.0,20616.0,487.0,9.7825,9.7097,0.07564936588499668,0.2275631109280391,0.4517695903778076
2.0,10023566.0,10654.0,256.0,12.1394,12.103,0.08734375210828967,0.20667655740292695,0.47028255462646484
3.0,36259487.0,9712.0,247.0,12.1667,12.7946,0.05321428914722152,0.08292659172151938,0.4474062919616699
4.0,52957034.0,27622.0,389.0,12.3396,12.3305,0.08962306636626795,0.09643060452355184,0.46166086196899414
5.0,93098677.0,7478.0,494.0,12.7127,12.694500000000001,0.07734016555321149,0.1195052952090567,0.46898818016052246
6.0,82460504.0,40159.0,74.0,12.994800000000001,12.949300000000001,0.07759176328119774,0.2342088960633665,0.4691615104675293
7.0,48273032.0,45706.0,313.0,11.5388,11.5024,0.08910086877959311,0.18747705298934877,0.44784021377563477
8.0,10935627.0,4392.0,69.0,12.0211,11.9847,0.07951075021203965,0.2005960544985056,0.47110962867736816
9.0,96836974.0,26859.0,326.0,11.930100000000001,12.530700000000001,0.0545886461444899,0.08403588259591659,0.45629072189331055
10.0,13721976.0,6601.0,36.0,11.930100000000001,12.530700000000001,0.07015289083493498,0.08355156634039823,0.4612898826599121
11.0,32580927.0,29438.0,153.0,10.5469,11.7481,0.053799186203157615,0.076436169977573,0.4705824851989746
12.0,33990812.0,36651.0,240.0,11.5661,11.5479,0.0799139010160959,0.11393094601428201,0.46939849853515625
13.0,68778711.0,45413.0,19.0,10.283000000000001,12.7218,0.0808325658311738,0.08458746308839715,0.458972692489624
14.0,7513932.0,173.0,351.0,12.4124,12.394200000000001,0.07933577167970121,0.12580216049792456,0.4541325569152832
15.0,47534300.0,25513.0,100.0,11.793600000000001,11.757200000000001,0.08625089137575834,0.2075728588025461,0.44701123237609863
16.0,86380003.0,29119.0,168.0,11.029200000000001,11.611600000000001,0.05395861324444115,0.07961420229052418,0.45270347595214844
17.0,54686895.0,12884.0,136.0,11.011000000000001,12.8765,0.09362465467324302,0.08624123530839148,0.46727466583251953
18.0,53431463.0,49399.0,185.0,12.958400000000001,14.2051,0.0863912011909741,0.08963478332546347,0.44452428817749023
19.0,10160140.0,16011.0,12.0,12.3032,12.3396,0.1513515882204544,0.08942578586419035,0.4564957618713379
20.0,99847120.0,9121.0,194.0,12.4215,12.366900000000001,0.07796201367878991,0.31609017478054313,0.4526040554046631
21.0,10547313.0,20563.0,41.0,13.6682,13.6136,0.08911711906292052,0.2967721558337843,0.45113658905029297
22.0,82454837.0,11489.0,475.0,11.493300000000001,11.466000000000001,0.0822289563166601,0.11802814241189086,0.4464409351348877
23.0,67031620.0,1519.0,404.0,13.886600000000001,17.4811,0.07456729040925228,0.0849729917224561,0.4455702304840088
24.0,80853745.0,11942.0,466.0,11.629800000000001,11.602500000000001,0.0788344685056524,0.12251560569906973,0.46543455123901367
25.0,77906705.0,43400.0,271.0,13.276900000000001,13.2223,0.08563962119599247,0.31338684419309715,0.4467771053314209
26.0,12008257.0,16005.0,399.0,11.1384,13.0039,0.06570917612602699,0.08607570986618585,0.4581637382507324
27.0,55272006.0,41053.0,246.0,12.949300000000001,12.8583,0.08679538663689208,0.9958571004817907,0.4625711441040039
28.0,17527903.0,48624.0,427.0,11.0747,11.6844,0.06143326110657936,0.08193897232362092,0.4713864326477051
29.0,32632712.0,12864.0,189.0,13.3224,14.5145,0.08402618150060237,0.08101623382273347,0.4562392234802246
30.0,42222223.0,46904.0,178.0,12.084800000000001,12.0484,0.08588429923386001,0.18370385055052943,0.4576094150543213
31.0,45153114.0,27380.0,35.0,12.2759,12.1849,0.0884175571606783,0.6237468978330487,0.45402073860168457
32.0,62171459.0,29993.0,26.0,8.9908,8.8998,0.08993290709253546,1.0753883725810607,0.4620695114135742
33.0,99132384.0,36445.0,54.0,14.778400000000001,15.952300000000001,0.07497325304361742,0.07838970058338578,0.4632868766784668
34.0,1496034.0,25257.0,392.0,11.7481,12.985700000000001,0.0527756279981801,0.0789715285440026,0.44516682624816895
35.0,55850014.0,23241.0,379.0,12.849200000000002,12.8674,0.11691932970800774,0.0868313246857922,0.461292028427124
36.0,26407306.0,20542.0,58.0,12.0302,11.9938,0.0788529441633715,0.2044454669205896,0.4707810878753662
37.0,95703859.0,13018.0,57.0,11.1111,12.3123,0.07668175883841565,0.08140450127863576,0.45941615104675293
38.0,4721077.0,34283.0,174.0,11.7481,13.0403,0.11501959199963852,0.08417815439193256,0.4669151306152344
39.0,55749184.0,28836.0,244.0,10.874500000000001,10.8472,0.08778887463928575,0.13108084563795927,0.45011043548583984
40.0,87875050.0,49720.0,70.0,9.6187,14.3871,0.08793279818325778,0.08146760886209345,0.4464151859283447
41.0,62654475.0,30299.0,82.0,12.348700000000001,12.3396,0.08887266174688313,0.09991459855828877,0.4465141296386719
42.0,72842481.0,30166.0,192.0,12.3214,12.2941,0.08695947604621312,0.14103499023137916,0.46924638748168945
43.0,99932736.0,49043.0,50.0,14.5236,14.5145,0.08343921019542219,0.09613975102252324,0.45590996742248535
44.0,28620773.0,11673.0,431.0,9.363900000000001,9.3002,0.08260034199177924,0.18307033699996364,0.4534592628479004
45.0,7630309.0,47664.0,460.0,12.285,12.2577,0.08490788309042148,0.15518882040146217,0.49599695205688477
46.0,89649125.0,33106.0,305.0,10.92,10.883600000000001,0.08119579324667708,0.21861419250603858,0.45739006996154785
47.0,81054941.0,1607.0,444.0,11.193000000000001,11.165700000000001,0.08742582383038558,0.12938646488120426,0.44901347160339355
48.0,99273927.0,3937.0,73.0,13.8229,13.8047,0.08763196968508435,0.11821456233768915,0.47158169746398926
49.0,61916531.0,32449.0,379.0,11.475100000000001,12.103,0.07416274815492396,0.08080883939045255,0.4559328556060791
50.0,68500661.0,25091.0,6.0,9.7279,12.7491,0.07197254908016015,0.08798479327373952,0.44460225105285645
51.0,42553020.0,46594.0,192.0,8.6905,12.2759,0.056090390755352576,0.07398313886684448,0.45507144927978516
52.0,7304031.0,12198.0,387.0,10.6106,10.583300000000001,0.0761333833065428,0.1638884059444887,0.450991153717041
53.0,11288807.0,25087.0,150.0,11.3841,12.5762,0.05079817917539775,0.07531808165091224,0.4509611129760742
54.0,6614979.0,20015.0,385.0,11.302200000000001,14.323400000000001,0.06095660237463857,0.08627373580012407,0.4523296356201172
55.0,17659312.0,32057.0,343.0,12.012,13.195,0.08043438391308652,0.07965817601443026,0.4509866237640381
56.0,96022739.0,6645.0,356.0,11.5934,14.605500000000001,0.07508764813661768,0.08698490809972881,0.4536280632019043
57.0,38375361.0,39084.0,293.0,8.490300000000001,12.093900000000001,0.07955342772932353,0.07992383743191245,0.45174479484558105
