l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,84785856.0,19515.0,325.0,10.137400000000001,10.6834,0.04334621408994481,0.082557395312354,1.731682300567627
1.0,3278443.0,39663.0,456.0,7.926100000000001,9.1455,0.08458950999663095,0.08946909342392154,0.007280588150024414
2.0,28629751.0,40766.0,218.0,8.8725,10.6743,0.06271073721334526,0.08663688663396736,0.0071794986724853516
3.0,59756428.0,30926.0,180.0,10.7926,11.375,0.07412950985886287,0.08516210043058636,0.007234811782836914
4.0,85890791.0,12635.0,296.0,5.4509,10.2284,0.10921271702238658,0.08681934360275062,0.007494211196899414
5.0,74764653.0,34863.0,85.0,13.859300000000001,14.4417,0.0698807659055183,0.08708281848096222,0.00720977783203125
6.0,7973633.0,17797.0,32.0,10.3376,11.5752,0.07316599200274904,0.08280515441227378,0.007241725921630859
7.0,69231526.0,30855.0,209.0,11.156600000000001,11.1293,0.0828669829652365,0.13109818985890342,0.00841832160949707
8.0,97582293.0,42026.0,183.0,4.8867,10.8381,0.07233033090275452,0.08490047690537354,0.007196187973022461
9.0,81397054.0,30669.0,437.0,11.9574,12.503400000000001,0.04839464209418679,0.07653897848246519,0.007171154022216797
10.0,49617817.0,11282.0,93.0,14.1414,14.1232,0.0811594251165568,0.12331329729899138,0.007430076599121094
11.0,20897652.0,40047.0,22.0,10.0555,10.6197,0.08810427915062757,0.08179256552040053,0.0072362422943115234
12.0,54192415.0,49659.0,458.0,9.536800000000001,9.5004,0.07853585471088396,0.1732891533601351,0.007231235504150391
13.0,42999883.0,10639.0,113.0,8.7269,8.6814,0.07923956654385614,0.13018822657347626,0.007251262664794922
14.0,63627470.0,9216.0,317.0,10.9837,10.9291,0.07820387197763311,0.2563786383797455,0.0071909427642822266
15.0,29775386.0,31154.0,345.0,8.554,8.490300000000001,0.08572778878907442,0.22891530875152696,0.00720524787902832
16.0,11426001.0,21764.0,336.0,8.827,8.7997,0.08195937031493733,0.14084666219383413,0.007185459136962891
17.0,899185.0,34463.0,70.0,9.509500000000001,9.4367,0.07607322170573814,0.4361595326750767,0.00726771354675293
18.0,41126025.0,11635.0,22.0,11.493300000000001,11.475100000000001,0.08944455808817656,0.09822831360766676,0.007195711135864258
19.0,27816108.0,45755.0,300.0,9.8007,10.9928,0.06337844732281782,0.08712877220795498,0.007208585739135742
20.0,8684367.0,2189.0,236.0,9.509500000000001,9.464,0.08995835312078604,0.22171429002481824,0.0071468353271484375
21.0,76650743.0,16896.0,228.0,8.6905,8.6632,0.0789913920116665,0.15996180962633674,0.007158517837524414
22.0,62573633.0,20479.0,88.0,9.5459,9.555,0.09352099920609169,0.08579866134679028,0.007198333740234375
23.0,28174547.0,35965.0,148.0,7.2618,9.063600000000001,0.0704206691511153,0.0805144108592166,0.007182598114013672
24.0,92108717.0,41688.0,244.0,8.7269,9.373000000000001,0.0625113077884451,0.08491624076579672,0.007212400436401367
25.0,11702225.0,46139.0,49.0,9.1,9.0545,0.08615395256430387,0.2326705103598871,0.007167816162109375
26.0,12255905.0,29624.0,488.0,10.0646,10.0555,0.0769569420618697,0.10082228818830392,0.0073201656341552734
27.0,43045320.0,34353.0,203.0,10.8017,10.7744,0.07919874496637563,0.16106210625909892,0.007187843322753906
28.0,83610683.0,25184.0,72.0,8.0535,9.2638,0.05945498094493716,0.08341360553260951,0.0072002410888671875
29.0,7122371.0,19807.0,159.0,9.4276,10.6652,0.08589684568234308,0.08525561124001918,0.007182598114013672
30.0,43351594.0,27513.0,444.0,11.2203,11.2021,0.08281286709230928,0.1065169307182995,0.007242918014526367
31.0,65146942.0,48894.0,196.0,9.1364,9.1182,0.07781934236823171,0.11233688610371939,0.0072100162506103516
32.0,71216562.0,30380.0,322.0,9.227400000000001,11.038300000000001,0.05799459480011622,0.076759921650189,0.007247209548950195
33.0,86758403.0,48640.0,368.0,8.2355,8.1991,0.07796178419843851,0.12122545692877998,0.007212162017822266
34.0,13571441.0,331.0,26.0,8.763300000000001,8.7178,0.07478650314614821,0.264042926594604,0.0073719024658203125
35.0,79488772.0,39795.0,475.0,11.475100000000001,11.4478,0.07616888775991072,0.1280551508883837,0.007272243499755859
36.0,4443389.0,39583.0,419.0,8.927100000000001,10.128300000000001,0.09897591470549705,0.08821670855070239,0.007218599319458008
37.0,82474992.0,9641.0,232.0,9.090900000000001,9.0545,0.08883099612724443,0.131638241300458,0.0071964263916015625
38.0,64752938.0,34404.0,333.0,10.583300000000001,11.183900000000001,0.07424681971647806,0.08388768299665686,0.007180929183959961
39.0,65008290.0,5928.0,72.0,9.4367,9.4003,0.08674479456710005,0.1221587845914762,0.00738525390625
40.0,1551794.0,23172.0,113.0,8.7451,8.7087,0.08529903480866907,0.10399672389528294,0.0071887969970703125
41.0,27827954.0,24286.0,350.0,11.183900000000001,12.985700000000001,0.06697841201175293,0.07698891404412472,0.0071868896484375
42.0,68031185.0,20603.0,285.0,12.194,12.1212,0.07668652833553881,0.6067639322807664,0.007225751876831055
43.0,52525466.0,32045.0,468.0,9.682400000000001,9.673300000000001,0.0787411045578833,0.09291865101068533,0.007244110107421875
44.0,71967377.0,9059.0,228.0,8.8361,8.790600000000001,0.07503292908949942,0.19565713301724932,0.007283210754394531
45.0,76869515.0,40744.0,469.0,9.2638,9.8007,0.05231348102858652,0.07671418075941111,0.007264375686645508
46.0,46908801.0,76.0,54.0,8.6996,11.1384,0.07898869246034809,0.08895220147045658,0.007172584533691406
47.0,73058073.0,46816.0,149.0,11.3932,11.3568,0.07704916628576253,0.19297710018859443,0.007185935974121094
48.0,42273686.0,6637.0,156.0,9.6187,9.6005,0.07656875433220207,0.13568523486821768,0.007274150848388672
49.0,76719117.0,1120.0,369.0,5.4782,9.664200000000001,0.07459658561743213,0.07913542635388325,0.007203578948974609
50.0,4432037.0,47250.0,239.0,9.8553,9.8553,0.08327206350944837,0.08783288055007138,0.00716853141784668
51.0,56088297.0,38849.0,90.0,10.1738,11.375,0.07577362201673095,0.08705183125086612,0.007254600524902344
52.0,86625614.0,20849.0,376.0,10.556000000000001,11.739,0.054695948169698264,0.0801899461082874,0.007194995880126953
53.0,75591848.0,4544.0,498.0,9.2911,9.2729,0.08170996530887484,0.12483329998404093,0.00723719596862793
54.0,26024017.0,8231.0,229.0,9.4549,9.4094,0.08614742431153413,0.20978189769882394,0.007187604904174805
55.0,18501657.0,37638.0,296.0,11.0565,12.239500000000001,0.06917085828186867,0.08402850157655965,0.007167339324951172
