l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
0.0,36594107.0,73347.0,374.0,3.9725,4.0633,0.35903006558023143,0.24873206131453632
1.0,52085717.0,68375.0,229.0,4.0633,4.108700000000001,0.2723629358842716,0.2444143268033608
2.0,82302872.0,97489.0,309.0,4.5854,4.7216000000000005,0.3488669131599668,0.2433870793916474
3.0,90398959.0,2898.0,320.0,2.2473,2.3835,0.33398469984762413,0.24248781546692383
4.0,74483290.0,13721.0,473.0,5.2891,5.448,0.3621904814482071,0.24201825865200685
5.0,53444211.0,10489.0,219.0,3.2234000000000003,3.4277,0.3729710436735125,0.2484610075895834
6.0,88072054.0,41314.0,117.0,5.198300000000001,5.357200000000001,0.38838238878162024,0.2469693430777787
7.0,51300101.0,3296.0,475.0,5.3345,5.470700000000001,0.3411512924325688,0.2464865736786043
8.0,3355660.0,96539.0,387.0,3.5639000000000003,3.7001000000000004,0.3393787781043539,0.24969939566911364
9.0,26915759.0,69649.0,278.0,4.2449,4.2676,0.26763108836837995,0.24766080503134058
10.0,43155405.0,90317.0,365.0,3.8590000000000004,4.0179,0.3242917511328353,0.24413243468704066
11.0,56246316.0,22605.0,278.0,3.6774000000000004,3.7001000000000004,0.25396495888246273,0.23529089982213747
12.0,27078654.0,15752.0,119.0,3.7001000000000004,4.3811,0.40228520195801476,0.24535828520445108
13.0,47704561.0,91906.0,105.0,3.4050000000000002,3.5639000000000003,0.34744351934265266,0.2417168796036151
14.0,60499037.0,95325.0,51.0,5.2437000000000005,6.083600000000001,0.3383211288903297,0.24392726566035133
15.0,57073487.0,47020.0,183.0,4.630800000000001,4.767,0.36028961195470866,0.2441271077468035
16.0,89238652.0,10422.0,40.0,4.2222,4.3584000000000005,0.3267342859225699,0.2476576556662237
17.0,5294918.0,698.0,272.0,6.1517,6.3106,0.34706323323447946,0.24728645626044454
18.0,57790678.0,63747.0,69.0,3.632,3.6093,0.24718500831324614,0.2519486299547003
19.0,67013669.0,32423.0,414.0,5.0848,5.198300000000001,0.3351711236672915,0.23746276585233056
20.0,8605146.0,32418.0,251.0,3.1553,3.2461,0.319010158014769,0.24419078116393259
21.0,6706873.0,87508.0,349.0,4.313000000000001,4.4038,0.3447704806702892,0.241124776525797
22.0,61600301.0,67776.0,456.0,3.2234000000000003,3.9271000000000003,0.38062005924802317,0.24818713444881496
23.0,16479586.0,36937.0,437.0,4.3357,4.7216000000000005,0.40368407071975226,0.24948754817301785
24.0,7397208.0,69345.0,167.0,3.3369000000000004,4.1995000000000005,0.3638583737948034,0.2361766539733284
25.0,48573493.0,82363.0,23.0,6.560300000000001,6.673800000000001,0.3043025171956477,0.24034045351860234
26.0,86149500.0,70454.0,29.0,4.313000000000001,4.3584000000000005,0.28857323805420865,0.22423211155592027
27.0,65095187.0,94866.0,459.0,5.1302,5.198300000000001,0.3050318571796462,0.24860663995171453
28.0,52692149.0,30966.0,254.0,3.4504,3.5185000000000004,0.31737376101694537,0.24541123606205112
29.0,81532406.0,91332.0,480.0,2.4516,2.5424,0.3761970750000419,0.24898032819192373
30.0,97647133.0,91044.0,275.0,5.1756,5.311800000000001,0.32295432343680097,0.24429235801298724
31.0,65372408.0,18677.0,403.0,3.6774000000000004,4.4038,0.326874028352018,0.24112508846961106
32.0,93088059.0,44256.0,436.0,3.4731,3.6093,0.370524365780637,0.24597672850035204
33.0,31368518.0,16184.0,274.0,6.2652,6.3787,0.274741661612898,0.24588345838954104
34.0,87469179.0,20545.0,206.0,4.3811,4.4492,0.2737675793981399,0.24326556187176177
35.0,29984721.0,12967.0,72.0,3.7682,3.8817000000000004,0.3216298133634506,0.2404228021456889
36.0,5328944.0,28224.0,456.0,3.6093,3.7455000000000003,0.3784380374371245,0.24115035973942542
37.0,23861205.0,37300.0,396.0,3.7001000000000004,3.7909,0.3476938364516879,0.24783060960038292
38.0,56173480.0,9884.0,346.0,3.0645000000000002,3.3369000000000004,0.37706323768882977,0.24828750451452347
39.0,18061449.0,71580.0,108.0,4.5854,4.6535,0.29266769338154797,0.24981087874397784
40.0,54837925.0,78156.0,269.0,3.9498,4.0406,0.31862060542924087,0.2454507054495448
41.0,75262632.0,73403.0,343.0,3.8590000000000004,3.9725,0.3489244671796149,0.24898646664465726
42.0,63721131.0,76709.0,377.0,4.1995000000000005,4.313000000000001,0.36441008822754606,0.2494071976751712
43.0,93179842.0,87268.0,40.0,5.1756,5.2891,0.3222993343104246,0.24278183798915942
44.0,64439299.0,39521.0,148.0,4.2676,4.3811,0.34212425501985294,0.24973577515490694
45.0,19098070.0,63722.0,463.0,4.2676,4.3811,0.33463281331108613,0.23690119808780816
46.0,81885551.0,15418.0,29.0,4.8578,4.9259,0.3192345284594687,0.23812209636553439
47.0,6489841.0,90946.0,161.0,5.5388,5.8112,0.3557205292951984,0.24410238810772472
48.0,15154213.0,75229.0,41.0,4.789700000000001,5.2891,0.3347670137155265,0.2499639001520294
49.0,40251434.0,97177.0,320.0,2.7694,3.8363,0.3457430043653948,0.2444007740071056
50.0,90177887.0,12738.0,463.0,4.313000000000001,4.4492,0.3434057691394517,0.24251123276318337
51.0,40233748.0,2922.0,100.0,5.152900000000001,5.2664,0.3364597570447163,0.2412144920882717
52.0,45066415.0,27278.0,38.0,4.767,5.0621,0.3200888284040693,0.24251218592613175
53.0,84839242.0,42992.0,335.0,5.0848,5.4934,0.35401559959164297,0.24521700205322908
54.0,76128077.0,95379.0,135.0,3.5185000000000004,3.5639000000000003,0.2828587880130151,0.24284731165252102
55.0,51125015.0,31507.0,111.0,4.471900000000001,4.6535,0.27261712586149234,0.2464887995145002
56.0,94325481.0,90411.0,1.0,4.4946,4.767,0.32673161219238633,0.2487162249197115
57.0,71127435.0,10382.0,465.0,5.311800000000001,5.357200000000001,0.26294259858982,0.24085294254133296
58.0,72771743.0,99743.0,322.0,3.9952,4.1314,0.29770444989147093,0.24686446788042496
59.0,888674.0,27439.0,252.0,6.1517,6.356000000000001,0.3484498867501559,0.24731693730437423
60.0,35779783.0,22676.0,145.0,4.6081,4.8124,0.39370826584514995,0.24683254348993855
61.0,67192206.0,48238.0,54.0,3.8136,3.9498,0.34351654486523525,0.2481710700533412
62.0,83390567.0,90348.0,254.0,3.4731,3.5866000000000002,0.31960493867585277,0.24660075635721004
63.0,73033035.0,36095.0,343.0,4.4946,4.6081,0.3006822971277627,0.2438101757091633
64.0,27810455.0,82406.0,130.0,5.516100000000001,5.5842,0.30368673559371784,0.2374865860134225
65.0,11655612.0,11970.0,461.0,3.2007000000000003,3.3142,0.3083206355939307,0.23939387718768265
66.0,49712277.0,69467.0,436.0,3.7228000000000003,4.7216000000000005,0.36482428046269794,0.24533914085446834
67.0,37918313.0,81613.0,332.0,4.5173000000000005,4.6535,0.300893820386392,0.2457154896023442
68.0,81900766.0,30815.0,215.0,3.7909,4.0179,0.33915380611479007,0.24787307885452117
69.0,49894568.0,90414.0,337.0,5.6296,5.879300000000001,0.34848887562648606,0.244776363125691
70.0,60558996.0,4365.0,78.0,4.2903,4.3584000000000005,0.31081605350784053,0.23915509892082115
71.0,89939742.0,44383.0,72.0,4.1314,4.2449,0.319311360789738,0.2439257979254632
72.0,41796250.0,72727.0,457.0,4.086,4.4265,0.37578153993734803,0.2495556338196686
73.0,68134983.0,66053.0,308.0,4.54,5.5842,0.3268811473685549,0.24037809385623854
