l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
0.0,49589079.0,12583.0,334.0,0.3178,0.3632,0.3232609218882788,0.2270491529501752
1.0,92491361.0,28192.0,365.0,0.29510000000000003,0.3405,0.28633800141944316,0.24679414097109
2.0,30037328.0,53108.0,353.0,0.3859,0.4313,0.3018980554095261,0.23194286651107546
3.0,12106274.0,10612.0,250.0,0.4767,0.5675,0.32606807242680563,0.2373739487767236
4.0,11252826.0,48893.0,292.0,0.29510000000000003,0.3178,0.2855342091250496,0.23306873900218733
5.0,58486177.0,59663.0,316.0,0.3405,0.4086,0.3356362653049411,0.24455483699500213
6.0,57001514.0,81723.0,57.0,0.227,0.227,0.22171121287696174,0.20766529371383416
7.0,88192700.0,66325.0,244.0,0.27240000000000003,0.3405,0.35575544977209045,0.23039545280666537
8.0,46292026.0,77799.0,112.0,0.3178,0.3632,0.32295557451857965,0.22437875701612933
9.0,93026636.0,84712.0,444.0,0.29510000000000003,0.3632,0.3192435156160717,0.22655802666921823
10.0,99824993.0,85938.0,91.0,0.3859,0.454,0.3163414952415184,0.23765065388308407
11.0,31592442.0,88039.0,61.0,0.6583,0.7718,0.3287653106604505,0.2388295490814088
12.0,88345554.0,59535.0,402.0,0.27240000000000003,0.3405,0.3275547589473826,0.22806389399209245
13.0,43453516.0,39023.0,452.0,0.3632,0.4313,0.31541737516470536,0.24606355009430825
14.0,72648580.0,28536.0,188.0,0.2043,0.27240000000000003,0.3905931916485064,0.230970678639476
15.0,86922536.0,86846.0,489.0,0.29510000000000003,0.3859,0.39860448038004603,0.2470736864161477
16.0,57876592.0,93409.0,195.0,0.454,0.4767,0.27682428200570286,0.23703990866355226
17.0,35669939.0,60682.0,285.0,0.3405,0.3859,0.3070631396464114,0.24514281308890817
18.0,90576432.0,67305.0,123.0,0.2497,0.3178,0.3526672616581801,0.23143152060859368
19.0,69616290.0,97109.0,432.0,0.3405,0.4086,0.35420433473848706,0.24697482285420425
20.0,62267931.0,44666.0,187.0,0.454,0.4994,0.27464960699647584,0.2403411051135332
21.0,63757748.0,77156.0,317.0,0.3859,0.4313,0.3037072977115256,0.2363693054362312
22.0,50582990.0,10926.0,102.0,0.2043,0.2497,0.3142528735869199,0.21804327521566616
23.0,24224063.0,8052.0,463.0,0.3178,0.3632,0.2971837594503211,0.24304828327558065
24.0,41425165.0,70143.0,55.0,0.29510000000000003,0.3178,0.27979202992013485,0.22728898782433274
