l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,95532973.0,18850.0,454.0,6.878100000000001,7.0143,0.11924750136672627,0.08436314399052762,1.0324153900146484
1.0,8711723.0,67031.0,337.0,5.516100000000001,5.7431,0.12756002930990648,0.08691382775249323,0.9835186004638672
2.0,93991609.0,87547.0,421.0,7.400200000000001,7.4910000000000005,0.1176741312075929,0.08528443196487594,0.9865577220916748
3.0,74949240.0,89872.0,414.0,5.6069,5.7658000000000005,0.13328375954371385,0.08389976464392768,0.9843018054962158
4.0,56488126.0,1795.0,452.0,6.5376,6.6284,0.10946633597507026,0.08910412468023807,0.9795982837677002
5.0,75529766.0,88332.0,203.0,7.6726,7.808800000000001,0.11389205453854401,0.08774684398840688,0.982323169708252
6.0,15868686.0,3416.0,50.0,5.4253,5.5388,0.11850457895900837,0.0858546240803759,0.9797391891479492
7.0,97856331.0,17516.0,189.0,6.673800000000001,6.7873,0.12621147979207878,0.08463460737953517,0.9827885627746582
8.0,91823803.0,92905.0,89.0,6.4468000000000005,6.7419,0.12142554553689916,0.08750085785575398,0.9886932373046875
9.0,4337025.0,82647.0,295.0,7.922300000000001,8.217400000000001,0.10889205277219526,0.089560402360465,0.983468770980835
10.0,98788086.0,3278.0,110.0,5.992800000000001,6.197100000000001,0.1451065241557595,0.08975822413211211,0.9786269664764404
11.0,83232384.0,7293.0,374.0,5.152900000000001,5.1756,0.09774773801349325,0.08290096718604101,0.9846978187561035
12.0,94637768.0,87072.0,199.0,6.8327,6.9008,0.09991664585754484,0.08799401926508503,0.9906961917877197
13.0,22532759.0,33294.0,485.0,4.994000000000001,5.2437000000000005,0.1238482977604823,0.0883365006774826,0.9767191410064697
14.0,56393326.0,86798.0,183.0,6.1063,6.4922,0.1462061938156125,0.08792639701762284,0.9780654907226562
15.0,149391.0,69680.0,429.0,5.4253,5.470700000000001,0.1043582192016944,0.08777636673083805,0.9750344753265381
16.0,74284808.0,77321.0,266.0,5.152900000000001,5.2664,0.11864332953351264,0.08976562864552591,0.9819045066833496
17.0,41102785.0,63202.0,98.0,6.2198,6.4695,0.15772655392995222,0.08996731176022793,0.9805660247802734
18.0,89656840.0,85936.0,165.0,7.3775,7.4683,0.12455655596014026,0.08792586630266083,0.9872965812683105
19.0,78178682.0,69511.0,7.0,6.2198,6.2879000000000005,0.11047185952713084,0.08856504558522518,0.9835906028747559
20.0,27308409.0,56807.0,303.0,4.7443,4.9032,0.13336052089262682,0.08587253265345812,0.9838950634002686
21.0,51858171.0,41647.0,202.0,5.879300000000001,5.992800000000001,0.11988466702199443,0.08847401208615352,0.9828193187713623
22.0,61903946.0,32053.0,220.0,6.2652,6.3106,0.10106670767146526,0.08526367414239557,0.9801244735717773
23.0,11353577.0,98180.0,184.0,4.108700000000001,4.1314,0.09750864505091514,0.08533229243500934,1.00856351852417
24.0,51606185.0,65302.0,289.0,9.0573,9.1027,0.09890964698754179,0.08586644372875991,0.9955644607543945
25.0,49316112.0,63071.0,259.0,5.879300000000001,5.9247000000000005,0.10589620427009382,0.08545663039724455,0.9918954372406006
26.0,68744442.0,52969.0,409.0,7.7407,7.876900000000001,0.12179853983117793,0.08772254026106929,0.9984426498413086
27.0,70783185.0,88179.0,185.0,7.286700000000001,7.5137,0.12863038851148362,0.08816414253511955,1.0057072639465332
28.0,6759322.0,56893.0,281.0,6.5376,6.6965,0.12392559177249068,0.0896713863045333,0.9915986061096191
29.0,27370048.0,43944.0,89.0,6.9916,7.286700000000001,0.1245854448144253,0.08754474240676224,0.9935083389282227
30.0,8757502.0,38820.0,310.0,5.3799,5.516100000000001,0.11819701345045375,0.08897142437101561,0.9838550090789795
31.0,43667743.0,55072.0,283.0,5.6977,5.8112,0.12350865641231926,0.08564880921401649,0.9903442859649658
32.0,53658981.0,37545.0,438.0,6.8327,6.9689000000000005,0.11427751440903831,0.08776272925841042,0.9975404739379883
33.0,31665159.0,23053.0,440.0,6.242500000000001,7.0597,0.12817355835375352,0.08753614199872899,0.9794080257415771
34.0,21324532.0,63508.0,143.0,6.4695,6.5376,0.1223512029575751,0.08281066005856987,0.9804162979125977
35.0,11472462.0,38736.0,95.0,5.6069,5.6296,0.09470512540995416,0.08626076988519028,0.982396125793457
36.0,32090524.0,19382.0,288.0,6.3333,6.3787,0.10400262433626511,0.0840162785822303,0.9874341487884521
37.0,75143387.0,77691.0,268.0,6.514900000000001,6.6511000000000005,0.13691932239862825,0.08566004985705161,0.9911377429962158
38.0,66337419.0,56869.0,277.0,5.3345,5.516100000000001,0.14659950050873266,0.0895529898867985,0.9938464164733887
39.0,68893648.0,22908.0,168.0,6.6965,6.7419,0.09917043931985486,0.08662352315991842,0.9857800006866455
40.0,79865893.0,64437.0,373.0,9.261600000000001,9.352400000000001,0.12814044374783204,0.08975162997729426,0.997652530670166
41.0,44033573.0,79920.0,134.0,5.675000000000001,5.9247000000000005,0.12223066995680998,0.08831715839888081,0.9836540222167969
