l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,78611183.0,95697.0,445.0,6.5376,6.5376,0.24558611840383393,0.23424369195477943,0.13460683822631836
1.0,47050878.0,96258.0,362.0,6.0609,6.605700000000001,0.3373698406124394,0.2497300454465054,0.11697006225585938
2.0,58250397.0,38238.0,417.0,4.630800000000001,4.835100000000001,0.3467758953603266,0.24177801849678637,0.11600971221923828
3.0,66781794.0,60341.0,259.0,5.992800000000001,6.038200000000001,0.292810513310221,0.23753640724644268,0.1116328239440918
4.0,56634333.0,97840.0,202.0,5.9247000000000005,6.1517,0.33447187861053074,0.23900716704802935,0.11104297637939453
5.0,2980147.0,5912.0,26.0,6.2652,6.356000000000001,0.3517298021221084,0.2354836405837482,0.11037206649780273
6.0,74888626.0,44506.0,413.0,6.1517,6.197100000000001,0.2615713772096366,0.24906380329950784,0.1107935905456543
7.0,22823431.0,19720.0,227.0,5.7431,5.8112,0.3258269177473066,0.24050251885513013,0.11985135078430176
8.0,31523619.0,24320.0,210.0,4.4946,4.5854,0.3661902572538274,0.24958448061482003,0.11902546882629395
9.0,22978788.0,15548.0,232.0,5.5615000000000006,5.6523,0.29883779685534456,0.24509129682462835,0.12575745582580566
10.0,22381913.0,65009.0,232.0,6.242500000000001,6.3106,0.2976978525537375,0.24919686608652053,0.11787891387939453
11.0,80241178.0,67592.0,387.0,6.197100000000001,6.3106,0.33536313288792075,0.2459987597704768,0.11618804931640625
12.0,51248019.0,48363.0,246.0,4.6535,4.789700000000001,0.3168737678527119,0.24899807052138942,0.12454771995544434
13.0,16694332.0,25894.0,14.0,5.516100000000001,5.675000000000001,0.34802469494890365,0.24877244512591135,0.12126636505126953
14.0,40191536.0,24537.0,96.0,4.9259,5.0848,0.33171828803415115,0.24043592804776778,0.1157221794128418
15.0,80908844.0,8888.0,84.0,7.5818,7.6726,0.33170786476133834,0.23549009355481929,0.11634206771850586
16.0,76396487.0,16009.0,321.0,5.9701,6.0609,0.31768816848073567,0.23768887049950269,0.11499357223510742
17.0,83025625.0,58281.0,109.0,5.3799,5.470700000000001,0.3747802221212923,0.248608365443751,0.11050796508789062
18.0,66904455.0,5968.0,302.0,6.4468000000000005,6.605700000000001,0.38569178961294637,0.24594464560051546,0.11515069007873535
19.0,81151519.0,9630.0,250.0,3.9725,4.0633,0.3458740084105224,0.24967603892309823,0.11342716217041016
20.0,84729382.0,50257.0,334.0,4.9713,5.1075,0.32407006817584244,0.2498276474380179,0.11812162399291992
21.0,49225717.0,63298.0,372.0,5.6296,5.6977,0.31109030104066493,0.2360248899370744,0.11375617980957031
22.0,4203451.0,56949.0,161.0,5.516100000000001,5.5842,0.3272329635275173,0.22829278173950152,0.11405205726623535
23.0,70797630.0,92535.0,1.0,4.4946,4.6081,0.3304071048748458,0.23924865280907054,0.11731362342834473
24.0,80358442.0,84971.0,367.0,7.127800000000001,7.3775,0.38102322766237234,0.24363821163677038,0.11580491065979004
25.0,33820196.0,14779.0,425.0,6.038200000000001,6.2879000000000005,0.3629699690895378,0.24916381171757543,0.11774420738220215
26.0,33155100.0,66404.0,251.0,5.3345,5.5388,0.35547616723377956,0.24985175839939108,0.11638164520263672
27.0,84871271.0,72272.0,125.0,6.1063,6.1744,0.30618132264768083,0.24684187141797212,0.11956191062927246
28.0,30547131.0,93369.0,262.0,6.0155,6.197100000000001,0.32672680175750923,0.24917413072813407,0.11620187759399414
29.0,49145915.0,87972.0,316.0,7.1505,7.286700000000001,0.34717216005913304,0.24851358603955423,0.12018871307373047
30.0,37270573.0,20890.0,341.0,6.401400000000001,6.583,0.3564461096359718,0.24634086258484422,0.11497879028320312
31.0,83533682.0,20480.0,457.0,5.6296,5.8112,0.39929422623544186,0.2420140844047194,0.11972761154174805
32.0,44258628.0,56918.0,46.0,5.992800000000001,6.1517,0.4024450334955354,0.24305455427097938,0.11523318290710449
33.0,40952492.0,82822.0,205.0,5.6977,5.9474,0.3387814539537513,0.24667734624593024,0.1197214126586914
34.0,30230621.0,35432.0,409.0,7.967700000000001,8.6033,0.38120312183465527,0.24472831597919362,0.11648106575012207
35.0,14219368.0,4104.0,193.0,3.8817000000000004,3.9952,0.35748136528757934,0.24595506758280297,0.12111163139343262
