l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,15177084.0,9884.0,404.0,1.2712,1.3393000000000002,0.1272770484244785,0.08953026270549355,0.9527585506439209
1.0,94946556.0,19857.0,458.0,1.9522000000000002,2.0657,0.11965082665888237,0.08793712550711662,0.9118902683258057
2.0,2802842.0,499.0,337.0,2.6559000000000004,2.8148,0.13743345162518117,0.08630384510558618,0.9645388126373291
3.0,49029556.0,79684.0,471.0,2.0884,2.2473,0.11586158863939133,0.0870746978552594,0.8839554786682129
4.0,1906661.0,13492.0,370.0,1.6798000000000002,2.2246,0.124091207931772,0.0881601010560083,0.9022762775421143
5.0,51791367.0,59758.0,140.0,1.3166,1.4982000000000002,0.13113955359000404,0.08993572225529081,0.9543888568878174
6.0,79571375.0,39283.0,420.0,2.0203,2.0657,0.10545121378575842,0.08401883016294039,0.9423315525054932
7.0,43048548.0,9060.0,69.0,2.0657,2.1792000000000002,0.11384205780012327,0.08573066989761902,0.8591663837432861
8.0,26441148.0,87077.0,229.0,2.3154000000000003,2.4970000000000003,0.13543167464591194,0.08763753535932667,0.9064476490020752
9.0,10949300.0,5693.0,495.0,1.8387000000000002,2.2927,0.09468860812709194,0.0884905678571486,0.9404568672180176
10.0,43112429.0,10775.0,142.0,1.9068,2.043,0.11801690974534154,0.08590736021176207,0.878251314163208
11.0,90737888.0,25250.0,429.0,1.7933000000000001,1.9522000000000002,0.13581902812876545,0.08694223663930255,1.018782138824463
12.0,84461741.0,74554.0,121.0,1.7025000000000001,1.9068,0.12727906998434443,0.08737430423288908,0.9613296985626221
13.0,58580354.0,87733.0,8.0,2.4743,2.6105,0.13807711608214632,0.08980434511855057,0.920438289642334
14.0,35242646.0,20321.0,302.0,1.4074,1.5209000000000001,0.1288326374285571,0.08826411611172674,0.9223954677581787
15.0,68159993.0,31890.0,296.0,1.4982000000000002,1.6798000000000002,0.14227031732041925,0.0896276456154356,1.0320932865142822
16.0,35439494.0,61557.0,316.0,1.7025000000000001,1.9976,0.12180872306672966,0.08877324267307998,1.0228686332702637
17.0,44696912.0,78342.0,454.0,1.4074,1.4755,0.11213279784822597,0.08422899221188788,0.9132261276245117
18.0,11182455.0,52067.0,21.0,1.7252,1.7933000000000001,0.11300265692770431,0.08754171513861397,0.8986577987670898
19.0,10160496.0,20400.0,309.0,1.4528,1.5436,0.13085483987990237,0.08897010512964071,0.9449219703674316
20.0,12743327.0,18723.0,311.0,2.3608000000000002,2.4743,0.13163988492926387,0.0864502920031091,1.0108752250671387
21.0,56659752.0,80871.0,63.0,1.9749,2.0203,0.09714977489430097,0.08726305918633669,0.956350564956665
22.0,76632125.0,6699.0,83.0,1.4982000000000002,1.5436,0.10019132053569538,0.08527860940515841,0.9496438503265381
23.0,11971894.0,37866.0,19.0,1.6117000000000001,1.8387000000000002,0.12490966252426393,0.08818982235161756,1.0367724895477295
24.0,58220114.0,82800.0,126.0,1.9522000000000002,2.3608000000000002,0.13119369752376486,0.08927519960037474,0.9986631870269775
25.0,98445759.0,63773.0,91.0,1.8387000000000002,1.9068,0.1148026775625854,0.08372904735616582,1.0661003589630127
26.0,31109935.0,5580.0,68.0,1.7479,2.043,0.12081655930691504,0.08810994147175807,0.9973626136779785
27.0,83634087.0,83625.0,446.0,2.6105,2.7013000000000003,0.10195210360897136,0.08583071091771012,0.9893429279327393
28.0,93189996.0,8986.0,321.0,1.5436,1.7479,0.1266108553355912,0.08975545840414041,0.9700322151184082
29.0,69901393.0,28106.0,9.0,1.3393000000000002,1.4301000000000001,0.11678282162522172,0.0880405287555764,0.9694926738739014
30.0,60996659.0,58155.0,140.0,1.5890000000000002,1.7479,0.13023895844087346,0.08877421719083395,0.9547302722930908
31.0,74467680.0,25169.0,188.0,3.1780000000000004,3.2915,0.10670734338169073,0.08982468146592991,0.9343400001525879
32.0,51045648.0,28822.0,370.0,2.4062,2.5424,0.12375037708555753,0.0889868424304707,0.9918994903564453
33.0,54574763.0,49812.0,329.0,1.6344,1.7252,0.11567278770837307,0.08513318988040897,0.9196772575378418
34.0,18354707.0,87087.0,15.0,2.4970000000000003,2.5651,0.09846126022989013,0.08995543508685892,0.9198260307312012
35.0,49246181.0,31251.0,397.0,1.7933000000000001,1.9522000000000002,0.13582930253042705,0.08985713546732343,0.9750998020172119
36.0,81864867.0,95463.0,367.0,1.6571,1.7933000000000001,0.11468993202197351,0.08978927423417286,0.9022793769836426
37.0,35487727.0,73882.0,157.0,1.2939,1.4074,0.13844965427736572,0.0856634705015862,1.0442478656768799
38.0,22483042.0,49713.0,16.0,1.4074,1.7706000000000002,0.1434995468031585,0.08838072442424146,0.9859359264373779
39.0,15206516.0,78303.0,471.0,2.0884,2.2019,0.11601427877987723,0.0869355964625932,1.0381150245666504
40.0,54444597.0,73016.0,142.0,1.9976,2.1792000000000002,0.12230142105233342,0.08791687677038364,1.010427713394165
41.0,47890052.0,66793.0,306.0,2.4970000000000003,2.5424,0.10485614240016833,0.083813997752778,0.9715766906738281
42.0,82750831.0,61679.0,386.0,1.8841,1.9522000000000002,0.10937430651924421,0.08652280942565942,0.9159979820251465
43.0,28266259.0,82275.0,399.0,1.9749,2.1111,0.1266110368929486,0.08849985629596037,0.888582706451416
44.0,72733122.0,35283.0,487.0,2.0657,2.1792000000000002,0.12726399286022338,0.08901641654722964,0.9946818351745605
45.0,50577661.0,77402.0,262.0,1.8841,1.9976,0.10268542171645244,0.08852611133813885,0.9434959888458252
46.0,7428456.0,54990.0,113.0,1.2485000000000002,1.3393000000000002,0.11952527926782866,0.08573113351553864,0.971672773361206
47.0,17144544.0,37551.0,420.0,1.362,1.4074,0.10031937948264025,0.08491211956840405,0.9864513874053955
48.0,59375818.0,17728.0,400.0,1.3393000000000002,1.4301000000000001,0.12502991213435669,0.08300209025466418,0.9175825119018555
49.0,37243929.0,4928.0,449.0,1.8387000000000002,1.9295000000000002,0.10769166974514768,0.0870374400710946,0.8991439342498779
50.0,98274424.0,12823.0,485.0,1.2939,1.4074,0.13371219005739762,0.08898033164209686,0.9761908054351807
51.0,63633064.0,5539.0,489.0,1.6344,1.7479,0.13665494628002012,0.08849359339793564,0.9449913501739502
52.0,64560510.0,68060.0,331.0,1.2712,1.3847,0.13351399485328863,0.08829598060548392,1.0017743110656738
53.0,28737952.0,61275.0,387.0,1.2485000000000002,1.4074,0.14126204256699967,0.08830025615551752,0.9175293445587158
54.0,96173316.0,49455.0,301.0,1.4755,1.5436,0.11403062269380193,0.08356528171601288,0.9405128955841064
55.0,17196763.0,20582.0,473.0,1.4074,1.4755,0.10532026404677669,0.08497703348599375,0.878180742263794
56.0,56805491.0,37471.0,203.0,3.1326,3.2461,0.12277273822356341,0.08813032267797061,0.9418182373046875
57.0,60400889.0,14246.0,303.0,1.4074,1.5436,0.1446240724348735,0.08469438545356521,1.012791395187378
58.0,46298359.0,300.0,266.0,1.4982000000000002,1.6344,0.13377115202946938,0.08656312404173859,0.9120440483093262
59.0,18925094.0,306.0,154.0,1.2712,1.4982000000000002,0.16412500213397585,0.08942850239670157,1.029855728149414
60.0,41213481.0,51799.0,102.0,2.9964000000000004,3.0418000000000003,0.09625065438382739,0.08634643915851495,0.9938640594482422
61.0,44494611.0,77576.0,399.0,1.8841,1.9976,0.12151145742900778,0.08518219163116178,0.9594664573669434
62.0,68536733.0,58542.0,438.0,2.27,2.4062,0.11949449655664053,0.08578501891567818,1.0492234230041504
63.0,86073053.0,31771.0,177.0,2.4062,2.724,0.1222348544700026,0.08855923300518864,0.9988729953765869
64.0,78577955.0,90527.0,23.0,1.9295000000000002,2.043,0.11513909206419629,0.08591269669464736,0.9660651683807373
65.0,38320018.0,61427.0,437.0,1.7252,1.9976,0.12348136004616622,0.08984658656233745,0.9514422416687012
66.0,14721269.0,40870.0,454.0,2.4516,2.6332,0.1255832913697424,0.08740990495122361,0.9534728527069092
67.0,69860074.0,75200.0,478.0,1.5209000000000001,1.7252,0.1159473460803746,0.08813462967156893,1.021796464920044
68.0,14745171.0,71512.0,261.0,2.4062,2.4516,0.10010284550214708,0.08670317900049299,0.8977575302124023
69.0,11333568.0,40844.0,47.0,2.5197000000000003,2.6559000000000004,0.12508696155069576,0.08847694747163333,0.9149832725524902
70.0,42697155.0,63324.0,188.0,2.5878,2.6559000000000004,0.10947574445844302,0.08933740799114866,1.0159423351287842
71.0,72016683.0,86706.0,35.0,2.2246,2.3835,0.13984987247221894,0.08518439650451179,1.014657735824585
72.0,30077867.0,78535.0,169.0,1.5890000000000002,1.6798000000000002,0.11344393138155584,0.08639461890470003,1.0293059349060059
73.0,48050727.0,60985.0,433.0,1.4755,1.5890000000000002,0.12078278750132693,0.08966277737268455,0.9775726795196533
74.0,41830861.0,74981.0,34.0,1.4528,1.6571,0.14513708876201697,0.08940965643616777,0.9970557689666748
75.0,47302384.0,62478.0,210.0,1.9976,2.0884,0.11284018233000909,0.08965813246282105,0.9624595642089844
76.0,75824928.0,60854.0,271.0,1.7252,1.8614000000000002,0.12892964241142585,0.0890932693765192,0.915719747543335
77.0,29162013.0,39492.0,499.0,1.7933000000000001,1.9295000000000002,0.12826137612997615,0.08823229721010657,0.981952428817749
78.0,11191428.0,52782.0,199.0,1.9522000000000002,2.4289,0.13651048344578795,0.08969791201294777,0.9383008480072021
79.0,64647979.0,47076.0,141.0,1.5890000000000002,1.6798000000000002,0.113832264351889,0.08904495575565302,0.9759504795074463
80.0,21249456.0,6853.0,217.0,1.6798000000000002,1.7479,0.10634111606460915,0.0853899551452126,0.9645872116088867
81.0,56842882.0,40782.0,168.0,1.6344,1.7933000000000001,0.12954925652439794,0.08508110574361034,0.9573931694030762
82.0,91840234.0,48062.0,284.0,1.6571,1.7706000000000002,0.13987439336617155,0.0849014214650269,0.966393232345581
83.0,52182551.0,37224.0,420.0,2.4062,2.5197000000000003,0.11622867277639948,0.08817782630737965,0.9427797794342041
84.0,15133098.0,64144.0,76.0,2.4970000000000003,2.6332,0.11040894864345115,0.08689271563193986,1.0080416202545166
85.0,75482371.0,49007.0,92.0,1.4755,1.5436,0.11208133535621008,0.08610886816474804,1.0234789848327637
86.0,48834059.0,240.0,244.0,1.6344,1.7025000000000001,0.11423353335822362,0.08543875957904461,0.9626610279083252
87.0,62665023.0,74110.0,75.0,1.3166,1.4301000000000001,0.13316469059025424,0.08482383344248426,1.0061984062194824
88.0,49456036.0,26365.0,282.0,1.1804000000000001,1.4528,0.1347622483444762,0.08811013632626094,0.9005560874938965
89.0,33648875.0,72407.0,73.0,2.4289,2.5197000000000003,0.10513475505427478,0.08787314415176095,0.9252376556396484
90.0,73592443.0,29153.0,463.0,2.2019,2.3154000000000003,0.10854008195227194,0.08790460575837514,0.9300670623779297
91.0,22171893.0,32078.0,199.0,2.043,2.2246,0.13920324201941087,0.08783448522440762,0.9602580070495605
