l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,117721.0,19738.0,182.0,6.878100000000001,7.4910000000000005,0.3142245349454337,0.24327720428349367,9.682428121566772
1.0,25864982.0,65497.0,418.0,8.2401,8.853,0.3303904698393312,0.2343729361028473,9.429012060165405
2.0,1288548.0,34892.0,194.0,5.2891,5.470700000000001,0.35497817570128515,0.23739573603689001,9.514469623565674
3.0,62161802.0,41435.0,102.0,6.764600000000001,6.8554,0.31017914417627773,0.24095489944014614,9.436705112457275
4.0,28265788.0,81779.0,419.0,7.127800000000001,7.3094,0.36869556053418817,0.24063486144995203,9.494651794433594
5.0,40881155.0,67948.0,196.0,5.992800000000001,6.2198,0.36921856480226356,0.24711656868200926,9.565009117126465
6.0,78471743.0,6642.0,66.0,6.3333,6.4241,0.35073175963885916,0.24661333892311113,9.462984800338745
7.0,36575634.0,67898.0,379.0,5.8112,6.2652,0.3441703118862986,0.24393796987624358,9.503249406814575
8.0,25759820.0,2397.0,138.0,8.3536,8.626000000000001,0.3354334988640664,0.23589366237767231,9.44368052482605
9.0,18527836.0,75242.0,49.0,9.148100000000001,9.1935,0.2935191414747395,0.24121104834704843,9.433841705322266
10.0,489040.0,49276.0,244.0,7.604500000000001,7.6953000000000005,0.3245561029155519,0.23875612951653383,9.46955943107605
11.0,69841345.0,20807.0,144.0,4.789700000000001,4.9486,0.34037045964460283,0.2467364706234214,9.524780988693237
12.0,90088117.0,60451.0,242.0,8.0358,8.0812,0.28169764104943223,0.24168068379953775,9.52393364906311
13.0,86689322.0,62055.0,469.0,8.4444,8.5579,0.321319995493297,0.24087126754531582,9.549006700515747
14.0,87791758.0,97448.0,397.0,5.448,5.675000000000001,0.3558519531739408,0.24066998648583407,9.458647012710571
15.0,85563658.0,34899.0,126.0,7.082400000000001,7.6953000000000005,0.38023196541958604,0.24257632277519683,9.402798891067505
16.0,44365037.0,40291.0,326.0,6.2198,6.3333,0.3202672179570054,0.23784906391319202,9.482712030410767
17.0,29751299.0,98661.0,90.0,6.7873,7.286700000000001,0.33067204851904386,0.23909189170287132,9.423072576522827
18.0,70789047.0,92618.0,14.0,6.8327,6.923500000000001,0.31814637714293287,0.23663298651565948,9.478026628494263
19.0,18210740.0,78388.0,230.0,4.8805000000000005,4.9486,0.3273238276221291,0.2437025233563078,9.547839879989624
20.0,28704891.0,2310.0,390.0,8.739500000000001,8.830300000000001,0.31467244559490476,0.23344165326639496,9.497292757034302
21.0,43018661.0,76818.0,478.0,7.6953000000000005,7.967700000000001,0.33545235852052135,0.24108411635292296,9.471040964126587
22.0,67798723.0,21901.0,142.0,5.2437000000000005,5.5388,0.38099574171342304,0.24372945101663515,9.45870327949524
23.0,20712271.0,46936.0,420.0,8.4898,8.5806,0.31099059161946796,0.2459409477508422,9.488508939743042
24.0,79391766.0,1063.0,268.0,9.6929,9.8291,0.3207320721454749,0.24985321944900285,9.510981559753418
25.0,15712527.0,78898.0,53.0,10.101500000000001,10.3512,0.41113899575908275,0.24042175884985814,9.597947120666504
26.0,5853368.0,586.0,167.0,6.9916,7.082400000000001,0.2928812906338857,0.2463811799841835,9.4788978099823
27.0,63475199.0,51429.0,258.0,7.241300000000001,7.3775,0.29944693813004397,0.2495238178740389,9.533090114593506
28.0,7341893.0,24734.0,308.0,7.4683,7.559100000000001,0.3252534336308879,0.2393329933350486,9.483618021011353
29.0,95023015.0,17993.0,146.0,8.6487,9.0119,0.31975777506140257,0.24035014826514625,9.61513090133667
30.0,96387135.0,89009.0,192.0,8.7622,8.943800000000001,0.3449001616058634,0.24436724780694047,9.487272500991821
31.0,88601787.0,93478.0,357.0,9.4205,9.5113,0.2981130901549795,0.24845393984429862,9.456782341003418
32.0,77667478.0,49497.0,33.0,7.037000000000001,7.3775,0.33671747618086595,0.2460547551195945,9.434163093566895
33.0,60641139.0,48223.0,420.0,8.3309,8.421700000000001,0.30895534762005594,0.2475411319785245,9.57092809677124
34.0,62970560.0,42538.0,148.0,6.3787,6.5376,0.32844455230811287,0.2460800836310979,9.467069625854492
35.0,91783647.0,87142.0,226.0,5.516100000000001,5.902,0.4242906866427998,0.24654771349274845,9.484155416488647
36.0,81205607.0,2375.0,41.0,6.923500000000001,6.9689000000000005,0.2936109057173229,0.23221376043413114,9.495188236236572
37.0,68828884.0,3731.0,272.0,9.034600000000001,8.9665,0.248761112840353,0.25805462809520435,9.50759744644165
38.0,5436499.0,34158.0,12.0,5.6069,5.720400000000001,0.3646297516172614,0.24829485075117025,9.455996751785278
39.0,77106058.0,79519.0,149.0,4.9713,5.0621,0.3332985532518986,0.24219640777943716,9.504299402236938
40.0,30908383.0,99992.0,408.0,8.512500000000001,8.6941,0.2891801672693977,0.24557887880997012,9.46574068069458
41.0,96545934.0,51937.0,260.0,8.9665,9.034600000000001,0.2971758422986815,0.24678147516702226,9.538124322891235
42.0,80427732.0,72532.0,296.0,7.037000000000001,7.127800000000001,0.28558648853266444,0.24424009360418888,9.541716575622559
43.0,73343445.0,16705.0,256.0,6.356000000000001,6.514900000000001,0.29789917996175014,0.2481747438995678,9.395888090133667
44.0,89826701.0,77542.0,26.0,5.720400000000001,5.902,0.3700560721056107,0.24427421981777991,9.46973729133606
45.0,24287799.0,55782.0,223.0,9.443200000000001,9.579400000000001,0.3366948645256481,0.24551131034969986,9.518067121505737
46.0,2974190.0,75517.0,145.0,6.7873,6.9008,0.28442279093444234,0.2474443280335938,9.488078594207764
47.0,96053478.0,51382.0,182.0,6.9008,7.4910000000000005,0.314471113127579,0.24310518532890088,9.528162717819214
48.0,59507017.0,33230.0,76.0,7.9904,8.103900000000001,0.38613517297047717,0.24480355155526778,9.466306209564209
49.0,8773734.0,80150.0,271.0,6.3333,6.3787,0.2860362605576648,0.23649710896186682,9.465972661972046
50.0,7633648.0,88128.0,130.0,6.3333,6.4695,0.35423011823133976,0.24135491256413144,9.48164415359497
51.0,53180313.0,78492.0,215.0,7.5137,7.718000000000001,0.2996166267777705,0.2493190080015063,9.382818698883057
52.0,98390494.0,16220.0,499.0,8.1266,8.194700000000001,0.30861768546713864,0.24844128619504846,9.469447135925293
53.0,73936143.0,89562.0,179.0,6.356000000000001,6.4241,0.31299652399653427,0.24048438102414826,9.533389806747437
54.0,99626917.0,10889.0,249.0,6.6511000000000005,6.7419,0.3035665821196759,0.24089033427225295,9.602308750152588
55.0,85164806.0,58824.0,451.0,8.172,8.3763,0.34974347315951976,0.24350186566926976,9.510932445526123
56.0,54639072.0,46766.0,364.0,7.3321000000000005,7.4683,0.3181353968096826,0.24065537413242677,9.560884714126587
57.0,63106560.0,93815.0,313.0,6.9462,7.082400000000001,0.3279090957347659,0.24775578891394076,9.429196834564209
58.0,85251813.0,89085.0,221.0,4.5854,4.7216000000000005,0.36456476005803207,0.24975294871750608,9.523885488510132
59.0,62832108.0,64004.0,123.0,5.0848,5.1756,0.3232025129056438,0.24783773615866578,9.450412273406982
60.0,42812912.0,12190.0,324.0,7.195900000000001,7.3321000000000005,0.30606517740912187,0.24252888532376143,9.460016965866089
61.0,35194685.0,49428.0,96.0,6.3106,6.9008,0.3324502263870131,0.23873008197496026,9.540696620941162
62.0,28022450.0,6800.0,387.0,5.6296,5.7658000000000005,0.328764960725963,0.2417572404841744,9.570468187332153
