l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,48291630.0,21402.0,6.0,5.516100000000001,5.5842,0.32530073182131736,0.23046462814941976,0.6148169040679932
1.0,42216634.0,90226.0,455.0,7.3321000000000005,7.4910000000000005,0.3314719262508061,0.2431030888712641,0.558401346206665
2.0,94525913.0,63187.0,447.0,7.1505,7.3321000000000005,0.39939505724324875,0.2451012359423007,0.5925502777099609
3.0,52335417.0,71429.0,343.0,7.876900000000001,7.876900000000001,0.24912223865103023,0.24344699109749643,0.5949828624725342
4.0,478811.0,84207.0,320.0,6.7419,6.9008,0.3063615615265078,0.24690304160925194,0.5695035457611084
5.0,32399781.0,19708.0,354.0,5.4253,5.516100000000001,0.3415590927185696,0.24271739991063565,0.5508339405059814
6.0,41579870.0,33599.0,393.0,5.4253,5.6296,0.3570877209946764,0.24482748205860017,0.577960729598999
7.0,3684046.0,58671.0,261.0,7.082400000000001,7.195900000000001,0.3542143025890635,0.23811129737474504,0.5566937923431396
8.0,32304743.0,14676.0,193.0,7.1732000000000005,8.0585,0.28874768656267696,0.24898795098148505,0.5752420425415039
9.0,36656884.0,19608.0,3.0,7.4910000000000005,7.604500000000001,0.27813342258664575,0.24718045471812478,0.5945522785186768
10.0,86056323.0,20041.0,366.0,6.6965,7.1505,0.34713251332110834,0.24735098405740572,0.6107058525085449
11.0,14575659.0,38343.0,498.0,7.082400000000001,7.286700000000001,0.3523719307036702,0.24559435863592427,0.5629069805145264
12.0,42696489.0,96210.0,173.0,6.8327,6.923500000000001,0.31409965880159896,0.2409456300203112,0.5917580127716064
13.0,56792738.0,29535.0,489.0,5.902,6.0609,0.36271572191578394,0.24092369040655418,0.5823891162872314
14.0,91277402.0,40679.0,39.0,4.789700000000001,5.4026000000000005,0.35739679229286186,0.23959201379540493,0.5696773529052734
15.0,33649706.0,36249.0,133.0,8.2401,8.399000000000001,0.37264020960161853,0.24221503497423844,0.5500833988189697
16.0,28424372.0,85782.0,355.0,6.2198,6.9689000000000005,0.35506687535000875,0.24619690822316573,0.5787398815155029
17.0,54783776.0,3755.0,214.0,6.4241,6.4922,0.28538343017011303,0.2494216952647549,0.5614252090454102
18.0,20811983.0,68402.0,346.0,6.8554,6.9462,0.3207803616059218,0.24623489797267697,0.5681760311126709
19.0,52089622.0,56299.0,231.0,5.470700000000001,5.5842,0.3427145856314622,0.2476337260897048,0.586897611618042
20.0,86252559.0,487.0,449.0,6.9689000000000005,7.1051,0.35363905822340147,0.24471108065812452,0.5580735206604004
21.0,88158326.0,64132.0,23.0,5.6296,5.720400000000001,0.36433020292475016,0.2325725931945562,0.5515310764312744
22.0,88778784.0,99170.0,466.0,7.037000000000001,7.082400000000001,0.2876001227060017,0.24064062263586805,0.5760536193847656
23.0,88467710.0,53073.0,380.0,5.8112,5.992800000000001,0.35585261565598,0.24615832602180432,0.558297872543335
24.0,39459081.0,56807.0,144.0,7.195900000000001,7.400200000000001,0.38626198888256413,0.24865108834426924,0.5902841091156006
25.0,20849498.0,23150.0,130.0,6.9008,7.127800000000001,0.360514154411246,0.24108236092911223,0.5874357223510742
26.0,80038899.0,43229.0,115.0,6.878100000000001,6.9689000000000005,0.3473365259307464,0.24925847672844814,0.5827515125274658
27.0,77444339.0,93690.0,336.0,7.195900000000001,7.241300000000001,0.2883420600334851,0.24553235622138334,0.5563433170318604
28.0,66901243.0,7091.0,298.0,4.8805000000000005,5.6069,0.37439129120415976,0.24713606728687273,0.5592429637908936
29.0,4474160.0,29352.0,333.0,6.4241,6.4468000000000005,0.25026459412296415,0.24047173950910536,0.5777180194854736
30.0,9082732.0,95043.0,233.0,7.241300000000001,7.264,0.25454804241309525,0.23935550942261027,0.56984543800354
31.0,6068722.0,85211.0,497.0,6.923500000000001,7.0143,0.3141619227622296,0.2425065400057694,0.5850417613983154
32.0,84878947.0,80863.0,227.0,7.0597,7.1732000000000005,0.34076794617769995,0.2427759103242008,0.5570082664489746
