l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,31304143.0,8650.0,2.0,6.923500000000001,7.082400000000001,0.36944029245247556,0.23381440789871094,0.16395068168640137
1.0,24193076.0,67612.0,26.0,5.4253,5.6296,0.3693298872368438,0.24536248933148858,0.16169977188110352
2.0,87801970.0,81852.0,463.0,7.400200000000001,7.5137,0.3097391538524254,0.24071700232030707,0.16681981086730957
3.0,55537999.0,65146.0,206.0,4.7216000000000005,4.8124,0.33003853108099634,0.23357473707642748,0.16392827033996582
4.0,69223951.0,21821.0,216.0,5.5388,5.6296,0.34970679489338513,0.2392122354037417,0.15990567207336426
5.0,33575928.0,25862.0,264.0,4.471900000000001,4.471900000000001,0.24845547198079282,0.2348583981679571,0.15521645545959473
6.0,76373573.0,58098.0,420.0,7.922300000000001,8.0358,0.2940625538547166,0.24473725366378693,0.15515470504760742
7.0,46398517.0,21653.0,332.0,5.4026000000000005,5.470700000000001,0.3114308046889178,0.2422320886040684,0.15979623794555664
8.0,42057753.0,39808.0,275.0,4.835100000000001,4.994000000000001,0.3571206874261667,0.24008876669522952,0.1665806770324707
9.0,83428065.0,66099.0,295.0,7.718000000000001,7.8542000000000005,0.3036316354378852,0.24953094375606724,0.16144633293151855
10.0,72403942.0,33072.0,490.0,5.8112,5.9474,0.30772310016592247,0.24686638035150887,0.1570279598236084
11.0,96806137.0,30049.0,438.0,4.3811,4.994000000000001,0.325480209392694,0.24878535089559994,0.1541728973388672
12.0,11626722.0,10904.0,186.0,5.7658000000000005,5.879300000000001,0.34203360457468157,0.2368970319144498,0.1582491397857666
13.0,10071481.0,52223.0,471.0,7.4910000000000005,7.808800000000001,0.3467898187754638,0.24431574282711394,0.1653895378112793
14.0,61457565.0,81918.0,142.0,4.6989,4.9032,0.3768129730570382,0.24131382552774672,0.1624770164489746
15.0,79526302.0,3083.0,449.0,5.7431,7.195900000000001,0.356917230456251,0.24374444972644757,0.16061878204345703
16.0,36650527.0,41328.0,290.0,4.9486,4.994000000000001,0.2807514780051123,0.2336999627538105,0.16089081764221191
17.0,44793244.0,64523.0,286.0,4.2903,4.4038,0.35911025059402235,0.24236598274663881,0.16058635711669922
18.0,47750444.0,53163.0,339.0,7.2186,7.400200000000001,0.3424351610408639,0.2407401432130152,0.15916109085083008
19.0,80233953.0,17161.0,485.0,5.198300000000001,6.4241,0.3440642050268952,0.24354170231378383,0.16920900344848633
20.0,44647843.0,9445.0,352.0,4.6081,4.789700000000001,0.33128969539957454,0.24408902449049225,0.16183853149414062
21.0,996863.0,7703.0,206.0,4.4492,4.5627,0.34837738833510873,0.24556245137254393,0.1593306064605713
22.0,34705550.0,74934.0,45.0,6.6511000000000005,6.7419,0.26914258989411977,0.24743217312176827,0.15591001510620117
23.0,5079370.0,97165.0,212.0,6.764600000000001,6.923500000000001,0.31422491519266704,0.2412231770919426,0.15938019752502441
24.0,37643311.0,34355.0,179.0,5.879300000000001,5.9474,0.3043444191486673,0.23435993617220158,0.17689967155456543
25.0,4338272.0,22496.0,185.0,6.2879000000000005,6.4468000000000005,0.37182427683477703,0.23950726225950986,0.16231489181518555
26.0,81396688.0,73508.0,297.0,5.8566,6.401400000000001,0.35544628273843454,0.24544727499581764,0.15836024284362793
27.0,1131663.0,27691.0,460.0,5.0167,5.6523,0.3827763450214916,0.24720017549893433,0.15337300300598145
28.0,74326885.0,34408.0,109.0,5.4253,5.516100000000001,0.3516653918498134,0.2336217948777073,0.1546475887298584
29.0,68063712.0,20153.0,260.0,6.7873,6.923500000000001,0.3433562761639746,0.2391626551458148,0.15492916107177734
30.0,33800280.0,27782.0,420.0,8.2628,8.3309,0.3086248805516886,0.2495375778832645,0.16437625885009766
31.0,28556926.0,92174.0,189.0,5.7431,5.8566,0.33549774745480915,0.2351754863075126,0.16691160202026367
32.0,21697813.0,64115.0,433.0,5.7431,5.7885,0.2771325164925057,0.24421954167932727,0.1575477123260498
33.0,53957007.0,42200.0,209.0,4.789700000000001,6.083600000000001,0.3458122684793842,0.24665433481469015,0.1536695957183838
34.0,95349474.0,44984.0,342.0,6.9916,7.127800000000001,0.38084354577789936,0.23529461470273227,0.15811538696289062
35.0,93634932.0,20366.0,83.0,4.2676,4.471900000000001,0.38832345929820916,0.24546491370803283,0.16053366661071777
36.0,90128443.0,90335.0,249.0,4.676200000000001,4.767,0.3068710088564224,0.24656425352895564,0.16356420516967773
37.0,58958372.0,28266.0,419.0,5.6977,6.3787,0.3920826771407855,0.24883640555142567,0.15652918815612793
38.0,64122045.0,19242.0,170.0,6.3787,6.6284,0.34620041691524417,0.24265422383037,0.1620497703552246
39.0,21229834.0,23028.0,490.0,5.0394000000000005,5.470700000000001,0.29159884162731264,0.24527359104085486,0.16371679306030273
40.0,15141349.0,72258.0,55.0,5.0621,5.1756,0.3706661299112576,0.2486908827711044,0.1652982234954834
41.0,23729579.0,3032.0,305.0,5.8112,5.879300000000001,0.2957939504531793,0.2336532689336786,0.176283597946167
42.0,60166811.0,93758.0,113.0,5.516100000000001,5.6523,0.3446826598907634,0.2441177547658368,0.16125154495239258
43.0,73485910.0,4102.0,252.0,6.673800000000001,6.8100000000000005,0.3110585114955103,0.24430374472934666,0.15931916236877441
44.0,1626218.0,41700.0,256.0,5.6523,5.7431,0.32797721804641844,0.2490066960229712,0.1619112491607666
45.0,84146366.0,72313.0,189.0,7.1505,7.3094,0.37279278143504296,0.247470283045617,0.15623950958251953
46.0,34993704.0,72055.0,123.0,4.994000000000001,5.1075,0.31866553975844447,0.24285072625380688,0.16348004341125488
47.0,24067676.0,15285.0,482.0,6.1517,6.2652,0.3189703812316982,0.24837124980104286,0.16751551628112793
48.0,50656226.0,55621.0,202.0,6.4468000000000005,6.5376,0.34323807248080573,0.23505400584911668,0.1623227596282959
49.0,61100001.0,87798.0,120.0,7.354800000000001,7.4910000000000005,0.3371895342989681,0.2385456948721389,0.1594710350036621
50.0,40371830.0,27866.0,450.0,6.2198,6.3106,0.2963868465154425,0.23696074205185896,0.15440130233764648
51.0,74318163.0,45938.0,304.0,4.2449,4.3584000000000005,0.35853936141319853,0.2436974141522732,0.15732455253601074
52.0,69120331.0,78505.0,8.0,7.3094,7.649900000000001,0.3636070589292524,0.24944682931566659,0.16638970375061035
53.0,50490379.0,64849.0,289.0,3.9498,3.9044000000000003,0.2495814316591496,0.2702380257055847,0.15794825553894043
54.0,72244319.0,84081.0,242.0,7.763400000000001,7.808800000000001,0.2644320627633597,0.24666960047965145,0.1579422950744629
55.0,4590691.0,64687.0,457.0,7.5818,7.6953000000000005,0.3664883272675143,0.2432180701079732,0.15218639373779297
56.0,75853837.0,76796.0,454.0,5.0848,5.152900000000001,0.3127714881175048,0.2437153790526052,0.15420174598693848
57.0,89410653.0,39388.0,179.0,6.4468000000000005,6.560300000000001,0.32787927709253933,0.2497379642703586,0.15453529357910156
58.0,51072782.0,85429.0,124.0,5.470700000000001,5.6069,0.31043982646047275,0.24574969194621163,0.16640615463256836
59.0,80862773.0,14840.0,261.0,7.286700000000001,7.4683,0.3776366717251166,0.24956065334001665,0.1558372974395752
60.0,66980207.0,55983.0,109.0,5.6296,5.7658000000000005,0.3751585332696011,0.24571261060733351,0.15498638153076172
61.0,88371079.0,88177.0,27.0,5.0394000000000005,5.1756,0.3532623910506133,0.24377676717123334,0.15539050102233887
62.0,18345661.0,21354.0,71.0,6.2879000000000005,6.401400000000001,0.35065146702174205,0.24395133351464818,0.15700483322143555
63.0,28257743.0,47612.0,366.0,7.5818,7.7407,0.3460125230459373,0.2448560729829831,0.16680145263671875
64.0,64552039.0,62338.0,232.0,5.3799,5.448,0.30410342120863526,0.24606798625399318,0.16640996932983398
65.0,44392553.0,86902.0,108.0,4.6535,4.789700000000001,0.35073204800058005,0.242129611737548,0.1640763282775879
66.0,21704617.0,85903.0,62.0,5.448,5.6069,0.4094360424900174,0.24670270784192058,0.16204023361206055
67.0,68819474.0,10130.0,246.0,4.4265,4.5173000000000005,0.31161189455120486,0.23993906401527662,0.15989971160888672
68.0,36651642.0,55172.0,415.0,4.994000000000001,5.0848,0.35066405662608297,0.23462086263138784,0.1600492000579834
69.0,50414027.0,87618.0,6.0,5.0394000000000005,5.1756,0.3366926337530767,0.24930140275358706,0.16792774200439453
70.0,75515139.0,83901.0,283.0,5.516100000000001,5.6977,0.3507505878557007,0.24715860621603958,0.15735507011413574
71.0,35795812.0,70460.0,361.0,5.675000000000001,5.9247000000000005,0.3574365694984186,0.23880491940422274,0.16060566902160645
72.0,89248632.0,31253.0,482.0,5.5615000000000006,5.6296,0.30576711701539194,0.24403966387133202,0.15743494033813477
73.0,55847261.0,93267.0,1.0,4.4265,4.5854,0.344385329646648,0.24880616453324736,0.16013026237487793
74.0,73790644.0,63254.0,242.0,5.6977,5.7431,0.27582157202741237,0.23058066527459178,0.16392731666564941
75.0,62530307.0,74368.0,171.0,6.083600000000001,6.1744,0.3258724100015692,0.24574487387537647,0.16463804244995117
76.0,19935670.0,64685.0,251.0,6.3787,6.514900000000001,0.37413074752817066,0.24741970419389073,0.1563091278076172
77.0,61721010.0,55982.0,325.0,6.038200000000001,6.2652,0.3329584072820715,0.2445697951074186,0.1571340560913086
78.0,53952057.0,71418.0,93.0,5.4934,6.0155,0.36900758706379433,0.2495229093254726,0.1552448272705078
79.0,24283613.0,47090.0,101.0,5.3345,5.5842,0.36772446336011844,0.2467582504807823,0.15925025939941406
80.0,53925165.0,28606.0,86.0,4.9486,5.0394000000000005,0.3006587152655109,0.24465968049359446,0.16863799095153809
81.0,23031639.0,59733.0,393.0,5.3345,5.5388,0.3598330395288085,0.2442345007316597,0.15726542472839355
82.0,75294985.0,27439.0,362.0,6.0609,6.923500000000001,0.34050612360440113,0.2490323096328996,0.16308879852294922
83.0,53359623.0,16465.0,125.0,5.1756,5.311800000000001,0.31765514686960383,0.2488627883428553,0.15473699569702148
84.0,42093857.0,60782.0,370.0,6.764600000000001,7.1732000000000005,0.3668050025506304,0.2449355382633012,0.15935349464416504
85.0,99275090.0,58009.0,404.0,4.1314,4.2903,0.36172469950667097,0.24261257516454698,0.16665983200073242
86.0,7040150.0,41337.0,272.0,6.0609,6.1290000000000004,0.2835525733161,0.23538756572041353,0.16764497756958008
87.0,63885203.0,98040.0,287.0,5.7885,6.0155,0.3175943156018132,0.24902864000778124,0.15939974784851074
88.0,46850009.0,36951.0,346.0,5.8112,5.9474,0.3504667324440144,0.23661726236007627,0.16184473037719727
89.0,61598796.0,85336.0,301.0,7.5364,7.604500000000001,0.3012133268116572,0.23750239251457064,0.1563551425933838
90.0,69412559.0,35737.0,2.0,5.8566,6.083600000000001,0.3343073475823521,0.24447700980311657,0.16045665740966797
91.0,61787206.0,26615.0,350.0,5.8566,5.9247000000000005,0.32330189111024543,0.23400812836395818,0.1640474796295166
92.0,74016828.0,17175.0,110.0,5.3799,5.4934,0.3719869820497705,0.23232342865324432,0.15636754035949707
93.0,22876715.0,19792.0,450.0,6.764600000000001,6.9689000000000005,0.29236866152968927,0.24999430090770736,0.1588916778564453
94.0,88791518.0,57045.0,251.0,7.0143,7.649900000000001,0.38390971302429827,0.24936020543242599,0.15337038040161133
95.0,8544140.0,27678.0,426.0,5.0848,5.152900000000001,0.2905388956143995,0.23904868329012108,0.15416693687438965
96.0,47010965.0,45296.0,11.0,5.879300000000001,5.992800000000001,0.3121533147525215,0.2413570157194036,0.16083765029907227
97.0,93175273.0,393.0,227.0,5.9247000000000005,6.038200000000001,0.3245109550622402,0.23837436396033396,0.1670238971710205
98.0,51671424.0,59692.0,18.0,5.2437000000000005,5.3345,0.326212939048795,0.24203732165379385,0.1565537452697754
99.0,51155147.0,4666.0,279.0,6.083600000000001,6.2879000000000005,0.36789809515811867,0.24785927878887043,0.15282392501831055
100.0,52271661.0,17863.0,319.0,3.6774000000000004,3.8136,0.37204370939588627,0.24016487287952584,0.15523195266723633
101.0,45983893.0,99877.0,159.0,4.2903,4.4265,0.35314622227153203,0.23860239618298523,0.16068410873413086
102.0,24940738.0,77230.0,187.0,5.198300000000001,5.448,0.40585866263942,0.2425060356060407,0.16698312759399414
103.0,73576948.0,16194.0,480.0,4.3811,4.4492,0.32663691228857816,0.23316893205479375,0.16716527938842773
104.0,31913202.0,12255.0,71.0,4.8578,4.994000000000001,0.33186309800879016,0.24120716065614034,0.16103339195251465
105.0,80645663.0,69553.0,496.0,6.197100000000001,6.2652,0.31891948887008087,0.24399643062963627,0.1562643051147461
106.0,77246538.0,1133.0,68.0,5.7885,6.560300000000001,0.33527384115256054,0.24227538643952337,0.1523456573486328
107.0,52725482.0,92277.0,266.0,4.6535,4.994000000000001,0.32980030745660655,0.24835414281522591,0.15745949745178223
108.0,21505521.0,85649.0,418.0,7.3321000000000005,7.400200000000001,0.3014663712346124,0.2430299323642904,0.16544651985168457
109.0,89749636.0,51046.0,66.0,4.5854,4.6535,0.31772032058701055,0.23171510084926844,0.16146516799926758
110.0,83244406.0,39796.0,83.0,5.1302,5.2664,0.4166035477174925,0.24657675320229386,0.15775656700134277
111.0,15336529.0,6964.0,198.0,4.1768,4.3584000000000005,0.3868833174784163,0.2472579717308904,0.15844511985778809
112.0,99725569.0,1619.0,337.0,5.4253,5.5842,0.35384146247225085,0.24669848602723618,0.15708470344543457
113.0,27753053.0,61929.0,142.0,4.3811,4.471900000000001,0.3403999122468593,0.24111449882490565,0.1563723087310791
114.0,68717592.0,71353.0,201.0,7.1505,7.195900000000001,0.2853882209869345,0.24559793872579203,0.16192936897277832
115.0,90892022.0,32103.0,315.0,3.7682,3.9271000000000003,0.3793338651625723,0.24641620568706388,0.15993833541870117
116.0,42654067.0,62066.0,23.0,4.3584000000000005,4.5627,0.3802725286746437,0.24459407314752782,0.15729379653930664
117.0,58122873.0,78954.0,113.0,5.7431,7.1505,0.35784123068798734,0.2495926206998103,0.15962505340576172
118.0,84823148.0,89147.0,46.0,3.9271000000000003,4.2222,0.3513018274846567,0.24854723335505902,0.16653943061828613
119.0,22329982.0,3638.0,178.0,3.8136,3.9498,0.3309535265747017,0.24156881429437244,0.15705347061157227
120.0,3837427.0,48240.0,421.0,7.241300000000001,7.445600000000001,0.3389557897350479,0.24274267612293055,0.17026352882385254
121.0,30558091.0,94450.0,360.0,5.6296,5.7658000000000005,0.3552601415094716,0.24886675527029753,0.15900707244873047
122.0,29287384.0,59504.0,402.0,4.313000000000001,4.3811,0.3562358727706416,0.22400681403176162,0.15631723403930664
123.0,21403306.0,21234.0,332.0,6.4241,6.605700000000001,0.34585547501414593,0.24835360635909487,0.15203022956848145
124.0,79408676.0,72550.0,62.0,5.7658000000000005,6.1063,0.420467467242152,0.24346172201564742,0.15771150588989258
125.0,23022146.0,9406.0,387.0,4.6989,4.835100000000001,0.31051367491696413,0.23985431230911236,0.16339373588562012
